"","TIME_BLOCK","NAME_AIRLINE","NAME_AIRPORT","COUNT","data_deptimeblk_mean$MEAN"
"1","1700-1759","SkyWest Airlines Inc.","Aberdeen, SD: Aberdeen Regional",0,0
"2","1700-1759","Alaska Airlines Inc.","Adak Island, AK: Adak",330,13.2
"3","1700-1759","Delta Air Lines Inc.","Akron, OH: Akron-Canton Regional",1826,8.4147465437788
"4","1700-1759","ExpressJet Airlines Inc.","Akron, OH: Akron-Canton Regional",919,18.7551020408163
"5","1700-1759","SkyWest Airlines Inc.","Akron, OH: Akron-Canton Regional",883,27.59375
"6","1700-1759","Southwest Airlines Co.","Akron, OH: Akron-Canton Regional",4153,25.0180722891566
"7","1700-1759","ExpressJet Airlines Inc.","Albany, GA: Southwest Georgia Regional",4273,15.8847583643123
"8","1700-1759","American Airlines Inc.","Albany, NY: Albany International",106,1.79661016949153
"9","1700-1759","Delta Air Lines Inc.","Albany, NY: Albany International",401,12.9354838709677
"10","1700-1759","ExpressJet Airlines Inc.","Albany, NY: Albany International",919,18.7551020408163
"11","1700-1759","JetBlue Airways","Albany, NY: Albany International",773,16.1041666666667
"12","1700-1759","SkyWest Airlines Inc.","Albany, NY: Albany International",434,18.8695652173913
"13","1700-1759","Southwest Airlines Co.","Albany, NY: Albany International",5899,10.5906642728905
"14","1700-1759","United Air Lines Inc.","Albany, NY: Albany International",4477,24.3315217391304
"15","1700-1759","Delta Air Lines Inc.","Albuquerque, NM: Albuquerque International Sunport",0,0
"16","1700-1759","ExpressJet Airlines Inc.","Albuquerque, NM: Albuquerque International Sunport",165,11.7857142857143
"17","1700-1759","SkyWest Airlines Inc.","Albuquerque, NM: Albuquerque International Sunport",3603,9.48157894736842
"18","1700-1759","Southwest Airlines Co.","Albuquerque, NM: Albuquerque International Sunport",17614,19.7687991021324
"19","1700-1759","United Air Lines Inc.","Albuquerque, NM: Albuquerque International Sunport",1517,9.98026315789474
"20","1700-1759","ExpressJet Airlines Inc.","Alexandria, LA: Alexandria International",6206,15.9537275064267
"21","1700-1759","ExpressJet Airlines Inc.","Allentown/Bethlehem/Easton, PA: Lehigh Valley International",6547,15.4410377358491
"22","1700-1759","SkyWest Airlines Inc.","Allentown/Bethlehem/Easton, PA: Lehigh Valley International",1935,12.4038461538462
"23","1700-1759","SkyWest Airlines Inc.","Alpena, MI: Alpena County Regional",2048,35.9298245614035
"24","1700-1759","ExpressJet Airlines Inc.","Amarillo, TX: Rick Husband Amarillo International",21,10.5
"25","1700-1759","Southwest Airlines Co.","Amarillo, TX: Rick Husband Amarillo International",425,6.43939393939394
"26","1700-1759","Alaska Airlines Inc.","Anchorage, AK: Ted Stevens Anchorage International",1475,4.53846153846154
"27","1700-1759","Delta Air Lines Inc.","Appleton, WI: Appleton International",0,0
"28","1700-1759","ExpressJet Airlines Inc.","Appleton, WI: Appleton International",1394,8.5521472392638
"29","1700-1759","SkyWest Airlines Inc.","Appleton, WI: Appleton International",3961,16.7130801687764
"30","1700-1759","SkyWest Airlines Inc.","Arcata/Eureka, CA: Arcata",548,14.0512820512821
"31","1700-1759","Delta Air Lines Inc.","Asheville, NC: Asheville Regional",982,7.32835820895522
