"","TIME_BLOCK","NAME_AIRLINE","NAME_AIRPORT","FLIGHT_STATE","NFLIGHTS"
"1","0600-0659","JetBlue Airways","Aguadilla, PR: Rafael Hernandez","CANCELLED",5
"2","0600-0659","Delta Air Lines Inc.","Akron, OH: Akron-Canton Regional","CANCELLED",2
"3","0600-0659","ExpressJet Airlines Inc.","Akron, OH: Akron-Canton Regional","CANCELLED",14
"4","0600-0659","Southwest Airlines Co.","Albany, NY: Albany International","CANCELLED",7
"5","0600-0659","United Air Lines Inc.","Albany, NY: Albany International","CANCELLED",6
"6","0600-0659","American Airlines Inc.","Albuquerque, NM: Albuquerque International Sunport","CANCELLED",1
"7","0600-0659","SkyWest Airlines Inc.","Albuquerque, NM: Albuquerque International Sunport","CANCELLED",1
"8","0600-0659","Southwest Airlines Co.","Albuquerque, NM: Albuquerque International Sunport","CANCELLED",17
"9","0600-0659","United Air Lines Inc.","Albuquerque, NM: Albuquerque International Sunport","CANCELLED",1
"10","0600-0659","ExpressJet Airlines Inc.","Alexandria, LA: Alexandria International","CANCELLED",5
"11","0600-0659","Delta Air Lines Inc.","Allentown/Bethlehem/Easton, PA: Lehigh Valley International","CANCELLED",1
"12","0600-0659","ExpressJet Airlines Inc.","Allentown/Bethlehem/Easton, PA: Lehigh Valley International","CANCELLED",8
"13","0600-0659","SkyWest Airlines Inc.","Allentown/Bethlehem/Easton, PA: Lehigh Valley International","CANCELLED",3
"14","0600-0659","ExpressJet Airlines Inc.","Amarillo, TX: Rick Husband Amarillo International","CANCELLED",6
"15","0600-0659","Southwest Airlines Co.","Amarillo, TX: Rick Husband Amarillo International","CANCELLED",2
"16","0600-0659","Alaska Airlines Inc.","Anchorage, AK: Ted Stevens Anchorage International","CANCELLED",23
"17","0600-0659","SkyWest Airlines Inc.","Appleton, WI: Appleton International","CANCELLED",1
"18","0600-0659","SkyWest Airlines Inc.","Arcata/Eureka, CA: Arcata","CANCELLED",19
"19","0600-0659","Delta Air Lines Inc.","Asheville, NC: Asheville Regional","CANCELLED",5
"20","0600-0659","SkyWest Airlines Inc.","Asheville, NC: Asheville Regional","CANCELLED",5
"21","0600-0659","American Airlines Inc.","Atlanta, GA: Hartsfield-Jackson Atlanta International","CANCELLED",11
"22","0600-0659","Delta Air Lines Inc.","Atlanta, GA: Hartsfield-Jackson Atlanta International","CANCELLED",4
"23","0600-0659","Frontier Airlines Inc.","Atlanta, GA: Hartsfield-Jackson Atlanta International","CANCELLED",6
"24","0600-0659","SkyWest Airlines Inc.","Atlanta, GA: Hartsfield-Jackson Atlanta International","CANCELLED",2
"25","0600-0659","Southwest Airlines Co.","Atlanta, GA: Hartsfield-Jackson Atlanta International","CANCELLED",17
"26","0600-0659","Spirit Air Lines","Atlanta, GA: Hartsfield-Jackson Atlanta International","CANCELLED",5
"27","0600-0659","United Air Lines Inc.","Atlanta, GA: Hartsfield-Jackson Atlanta International","CANCELLED",4
"28","0600-0659","Spirit Air Lines","Atlantic City, NJ: Atlantic City International","CANCELLED",16
"29","0600-0659","Delta Air Lines Inc.","Augusta, GA: Augusta Regional at Bush Field","CANCELLED",1
"30","0600-0659","American Airlines Inc.","Austin, TX: Austin - Bergstrom International","CANCELLED",10
"31","0600-0659","Delta Air Lines Inc.","Austin, TX: Austin - Bergstrom International","CANCELLED",1
"32","0600-0659","JetBlue Airways","Austin, TX: Austin - Bergstrom International","CANCELLED",4
"33","0600-0659","SkyWest Airlines Inc.","Austin, TX: Austin - Bergstrom International","CANCELLED",3
"34","0600-0659","Southwest Airlines Co.","Austin, TX: Austin - Bergstrom International","CANCELLED",20
"35","0600-0659","United Air Lines Inc.","Austin, TX: Austin - Bergstrom International","CANCELLED",8
"36","0600-0659","SkyWest Airlines Inc.","Bakersfield, CA: Meadows Field","CANCELLED",7
"37","0600-0659","American Airlines Inc.","Baltimore, MD: Baltimore/Washington International Thurgood Marshall","CANCELLED",14
"38","0600-0659","Delta Air Lines Inc.","Baltimore, MD: Baltimore/Washington International Thurgood Marshall","CANCELLED",5
"39","0600-0659","ExpressJet Airlines Inc.","Baltimore, MD: Baltimore/Washington International Thurgood Marshall","CANCELLED",2
"40","0600-0659","JetBlue Airways","Baltimore, MD: Baltimore/Washington International Thurgood Marshall","CANCELLED",8
"41","0600-0659","Southwest Airlines Co.","Baltimore, MD: Baltimore/Washington International Thurgood Marshall","CANCELLED",64
"42","0600-0659","Spirit Air Lines","Baltimore, MD: Baltimore/Washington International Thurgood Marshall","CANCELLED",19
"43","0600-0659","United Air Lines Inc.","Baltimore, MD: Baltimore/Washington International Thurgood Marshall","CANCELLED",12
"44","0600-0659","Delta Air Lines Inc.","Bangor, ME: Bangor International","CANCELLED",1
"45","0600-0659","ExpressJet Airlines Inc.","Baton Rouge, LA: Baton Rouge Metropolitan/Ryan Field","CANCELLED",34
"46","0600-0659","SkyWest Airlines Inc.","Baton Rouge, LA: Baton Rouge Metropolitan/Ryan Field","CANCELLED",1
"47","0600-0659","ExpressJet Airlines Inc.","Beaumont/Port Arthur, TX: Jack Brooks Regional","CANCELLED",5
"48","0600-0659","Alaska Airlines Inc.","Bellingham, WA: Bellingham International","CANCELLED",1
"49","0600-0659","SkyWest Airlines Inc.","Bend/Redmond, OR: Roberts Field","CANCELLED",8
"50","0600-0659","Delta Air Lines Inc.","Billings, MT: Billings Logan International","CANCELLED",1
"51","0600-0659","ExpressJet Airlines Inc.","Billings, MT: Billings Logan International","CANCELLED",4
"52","0600-0659","SkyWest Airlines Inc.","Billings, MT: Billings Logan International","CANCELLED",1
"53","0600-0659","United Air Lines Inc.","Billings, MT: Billings Logan International","CANCELLED",1
"54","0600-0659","Delta Air Lines Inc.","Birmingham, AL: Birmingham-Shuttlesworth International","CANCELLED",2
"55","0600-0659","ExpressJet Airlines Inc.","Birmingham, AL: Birmingham-Shuttlesworth International","CANCELLED",18
"56","0600-0659","SkyWest Airlines Inc.","Birmingham, AL: Birmingham-Shuttlesworth International","CANCELLED",1
"57","0600-0659","Southwest Airlines Co.","Birmingham, AL: Birmingham-Shuttlesworth International","CANCELLED",1
"58","0600-0659","Delta Air Lines Inc.","Bismarck/Mandan, ND: Bismarck Municipal","CANCELLED",2
"59","0600-0659","SkyWest Airlines Inc.","Bismarck/Mandan, ND: Bismarck Municipal","CANCELLED",3
"60","0600-0659","Delta Air Lines Inc.","Bloomington/Normal, IL: Central Illinois Regional","CANCELLED",1
"61","0600-0659","American Airlines Inc.","Boise, ID: Boise Air Terminal","CANCELLED",4
"62","0600-0659","Delta Air Lines Inc.","Boise, ID: Boise Air Terminal","CANCELLED",1
"63","0600-0659","SkyWest Airlines Inc.","Boise, ID: Boise Air Terminal","CANCELLED",2
"64","0600-0659","Southwest Airlines Co.","Boise, ID: Boise Air Terminal","CANCELLED",1
"65","0600-0659","United Air Lines Inc.","Boise, ID: Boise Air Terminal","CANCELLED",1
"66","0600-0659","American Airlines Inc.","Boston, MA: Logan International","CANCELLED",37
"67","0600-0659","Delta Air Lines Inc.","Boston, MA: Logan International","CANCELLED",9
"68","0600-0659","JetBlue Airways","Boston, MA: Logan International","CANCELLED",48
"69","0600-0659","Southwest Airlines Co.","Boston, MA: Logan International","CANCELLED",11
"70","0600-0659","Spirit Air Lines","Boston, MA: Logan International","CANCELLED",1
"71","0600-0659","United Air Lines Inc.","Boston, MA: Logan International","CANCELLED",6
"72","0600-0659","United Air Lines Inc.","Bozeman, MT: Bozeman Yellowstone International","CANCELLED",1
"73","0600-0659","ExpressJet Airlines Inc.","Bristol/Johnson City/Kingsport, TN: Tri-Cities Regional TN/VA","CANCELLED",4
"74","0600-0659","ExpressJet Airlines Inc.","Brownsville, TX: Brownsville South Padre Island International","CANCELLED",6
"75","0600-0659","ExpressJet Airlines Inc.","Brunswick, GA: Brunswick Golden Isles","CANCELLED",4
"76","0600-0659","American Airlines Inc.","Buffalo, NY: Buffalo Niagara International","CANCELLED",4
"77","0600-0659","Delta Air Lines Inc.","Buffalo, NY: Buffalo Niagara International","CANCELLED",6
"78","0600-0659","ExpressJet Airlines Inc.","Buffalo, NY: Buffalo Niagara International","CANCELLED",6
"79","0600-0659","JetBlue Airways","Buffalo, NY: Buffalo Niagara International","CANCELLED",1
"80","0600-0659","Southwest Airlines Co.","Buffalo, NY: Buffalo Niagara International","CANCELLED",13
"81","0600-0659","SkyWest Airlines Inc.","Burbank, CA: Bob Hope","CANCELLED",1
"82","0600-0659","Delta Air Lines Inc.","Burlington, VT: Burlington International","CANCELLED",2
"83","0600-0659","ExpressJet Airlines Inc.","Burlington, VT: Burlington International","CANCELLED",3
