"","TIME_BLOCK","NAME_AIRLINE","NAME_AIRPORT","COUNT","data_deptimeblk_mean$MEAN"
"1","1800-1859","Alaska Airlines Inc.","Adak Island, AK: Adak",471,6.19736842105263
"2","1800-1859","Delta Air Lines Inc.","Akron, OH: Akron-Canton Regional",1765,16.9711538461538
"3","1800-1859","ExpressJet Airlines Inc.","Akron, OH: Akron-Canton Regional",1023,13.4605263157895
"4","1800-1859","SkyWest Airlines Inc.","Akron, OH: Akron-Canton Regional",136,3.4
"5","1800-1859","Southwest Airlines Co.","Akron, OH: Akron-Canton Regional",2425,29.2168674698795
"6","1800-1859","ExpressJet Airlines Inc.","Albany, GA: Southwest Georgia Regional",475,36.5384615384615
"7","1800-1859","Delta Air Lines Inc.","Albany, NY: Albany International",3628,13.437037037037
"8","1800-1859","ExpressJet Airlines Inc.","Albany, NY: Albany International",0,NA
"9","1800-1859","JetBlue Airways","Albany, NY: Albany International",300,13.6363636363636
"10","1800-1859","SkyWest Airlines Inc.","Albany, NY: Albany International",0,0
"11","1800-1859","Southwest Airlines Co.","Albany, NY: Albany International",1478,11.1969696969697
"12","1800-1859","United Air Lines Inc.","Albany, NY: Albany International",89,14.8333333333333
"13","1800-1859","Delta Air Lines Inc.","Albuquerque, NM: Albuquerque International Sunport",0,0
"14","1800-1859","SkyWest Airlines Inc.","Albuquerque, NM: Albuquerque International Sunport",1717,18.8681318681319
"15","1800-1859","Southwest Airlines Co.","Albuquerque, NM: Albuquerque International Sunport",12613,17.566852367688
"16","1800-1859","ExpressJet Airlines Inc.","Alexandria, LA: Alexandria International",5029,28.5738636363636
"17","1800-1859","Delta Air Lines Inc.","Allentown/Bethlehem/Easton, PA: Lehigh Valley International",47,47
"18","1800-1859","ExpressJet Airlines Inc.","Allentown/Bethlehem/Easton, PA: Lehigh Valley International",3257,26.9173553719008
"19","1800-1859","Southwest Airlines Co.","Amarillo, TX: Rick Husband Amarillo International",3284,11.2465753424658
"20","1800-1859","Alaska Airlines Inc.","Anchorage, AK: Ted Stevens Anchorage International",938,2.39285714285714
"21","1800-1859","Delta Air Lines Inc.","Anchorage, AK: Ted Stevens Anchorage International",1534,12.890756302521
"22","1800-1859","United Air Lines Inc.","Anchorage, AK: Ted Stevens Anchorage International",72,24
"23","1800-1859","ExpressJet Airlines Inc.","Appleton, WI: Appleton International",849,7.31896551724138
"24","1800-1859","SkyWest Airlines Inc.","Appleton, WI: Appleton International",458,32.7142857142857
"25","1800-1859","SkyWest Airlines Inc.","Arcata/Eureka, CA: Arcata",1313,17.2763157894737
"26","1800-1859","Delta Air Lines Inc.","Asheville, NC: Asheville Regional",74,74
"27","1800-1859","ExpressJet Airlines Inc.","Asheville, NC: Asheville Regional",2124,36.6206896551724
"28","1800-1859","SkyWest Airlines Inc.","Aspen, CO: Aspen Pitkin County Sardy Field",3135,16.8548387096774
"29","1800-1859","Alaska Airlines Inc.","Atlanta, GA: Hartsfield-Jackson Atlanta International",2751,7.51639344262295
"30","1800-1859","American Airlines Inc.","Atlanta, GA: Hartsfield-Jackson Atlanta International",21637,20.844894026975
"31","1800-1859","Delta Air Lines Inc.","Atlanta, GA: Hartsfield-Jackson Atlanta International",84668,12.432892804699
"32","1800-1859","ExpressJet Airlines Inc.","Atlanta, GA: Hartsfield-Jackson Atlanta International",53862,19.8679454075987
"33","1800-1859","Frontier Airlines Inc.","Atlanta, GA: Hartsfield-Jackson Atlanta International",3230,14.2290748898678
"34","1800-1859","SkyWest Airlines Inc.","Atlanta, GA: Hartsfield-Jackson Atlanta International",3943,17.9227272727273
"35","1800-1859","Southwest Airlines Co.","Atlanta, GA: Hartsfield-Jackson Atlanta International",27830,17.2215346534653
"36","1800-1859","Spirit Air Lines","Atlanta, GA: Hartsfield-Jackson Atlanta International",16580,28.4391080617496
"37","1800-1859","United Air Lines Inc.","Atlanta, GA: Hartsfield-Jackson Atlanta International",9389,17.2275229357798
"38","1800-1859","Spirit Air Lines","Atlantic City, NJ: Atlantic City International",11191,28.9922279792746
"39","1800-1859","Delta Air Lines Inc.","Augusta, GA: Augusta Regional at Bush Field",0,0
"40","1800-1859","ExpressJet Airlines Inc.","Augusta, GA: Augusta Regional at Bush Field",999,12.4875
"41","1800-1859","Alaska Airlines Inc.","Austin, TX: Austin - Bergstrom International",2312,6.31693989071038
"42","1800-1859","American Airlines Inc.","Austin, TX: Austin - Bergstrom International",9599,16.1599326599327
"43","1800-1859","Delta Air Lines Inc.","Austin, TX: Austin - Bergstrom International",3498,12.1038062283737
"44","1800-1859","Frontier Airlines Inc.","Austin, TX: Austin - Bergstrom International",1760,13.8582677165354
"45","1800-1859","JetBlue Airways","Austin, TX: Austin - Bergstrom International",8220,22.5824175824176
"46","1800-1859","SkyWest Airlines Inc.","Austin, TX: Austin - Bergstrom International",1806,22.2962962962963
"47","1800-1859","Southwest Airlines Co.","Austin, TX: Austin - Bergstrom International",31022,18.0780885780886
"48","1800-1859","United Air Lines Inc.","Austin, TX: Austin - Bergstrom International",737,21.0571428571429
"49","1800-1859","SkyWest Airlines Inc.","Bakersfield, CA: Meadows Field",34,34
"50","1800-1859","American Airlines Inc.","Baltimore, MD: Baltimore/Washington International Thurgood Marshall",4729,14.6863354037267
"51","1800-1859","Delta Air Lines Inc.","Baltimore, MD: Baltimore/Washington International Thurgood Marshall",1913,24.525641025641
"52","1800-1859","ExpressJet Airlines Inc.","Baltimore, MD: Baltimore/Washington International Thurgood Marshall",16,5.33333333333333
"53","1800-1859","JetBlue Airways","Baltimore, MD: Baltimore/Washington International Thurgood Marshall",4342,19.9174311926606
"54","1800-1859","Southwest Airlines Co.","Baltimore, MD: Baltimore/Washington International Thurgood Marshall",56547,19.1749745676501
"55","1800-1859","Spirit Air Lines","Baltimore, MD: Baltimore/Washington International Thurgood Marshall",20376,29.6162790697674
"56","1800-1859","United Air Lines Inc.","Baltimore, MD: Baltimore/Washington International Thurgood Marshall",6198,19.0707692307692
"57","1800-1859","Alaska Airlines Inc.","Barrow, AK: Wiley Post/Will Rogers Memorial",1397,6.84803921568627
"58","1800-1859","ExpressJet Airlines Inc.","Baton Rouge, LA: Baton Rouge Metropolitan/Ryan Field",164,6.56
"59","1800-1859","ExpressJet Airlines Inc.","Beaumont/Port Arthur, TX: Jack Brooks Regional",1439,32.7045454545455
"60","1800-1859","Alaska Airlines Inc.","Bellingham, WA: Bellingham International",650,8.66666666666667
"61","1800-1859","SkyWest Airlines Inc.","Bend/Redmond, OR: Roberts Field",1290,19.5454545454545
"62","1800-1859","United Air Lines Inc.","Billings, MT: Billings Logan International",0,0
"63","1800-1859","American Airlines Inc.","Birmingham, AL: Birmingham-Shuttlesworth International",0,0
"64","1800-1859","Delta Air Lines Inc.","Birmingham, AL: Birmingham-Shuttlesworth International",2981,13.4886877828054
"65","1800-1859","ExpressJet Airlines Inc.","Birmingham, AL: Birmingham-Shuttlesworth International",8414,15.8157894736842
"66","1800-1859","SkyWest Airlines Inc.","Birmingham, AL: Birmingham-Shuttlesworth International",384,42.6666666666667
"67","1800-1859","Southwest Airlines Co.","Birmingham, AL: Birmingham-Shuttlesworth International",9127,16.3273703041145
"68","1800-1859","Delta Air Lines Inc.","Boise, ID: Boise Air Terminal",0,0
"69","1800-1859","SkyWest Airlines Inc.","Boise, ID: Boise Air Terminal",4974,9.2453531598513
"70","1800-1859","Southwest Airlines Co.","Boise, ID: Boise Air Terminal",2273,11.7772020725389
"71","1800-1859","United Air Lines Inc.","Boise, ID: Boise Air Terminal",0,0
"72","1800-1859","Alaska Airlines Inc.","Boston, MA: Logan International",7207,10.310443490701
"73","1800-1859","American Airlines Inc.","Boston, MA: Logan International",26284,20.0335365853659
"74","1800-1859","Delta Air Lines Inc.","Boston, MA: Logan International",22190,19.1458153580673
"75","1800-1859","ExpressJet Airlines Inc.","Boston, MA: Logan International",1638,9.15083798882682
"76","1800-1859","JetBlue Airways","Boston, MA: Logan International",33324,20.7496886674969
"77","1800-1859","SkyWest Airlines Inc.","Boston, MA: Logan International",0,0
"78","1800-1859","Southwest Airlines Co.","Boston, MA: Logan International",20432,27.7608695652174
"79","1800-1859","Spirit Air Lines","Boston, MA: Logan International",5604,31.4831460674157
"80","1800-1859","United Air Lines Inc.","Boston, MA: Logan International",24736,25.5537190082645
"81","1800-1859","Virgin America","Boston, MA: Logan International",8500,25.2225519287834
"82","1800-1859","SkyWest Airlines Inc.","Bozeman, MT: Bozeman Yellowstone International",55,1.22222222222222
"83","1800-1859","ExpressJet Airlines Inc.","Bristol/Johnson City/Kingsport, TN: Tri-Cities Regional TN/VA",5021,28.5284090909091
"84","1800-1859","American Airlines Inc.","Buffalo, NY: Buffalo Niagara International",1086,11.0816326530612
"85","1800-1859","Delta Air Lines Inc.","Buffalo, NY: Buffalo Niagara International",345,16.4285714285714
"86","1800-1859","ExpressJet Airlines Inc.","Buffalo, NY: Buffalo Niagara International",4087,30.2740740740741
"87","1800-1859","JetBlue Airways","Buffalo, NY: Buffalo Niagara International",13238,26.2138613861386
"88","1800-1859","SkyWest Airlines Inc.","Buffalo, NY: Buffalo Niagara International",0,0
"89","1800-1859","Southwest Airlines Co.","Buffalo, NY: Buffalo Niagara International",6847,14.7883369330454
"90","1800-1859","SkyWest Airlines Inc.","Burbank, CA: Bob Hope",645,11.5178571428571
"91","1800-1859","Southwest Airlines Co.","Burbank, CA: Bob Hope",9706,11.8800489596083
"92","1800-1859","ExpressJet Airlines Inc.","Burlington, VT: Burlington International",2238,21.5192307692308
"93","1800-1859","SkyWest Airlines Inc.","Cedar City, UT: Cedar City Regional",2105,7.11148648648649
