"","TIME_BLOCK","NAME_AIRLINE","NAME_AIRPORT","FLIGHT_STATE","NFLIGHTS"
"1","1200-1259","ExpressJet Airlines Inc.","Abilene, TX: Abilene Regional","CANCELLED",3
"2","1200-1259","JetBlue Airways","Aguadilla, PR: Rafael Hernandez","CANCELLED",2
"3","1200-1259","Southwest Airlines Co.","Akron, OH: Akron-Canton Regional","CANCELLED",1
"4","1200-1259","Delta Air Lines Inc.","Albany, NY: Albany International","CANCELLED",1
"5","1200-1259","ExpressJet Airlines Inc.","Albany, NY: Albany International","CANCELLED",5
"6","1200-1259","Southwest Airlines Co.","Albany, NY: Albany International","CANCELLED",4
"7","1200-1259","American Airlines Inc.","Albuquerque, NM: Albuquerque International Sunport","CANCELLED",2
"8","1200-1259","Southwest Airlines Co.","Albuquerque, NM: Albuquerque International Sunport","CANCELLED",2
"9","1200-1259","United Air Lines Inc.","Albuquerque, NM: Albuquerque International Sunport","CANCELLED",1
"10","1200-1259","ExpressJet Airlines Inc.","Allentown/Bethlehem/Easton, PA: Lehigh Valley International","CANCELLED",3
"11","1200-1259","SkyWest Airlines Inc.","Amarillo, TX: Rick Husband Amarillo International","CANCELLED",1
"12","1200-1259","SkyWest Airlines Inc.","Appleton, WI: Appleton International","CANCELLED",2
"13","1200-1259","SkyWest Airlines Inc.","Arcata/Eureka, CA: Arcata","CANCELLED",1
"14","1200-1259","Delta Air Lines Inc.","Asheville, NC: Asheville Regional","CANCELLED",1
"15","1200-1259","ExpressJet Airlines Inc.","Asheville, NC: Asheville Regional","CANCELLED",2
"16","1200-1259","SkyWest Airlines Inc.","Aspen, CO: Aspen Pitkin County Sardy Field","CANCELLED",28
"17","1200-1259","American Airlines Inc.","Atlanta, GA: Hartsfield-Jackson Atlanta International","CANCELLED",9
"18","1200-1259","Delta Air Lines Inc.","Atlanta, GA: Hartsfield-Jackson Atlanta International","CANCELLED",66
"19","1200-1259","ExpressJet Airlines Inc.","Atlanta, GA: Hartsfield-Jackson Atlanta International","CANCELLED",24
"20","1200-1259","Frontier Airlines Inc.","Atlanta, GA: Hartsfield-Jackson Atlanta International","CANCELLED",3
"21","1200-1259","SkyWest Airlines Inc.","Atlanta, GA: Hartsfield-Jackson Atlanta International","CANCELLED",2
"22","1200-1259","Southwest Airlines Co.","Atlanta, GA: Hartsfield-Jackson Atlanta International","CANCELLED",11
"23","1200-1259","United Air Lines Inc.","Atlanta, GA: Hartsfield-Jackson Atlanta International","CANCELLED",3
"24","1200-1259","Spirit Air Lines","Atlantic City, NJ: Atlantic City International","CANCELLED",6
"25","1200-1259","ExpressJet Airlines Inc.","Augusta, GA: Augusta Regional at Bush Field","CANCELLED",1
"26","1200-1259","American Airlines Inc.","Austin, TX: Austin - Bergstrom International","CANCELLED",13
"27","1200-1259","Delta Air Lines Inc.","Austin, TX: Austin - Bergstrom International","CANCELLED",1
"28","1200-1259","Frontier Airlines Inc.","Austin, TX: Austin - Bergstrom International","CANCELLED",1
"29","1200-1259","SkyWest Airlines Inc.","Austin, TX: Austin - Bergstrom International","CANCELLED",2
"30","1200-1259","Southwest Airlines Co.","Austin, TX: Austin - Bergstrom International","CANCELLED",10
"31","1200-1259","United Air Lines Inc.","Austin, TX: Austin - Bergstrom International","CANCELLED",1
"32","1200-1259","American Airlines Inc.","Baltimore, MD: Baltimore/Washington International Thurgood Marshall","CANCELLED",2
"33","1200-1259","Delta Air Lines Inc.","Baltimore, MD: Baltimore/Washington International Thurgood Marshall","CANCELLED",2
"34","1200-1259","Southwest Airlines Co.","Baltimore, MD: Baltimore/Washington International Thurgood Marshall","CANCELLED",37
"35","1200-1259","Spirit Air Lines","Baltimore, MD: Baltimore/Washington International Thurgood Marshall","CANCELLED",5
"36","1200-1259","ExpressJet Airlines Inc.","Bangor, ME: Bangor International","CANCELLED",10
"37","1200-1259","Alaska Airlines Inc.","Barrow, AK: Wiley Post/Will Rogers Memorial","CANCELLED",4
"38","1200-1259","ExpressJet Airlines Inc.","Baton Rouge, LA: Baton Rouge Metropolitan/Ryan Field","CANCELLED",6
"39","1200-1259","SkyWest Airlines Inc.","Bend/Redmond, OR: Roberts Field","CANCELLED",4
"40","1200-1259","ExpressJet Airlines Inc.","Birmingham, AL: Birmingham-Shuttlesworth International","CANCELLED",5
"41","1200-1259","SkyWest Airlines Inc.","Birmingham, AL: Birmingham-Shuttlesworth International","CANCELLED",2
"42","1200-1259","SkyWest Airlines Inc.","Bismarck/Mandan, ND: Bismarck Municipal","CANCELLED",3
"43","1200-1259","SkyWest Airlines Inc.","Boise, ID: Boise Air Terminal","CANCELLED",3
"44","1200-1259","Southwest Airlines Co.","Boise, ID: Boise Air Terminal","CANCELLED",1
"45","1200-1259","American Airlines Inc.","Boston, MA: Logan International","CANCELLED",36
"46","1200-1259","Delta Air Lines Inc.","Boston, MA: Logan International","CANCELLED",2
"47","1200-1259","JetBlue Airways","Boston, MA: Logan International","CANCELLED",15
"48","1200-1259","Southwest Airlines Co.","Boston, MA: Logan International","CANCELLED",5
"49","1200-1259","United Air Lines Inc.","Boston, MA: Logan International","CANCELLED",4
"50","1200-1259","SkyWest Airlines Inc.","Bozeman, MT: Bozeman Yellowstone International","CANCELLED",1
"51","1200-1259","United Air Lines Inc.","Bozeman, MT: Bozeman Yellowstone International","CANCELLED",4
"52","1200-1259","ExpressJet Airlines Inc.","Brownsville, TX: Brownsville South Padre Island International","CANCELLED",1
"53","1200-1259","ExpressJet Airlines Inc.","Brunswick, GA: Brunswick Golden Isles","CANCELLED",1
"54","1200-1259","ExpressJet Airlines Inc.","Buffalo, NY: Buffalo Niagara International","CANCELLED",3
"55","1200-1259","JetBlue Airways","Buffalo, NY: Buffalo Niagara International","CANCELLED",1
"56","1200-1259","Southwest Airlines Co.","Buffalo, NY: Buffalo Niagara International","CANCELLED",6
"57","1200-1259","SkyWest Airlines Inc.","Burbank, CA: Bob Hope","CANCELLED",7
"58","1200-1259","Southwest Airlines Co.","Burbank, CA: Bob Hope","CANCELLED",34
"59","1200-1259","ExpressJet Airlines Inc.","Burlington, VT: Burlington International","CANCELLED",2
"60","1200-1259","SkyWest Airlines Inc.","Butte, MT: Bert Mooney","CANCELLED",1
"61","1200-1259","SkyWest Airlines Inc.","Cedar Rapids/Iowa City, IA: The Eastern Iowa","CANCELLED",1
"62","1200-1259","American Airlines Inc.","Charleston, SC: Charleston AFB/International","CANCELLED",3
"63","1200-1259","Delta Air Lines Inc.","Charleston, SC: Charleston AFB/International","CANCELLED",2
"64","1200-1259","ExpressJet Airlines Inc.","Charleston, SC: Charleston AFB/International","CANCELLED",6
"65","1200-1259","JetBlue Airways","Charleston, SC: Charleston AFB/International","CANCELLED",11
"66","1200-1259","SkyWest Airlines Inc.","Charleston, SC: Charleston AFB/International","CANCELLED",3
"67","1200-1259","Southwest Airlines Co.","Charleston, SC: Charleston AFB/International","CANCELLED",2
"68","1200-1259","ExpressJet Airlines Inc.","Charleston/Dunbar, WV: Yeager","CANCELLED",1
"69","1200-1259","United Air Lines Inc.","Charlotte Amalie, VI: Cyril E King","CANCELLED",1
"70","1200-1259","American Airlines Inc.","Charlotte, NC: Charlotte Douglas International","CANCELLED",10
"71","1200-1259","Delta Air Lines Inc.","Charlotte, NC: Charlotte Douglas International","CANCELLED",2
"72","1200-1259","ExpressJet Airlines Inc.","Charlotte, NC: Charlotte Douglas International","CANCELLED",5
"73","1200-1259","Frontier Airlines Inc.","Charlotte, NC: Charlotte Douglas International","CANCELLED",1
"74","1200-1259","JetBlue Airways","Charlotte, NC: Charlotte Douglas International","CANCELLED",5
"75","1200-1259","ExpressJet Airlines Inc.","Charlottesville, VA: Charlottesville Albemarle","CANCELLED",1
"76","1200-1259","Delta Air Lines Inc.","Chicago, IL: Chicago Midway International","CANCELLED",3
"77","1200-1259","ExpressJet Airlines Inc.","Chicago, IL: Chicago Midway International","CANCELLED",3
"78","1200-1259","Southwest Airlines Co.","Chicago, IL: Chicago Midway International","CANCELLED",67
"79","1200-1259","American Airlines Inc.","Chicago, IL: Chicago O'Hare International","CANCELLED",41
"80","1200-1259","Delta Air Lines Inc.","Chicago, IL: Chicago O'Hare International","CANCELLED",2
"81","1200-1259","ExpressJet Airlines Inc.","Chicago, IL: Chicago O'Hare International","CANCELLED",65
"82","1200-1259","Frontier Airlines Inc.","Chicago, IL: Chicago O'Hare International","CANCELLED",1
"83","1200-1259","SkyWest Airlines Inc.","Chicago, IL: Chicago O'Hare International","CANCELLED",86
"84","1200-1259","Spirit Air Lines","Chicago, IL: Chicago O'Hare International","CANCELLED",11
"85","1200-1259","United Air Lines Inc.","Chicago, IL: Chicago O'Hare International","CANCELLED",41
"86","1200-1259","Virgin America","Chicago, IL: Chicago O'Hare International","CANCELLED",1
"87","1200-1259","ExpressJet Airlines Inc.","Cincinnati, OH: Cincinnati/Northern Kentucky International","CANCELLED",3
"88","1200-1259","SkyWest Airlines Inc.","Cincinnati, OH: Cincinnati/Northern Kentucky International","CANCELLED",1
"89","1200-1259","American Airlines Inc.","Cleveland, OH: Cleveland-Hopkins International","CANCELLED",3
