"","TIME_BLOCK","NAME_AIRLINE","NAME_AIRPORT","FLIGHT_STATE","NFLIGHTS"
"1","1700-1759","ExpressJet Airlines Inc.","Albany, GA: Southwest Georgia Regional","CANCELLED",3
"2","1700-1759","ExpressJet Airlines Inc.","Albany, NY: Albany International","CANCELLED",4
"3","1700-1759","JetBlue Airways","Albany, NY: Albany International","CANCELLED",1
"4","1700-1759","Southwest Airlines Co.","Albany, NY: Albany International","CANCELLED",10
"5","1700-1759","United Air Lines Inc.","Albany, NY: Albany International","CANCELLED",2
"6","1700-1759","Southwest Airlines Co.","Albuquerque, NM: Albuquerque International Sunport","CANCELLED",6
"7","1700-1759","United Air Lines Inc.","Albuquerque, NM: Albuquerque International Sunport","CANCELLED",3
"8","1700-1759","ExpressJet Airlines Inc.","Alexandria, LA: Alexandria International","CANCELLED",4
"9","1700-1759","ExpressJet Airlines Inc.","Allentown/Bethlehem/Easton, PA: Lehigh Valley International","CANCELLED",13
"10","1700-1759","SkyWest Airlines Inc.","Alpena, MI: Alpena County Regional","CANCELLED",4
"11","1700-1759","Alaska Airlines Inc.","Anchorage, AK: Ted Stevens Anchorage International","CANCELLED",5
"12","1700-1759","ExpressJet Airlines Inc.","Appleton, WI: Appleton International","CANCELLED",7
"13","1700-1759","SkyWest Airlines Inc.","Appleton, WI: Appleton International","CANCELLED",5
"14","1700-1759","SkyWest Airlines Inc.","Arcata/Eureka, CA: Arcata","CANCELLED",2
"15","1700-1759","Delta Air Lines Inc.","Asheville, NC: Asheville Regional","CANCELLED",3
"16","1700-1759","ExpressJet Airlines Inc.","Asheville, NC: Asheville Regional","CANCELLED",2
"17","1700-1759","SkyWest Airlines Inc.","Asheville, NC: Asheville Regional","CANCELLED",7
"18","1700-1759","SkyWest Airlines Inc.","Aspen, CO: Aspen Pitkin County Sardy Field","CANCELLED",11
"19","1700-1759","American Airlines Inc.","Atlanta, GA: Hartsfield-Jackson Atlanta International","CANCELLED",9
"20","1700-1759","Delta Air Lines Inc.","Atlanta, GA: Hartsfield-Jackson Atlanta International","CANCELLED",48
"21","1700-1759","ExpressJet Airlines Inc.","Atlanta, GA: Hartsfield-Jackson Atlanta International","CANCELLED",51
"22","1700-1759","Frontier Airlines Inc.","Atlanta, GA: Hartsfield-Jackson Atlanta International","CANCELLED",1
"23","1700-1759","SkyWest Airlines Inc.","Atlanta, GA: Hartsfield-Jackson Atlanta International","CANCELLED",8
"24","1700-1759","Southwest Airlines Co.","Atlanta, GA: Hartsfield-Jackson Atlanta International","CANCELLED",19
"25","1700-1759","Spirit Air Lines","Atlanta, GA: Hartsfield-Jackson Atlanta International","CANCELLED",10
"26","1700-1759","United Air Lines Inc.","Atlanta, GA: Hartsfield-Jackson Atlanta International","CANCELLED",2
"27","1700-1759","Spirit Air Lines","Atlantic City, NJ: Atlantic City International","CANCELLED",13
"28","1700-1759","American Airlines Inc.","Austin, TX: Austin - Bergstrom International","CANCELLED",6
"29","1700-1759","Frontier Airlines Inc.","Austin, TX: Austin - Bergstrom International","CANCELLED",2
"30","1700-1759","Southwest Airlines Co.","Austin, TX: Austin - Bergstrom International","CANCELLED",11
"31","1700-1759","United Air Lines Inc.","Austin, TX: Austin - Bergstrom International","CANCELLED",6
