"","TIME_BLOCK","NAME_AIRLINE","NAME_AIRPORT","FLIGHT_STATE","NFLIGHTS"
"1","1100-1159","Delta Air Lines Inc.","Akron, OH: Akron-Canton Regional","CANCELLED",2
"2","1100-1159","Southwest Airlines Co.","Akron, OH: Akron-Canton Regional","CANCELLED",1
"3","1100-1159","SkyWest Airlines Inc.","Albany, NY: Albany International","CANCELLED",1
"4","1100-1159","Southwest Airlines Co.","Albany, NY: Albany International","CANCELLED",1
"5","1100-1159","United Air Lines Inc.","Albany, NY: Albany International","CANCELLED",1
"6","1100-1159","American Airlines Inc.","Albuquerque, NM: Albuquerque International Sunport","CANCELLED",1
"7","1100-1159","ExpressJet Airlines Inc.","Albuquerque, NM: Albuquerque International Sunport","CANCELLED",1
"8","1100-1159","SkyWest Airlines Inc.","Albuquerque, NM: Albuquerque International Sunport","CANCELLED",1
"9","1100-1159","Southwest Airlines Co.","Albuquerque, NM: Albuquerque International Sunport","CANCELLED",4
"10","1100-1159","ExpressJet Airlines Inc.","Allentown/Bethlehem/Easton, PA: Lehigh Valley International","CANCELLED",2
"11","1100-1159","ExpressJet Airlines Inc.","Amarillo, TX: Rick Husband Amarillo International","CANCELLED",3
"12","1100-1159","Southwest Airlines Co.","Amarillo, TX: Rick Husband Amarillo International","CANCELLED",1
"13","1100-1159","Alaska Airlines Inc.","Anchorage, AK: Ted Stevens Anchorage International","CANCELLED",5
"14","1100-1159","ExpressJet Airlines Inc.","Appleton, WI: Appleton International","CANCELLED",1
"15","1100-1159","SkyWest Airlines Inc.","Appleton, WI: Appleton International","CANCELLED",1
"16","1100-1159","SkyWest Airlines Inc.","Arcata/Eureka, CA: Arcata","CANCELLED",3
"17","1100-1159","SkyWest Airlines Inc.","Aspen, CO: Aspen Pitkin County Sardy Field","CANCELLED",24
"18","1100-1159","American Airlines Inc.","Atlanta, GA: Hartsfield-Jackson Atlanta International","CANCELLED",3
"19","1100-1159","Delta Air Lines Inc.","Atlanta, GA: Hartsfield-Jackson Atlanta International","CANCELLED",34
"20","1100-1159","ExpressJet Airlines Inc.","Atlanta, GA: Hartsfield-Jackson Atlanta International","CANCELLED",15
"21","1100-1159","Southwest Airlines Co.","Atlanta, GA: Hartsfield-Jackson Atlanta International","CANCELLED",12
"22","1100-1159","Spirit Air Lines","Atlanta, GA: Hartsfield-Jackson Atlanta International","CANCELLED",6
"23","1100-1159","United Air Lines Inc.","Atlanta, GA: Hartsfield-Jackson Atlanta International","CANCELLED",3
"24","1100-1159","American Airlines Inc.","Austin, TX: Austin - Bergstrom International","CANCELLED",3
"25","1100-1159","JetBlue Airways","Austin, TX: Austin - Bergstrom International","CANCELLED",1
"26","1100-1159","Southwest Airlines Co.","Austin, TX: Austin - Bergstrom International","CANCELLED",2
"27","1100-1159","American Airlines Inc.","Baltimore, MD: Baltimore/Washington International Thurgood Marshall","CANCELLED",5
"28","1100-1159","Delta Air Lines Inc.","Baltimore, MD: Baltimore/Washington International Thurgood Marshall","CANCELLED",2
