"","TIME_BLOCK","NAME_AIRLINE","NAME_AIRPORT","COUNT","data_deptimeblk_mean$MEAN"
"64","2300-2359","Alaska Airlines Inc.","Kona, HI: Kona International Airport at Keahole",1300,8.33333333333333
"65","2300-2359","American Airlines Inc.","Kona, HI: Kona International Airport at Keahole",865,6.04895104895105
"66","2300-2359","United Air Lines Inc.","Kona, HI: Kona International Airport at Keahole",198,14.1428571428571
"67","2300-2359","Alaska Airlines Inc.","Las Vegas, NV: McCarran International",778,3.28270042194093
"68","2300-2359","American Airlines Inc.","Las Vegas, NV: McCarran International",987,6.58
"69","2300-2359","Delta Air Lines Inc.","Las Vegas, NV: McCarran International",5102,6.33788819875776
"70","2300-2359","Frontier Airlines Inc.","Las Vegas, NV: McCarran International",14270,14.5167853509664
"71","2300-2359","JetBlue Airways","Las Vegas, NV: McCarran International",17690,24.366391184573
"72","2300-2359","SkyWest Airlines Inc.","Las Vegas, NV: McCarran International",0,0
"73","2300-2359","Southwest Airlines Co.","Las Vegas, NV: McCarran International",323,23.0714285714286
"74","2300-2359","Spirit Air Lines","Las Vegas, NV: McCarran International",16086,16.5493827160494
"75","2300-2359","United Air Lines Inc.","Las Vegas, NV: McCarran International",5165,8.88984509466437
"76","2300-2359","Virgin America","Las Vegas, NV: McCarran International",4,4
"77","2300-2359","SkyWest Airlines Inc.","Lewiston, ID: Lewiston Nez Perce County",55,55
"78","2300-2359","Alaska Airlines Inc.","Lihue, HI: Lihue Airport",999,8.12195121951219
"79","2300-2359","American Airlines Inc.","Lihue, HI: Lihue Airport",879,6.19014084507042
"80","2300-2359","United Air Lines Inc.","Lihue, HI: Lihue Airport",76,38
"81","2300-2359","Alaska Airlines Inc.","Los Angeles, CA: Los Angeles International",4560,6.48648648648649
"82","2300-2359","American Airlines Inc.","Los Angeles, CA: Los Angeles International",27421,15.3619047619048
"83","2300-2359","Delta Air Lines Inc.","Los Angeles, CA: Los Angeles International",16035,18.4735023041475
"84","2300-2359","Frontier Airlines Inc.","Los Angeles, CA: Los Angeles International",226,5.51219512195122
"85","2300-2359","JetBlue Airways","Los Angeles, CA: Los Angeles International",10472,24.9928400954654
"86","2300-2359","SkyWest Airlines Inc.","Los Angeles, CA: Los Angeles International",5031,8.64432989690722
"87","2300-2359","Southwest Airlines Co.","Los Angeles, CA: Los Angeles International",4,2
"88","2300-2359","Spirit Air Lines","Los Angeles, CA: Los Angeles International",12620,20.3220611916264
"89","2300-2359","United Air Lines Inc.","Los Angeles, CA: Los Angeles International",30549,17.9805768098882
"90","2300-2359","Virgin America","Los Angeles, CA: Los Angeles International",10556,9.79220779220779
"91","2300-2359","American Airlines Inc.","Miami, FL: Miami International",260,20
"92","2300-2359","SkyWest Airlines Inc.","Minneapolis, MN: Minneapolis-St Paul International",26,26
"93","2300-2359","ExpressJet Airlines Inc.","New Orleans, LA: Louis Armstrong New Orleans International",0,0
"94","2300-2359","Southwest Airlines Co.","New Orleans, LA: Louis Armstrong New Orleans International",0,0
