"","TIME_BLOCK","NAME_AIRLINE","NAME_AIRPORT","FLIGHT_STATE","NFLIGHTS"
"1","2100-2159","Southwest Airlines Co.","Albuquerque, NM: Albuquerque International Sunport","CANCELLED",1
"2","2100-2159","Alaska Airlines Inc.","Anchorage, AK: Ted Stevens Anchorage International","CANCELLED",2
"3","2100-2159","Delta Air Lines Inc.","Atlanta, GA: Hartsfield-Jackson Atlanta International","CANCELLED",100
"4","2100-2159","ExpressJet Airlines Inc.","Atlanta, GA: Hartsfield-Jackson Atlanta International","CANCELLED",26
"5","2100-2159","Frontier Airlines Inc.","Atlanta, GA: Hartsfield-Jackson Atlanta International","CANCELLED",3
"6","2100-2159","SkyWest Airlines Inc.","Atlanta, GA: Hartsfield-Jackson Atlanta International","CANCELLED",6
"7","2100-2159","Southwest Airlines Co.","Atlanta, GA: Hartsfield-Jackson Atlanta International","CANCELLED",21
"8","2100-2159","Spirit Air Lines","Atlanta, GA: Hartsfield-Jackson Atlanta International","CANCELLED",4
"9","2100-2159","United Air Lines Inc.","Atlanta, GA: Hartsfield-Jackson Atlanta International","CANCELLED",5
"10","2100-2159","Frontier Airlines Inc.","Austin, TX: Austin - Bergstrom International","CANCELLED",1
"11","2100-2159","Southwest Airlines Co.","Austin, TX: Austin - Bergstrom International","CANCELLED",5
"12","2100-2159","Southwest Airlines Co.","Baltimore, MD: Baltimore/Washington International Thurgood Marshall","CANCELLED",80
"13","2100-2159","Alaska Airlines Inc.","Bethel, AK: Bethel Airport","CANCELLED",3
"14","2100-2159","American Airlines Inc.","Boston, MA: Logan International","CANCELLED",8
"15","2100-2159","JetBlue Airways","Boston, MA: Logan International","CANCELLED",4
"16","2100-2159","Southwest Airlines Co.","Boston, MA: Logan International","CANCELLED",5
"17","2100-2159","Spirit Air Lines","Boston, MA: Logan International","CANCELLED",1
"18","2100-2159","United Air Lines Inc.","Boston, MA: Logan International","CANCELLED",1
"19","2100-2159","JetBlue Airways","Burbank, CA: Bob Hope","CANCELLED",5
"20","2100-2159","Southwest Airlines Co.","Burbank, CA: Bob Hope","CANCELLED",13
"21","2100-2159","Frontier Airlines Inc.","Charlotte, NC: Charlotte Douglas International","CANCELLED",3
"22","2100-2159","Southwest Airlines Co.","Chicago, IL: Chicago Midway International","CANCELLED",209
"23","2100-2159","American Airlines Inc.","Chicago, IL: Chicago O'Hare International","CANCELLED",21
"24","2100-2159","ExpressJet Airlines Inc.","Chicago, IL: Chicago O'Hare International","CANCELLED",61
"25","2100-2159","SkyWest Airlines Inc.","Chicago, IL: Chicago O'Hare International","CANCELLED",74
"26","2100-2159","Spirit Air Lines","Chicago, IL: Chicago O'Hare International","CANCELLED",48
"27","2100-2159","United Air Lines Inc.","Chicago, IL: Chicago O'Hare International","CANCELLED",34
"28","2100-2159","ExpressJet Airlines Inc.","Cleveland, OH: Cleveland-Hopkins International","CANCELLED",14
"29","2100-2159","SkyWest Airlines Inc.","Cleveland, OH: Cleveland-Hopkins International","CANCELLED",4
"30","2100-2159","Southwest Airlines Co.","Cleveland, OH: Cleveland-Hopkins International","CANCELLED",4
"31","2100-2159","Spirit Air Lines","Cleveland, OH: Cleveland-Hopkins International","CANCELLED",4
"32","2100-2159","Southwest Airlines Co.","Columbus, OH: Port Columbus International","CANCELLED",3
"33","2100-2159","Southwest Airlines Co.","Dallas, TX: Dallas Love Field","CANCELLED",27
"34","2100-2159","American Airlines Inc.","Dallas/Fort Worth, TX: Dallas/Fort Worth International","CANCELLED",11
"35","2100-2159","ExpressJet Airlines Inc.","Dallas/Fort Worth, TX: Dallas/Fort Worth International","CANCELLED",12
"36","2100-2159","Spirit Air Lines","Dallas/Fort Worth, TX: Dallas/Fort Worth International","CANCELLED",1
"37","2100-2159","ExpressJet Airlines Inc.","Dayton, OH: James M Cox/Dayton International","CANCELLED",5
"38","2100-2159","SkyWest Airlines Inc.","Dayton, OH: James M Cox/Dayton International","CANCELLED",1
"39","2100-2159","Alaska Airlines Inc.","Deadhorse, AK: Deadhorse Airport","CANCELLED",8
"40","2100-2159","American Airlines Inc.","Denver, CO: Denver International","CANCELLED",1
"41","2100-2159","Frontier Airlines Inc.","Denver, CO: Denver International","CANCELLED",12
"42","2100-2159","SkyWest Airlines Inc.","Denver, CO: Denver International","CANCELLED",15
"43","2100-2159","Southwest Airlines Co.","Denver, CO: Denver International","CANCELLED",48
"44","2100-2159","United Air Lines Inc.","Denver, CO: Denver International","CANCELLED",1
"45","2100-2159","Delta Air Lines Inc.","Detroit, MI: Detroit Metro Wayne County","CANCELLED",9
"46","2100-2159","ExpressJet Airlines Inc.","Detroit, MI: Detroit Metro Wayne County","CANCELLED",3
"47","2100-2159","SkyWest Airlines Inc.","Detroit, MI: Detroit Metro Wayne County","CANCELLED",14
"48","2100-2159","Spirit Air Lines","Detroit, MI: Detroit Metro Wayne County","CANCELLED",3
"49","2100-2159","Delta Air Lines Inc.","Fairbanks, AK: Fairbanks International","CANCELLED",3
"50","2100-2159","JetBlue Airways","Fort Lauderdale, FL: Fort Lauderdale-Hollywood International","CANCELLED",8
"51","2100-2159","Southwest Airlines Co.","Fort Lauderdale, FL: Fort Lauderdale-Hollywood International","CANCELLED",18
"52","2100-2159","Spirit Air Lines","Fort Lauderdale, FL: Fort Lauderdale-Hollywood International","CANCELLED",16
"53","2100-2159","American Airlines Inc.","Fort Myers, FL: Southwest Florida International","CANCELLED",2
"54","2100-2159","Frontier Airlines Inc.","Fort Myers, FL: Southwest Florida International","CANCELLED",4
"55","2100-2159","JetBlue Airways","Fort Myers, FL: Southwest Florida International","CANCELLED",1
"56","2100-2159","Spirit Air Lines","Fort Myers, FL: Southwest Florida International","CANCELLED",5
"57","2100-2159","ExpressJet Airlines Inc.","Grand Rapids, MI: Gerald R. Ford International","CANCELLED",1
"58","2100-2159","JetBlue Airways","Hartford, CT: Bradley International","CANCELLED",1
"59","2100-2159","Southwest Airlines Co.","Hartford, CT: Bradley International","CANCELLED",1
"60","2100-2159","SkyWest Airlines Inc.","Hibbing, MN: Range Regional","CANCELLED",6
"61","2100-2159","United Air Lines Inc.","Hilo, HI: Hilo International","CANCELLED",2
"62","2100-2159","American Airlines Inc.","Honolulu, HI: Honolulu International","CANCELLED",10
"63","2100-2159","Delta Air Lines Inc.","Honolulu, HI: Honolulu International","CANCELLED",1
"64","2100-2159","United Air Lines Inc.","Honolulu, HI: Honolulu International","CANCELLED",6
"65","2100-2159","American Airlines Inc.","Houston, TX: George Bush Intercontinental/Houston","CANCELLED",1
"66","2100-2159","ExpressJet Airlines Inc.","Houston, TX: George Bush Intercontinental/Houston","CANCELLED",73
"67","2100-2159","SkyWest Airlines Inc.","Houston, TX: George Bush Intercontinental/Houston","CANCELLED",33
"68","2100-2159","Spirit Air Lines","Houston, TX: George Bush Intercontinental/Houston","CANCELLED",8
"69","2100-2159","United Air Lines Inc.","Houston, TX: George Bush Intercontinental/Houston","CANCELLED",42
"70","2100-2159","Southwest Airlines Co.","Houston, TX: William P Hobby","CANCELLED",25
"71","2100-2159","Frontier Airlines Inc.","Indianapolis, IN: Indianapolis International","CANCELLED",1
"72","2100-2159","Southwest Airlines Co.","Indianapolis, IN: Indianapolis International","CANCELLED",2
"73","2100-2159","Southwest Airlines Co.","Jacksonville, FL: Jacksonville International","CANCELLED",2
"74","2100-2159","Alaska Airlines Inc.","Kahului, HI: Kahului Airport","CANCELLED",2
"75","2100-2159","American Airlines Inc.","Kahului, HI: Kahului Airport","CANCELLED",5
"76","2100-2159","Delta Air Lines Inc.","Kahului, HI: Kahului Airport","CANCELLED",1
"77","2100-2159","Hawaiian Airlines Inc.","Kahului, HI: Kahului Airport","CANCELLED",3
"78","2100-2159","United Air Lines Inc.","Kahului, HI: Kahului Airport","CANCELLED",5
"79","2100-2159","Southwest Airlines Co.","Kansas City, MO: Kansas City International","CANCELLED",9
"80","2100-2159","Delta Air Lines Inc.","Kona, HI: Kona International Airport at Keahole","CANCELLED",1
"81","2100-2159","United Air Lines Inc.","Kona, HI: Kona International Airport at Keahole","CANCELLED",2
"82","2100-2159","Alaska Airlines Inc.","Las Vegas, NV: McCarran International","CANCELLED",2
"83","2100-2159","American Airlines Inc.","Las Vegas, NV: McCarran International","CANCELLED",2
"84","2100-2159","Frontier Airlines Inc.","Las Vegas, NV: McCarran International","CANCELLED",8
"85","2100-2159","JetBlue Airways","Las Vegas, NV: McCarran International","CANCELLED",5
"86","2100-2159","Southwest Airlines Co.","Las Vegas, NV: McCarran International","CANCELLED",34
"87","2100-2159","Spirit Air Lines","Las Vegas, NV: McCarran International","CANCELLED",4
"88","2100-2159","United Air Lines Inc.","Las Vegas, NV: McCarran International","CANCELLED",2
"89","2100-2159","American Airlines Inc.","Lihue, HI: Lihue Airport","CANCELLED",2
"90","2100-2159","Delta Air Lines Inc.","Lihue, HI: Lihue Airport","CANCELLED",2
