"","TIME_BLOCK","NAME_AIRLINE","NAME_AIRPORT","FLIGHT_STATE","NFLIGHTS"
"1","0900-0959","SkyWest Airlines Inc.","Albany, NY: Albany International","CANCELLED",3
"2","0900-0959","Southwest Airlines Co.","Albany, NY: Albany International","CANCELLED",1
"3","0900-0959","SkyWest Airlines Inc.","Albuquerque, NM: Albuquerque International Sunport","CANCELLED",5
"4","0900-0959","Southwest Airlines Co.","Albuquerque, NM: Albuquerque International Sunport","CANCELLED",2
"5","0900-0959","ExpressJet Airlines Inc.","Allentown/Bethlehem/Easton, PA: Lehigh Valley International","CANCELLED",1
"6","0900-0959","SkyWest Airlines Inc.","Amarillo, TX: Rick Husband Amarillo International","CANCELLED",2
"7","0900-0959","SkyWest Airlines Inc.","Aspen, CO: Aspen Pitkin County Sardy Field","CANCELLED",16
"8","0900-0959","American Airlines Inc.","Atlanta, GA: Hartsfield-Jackson Atlanta International","CANCELLED",4
"9","0900-0959","Delta Air Lines Inc.","Atlanta, GA: Hartsfield-Jackson Atlanta International","CANCELLED",72
"10","0900-0959","ExpressJet Airlines Inc.","Atlanta, GA: Hartsfield-Jackson Atlanta International","CANCELLED",27
"11","0900-0959","SkyWest Airlines Inc.","Atlanta, GA: Hartsfield-Jackson Atlanta International","CANCELLED",5
"12","0900-0959","Southwest Airlines Co.","Atlanta, GA: Hartsfield-Jackson Atlanta International","CANCELLED",24
"13","0900-0959","Spirit Air Lines","Atlanta, GA: Hartsfield-Jackson Atlanta International","CANCELLED",9
"14","0900-0959","United Air Lines Inc.","Atlanta, GA: Hartsfield-Jackson Atlanta International","CANCELLED",3
"15","0900-0959","American Airlines Inc.","Austin, TX: Austin - Bergstrom International","CANCELLED",9
"16","0900-0959","Delta Air Lines Inc.","Austin, TX: Austin - Bergstrom International","CANCELLED",1
"17","0900-0959","Southwest Airlines Co.","Austin, TX: Austin - Bergstrom International","CANCELLED",3
"18","0900-0959","United Air Lines Inc.","Austin, TX: Austin - Bergstrom International","CANCELLED",2
"19","0900-0959","SkyWest Airlines Inc.","Bakersfield, CA: Meadows Field","CANCELLED",2
"20","0900-0959","Delta Air Lines Inc.","Baltimore, MD: Baltimore/Washington International Thurgood Marshall","CANCELLED",5
"21","0900-0959","JetBlue Airways","Baltimore, MD: Baltimore/Washington International Thurgood Marshall","CANCELLED",5
"22","0900-0959","Southwest Airlines Co.","Baltimore, MD: Baltimore/Washington International Thurgood Marshall","CANCELLED",65
"23","0900-0959","Spirit Air Lines","Baltimore, MD: Baltimore/Washington International Thurgood Marshall","CANCELLED",2
"24","0900-0959","ExpressJet Airlines Inc.","Baton Rouge, LA: Baton Rouge Metropolitan/Ryan Field","CANCELLED",10
"25","0900-0959","Delta Air Lines Inc.","Birmingham, AL: Birmingham-Shuttlesworth International","CANCELLED",1
"26","0900-0959","ExpressJet Airlines Inc.","Birmingham, AL: Birmingham-Shuttlesworth International","CANCELLED",1
"27","0900-0959","SkyWest Airlines Inc.","Birmingham, AL: Birmingham-Shuttlesworth International","CANCELLED",2
"28","0900-0959","Southwest Airlines Co.","Birmingham, AL: Birmingham-Shuttlesworth International","CANCELLED",1
"29","0900-0959","SkyWest Airlines Inc.","Bismarck/Mandan, ND: Bismarck Municipal","CANCELLED",1
"30","0900-0959","SkyWest Airlines Inc.","Boise, ID: Boise Air Terminal","CANCELLED",4
"31","0900-0959","Southwest Airlines Co.","Boise, ID: Boise Air Terminal","CANCELLED",3
"32","0900-0959","American Airlines Inc.","Boston, MA: Logan International","CANCELLED",57
"33","0900-0959","Delta Air Lines Inc.","Boston, MA: Logan International","CANCELLED",11
"34","0900-0959","ExpressJet Airlines Inc.","Boston, MA: Logan International","CANCELLED",6
"35","0900-0959","JetBlue Airways","Boston, MA: Logan International","CANCELLED",25
"36","0900-0959","Southwest Airlines Co.","Boston, MA: Logan International","CANCELLED",7
"37","0900-0959","Spirit Air Lines","Boston, MA: Logan International","CANCELLED",6
"38","0900-0959","United Air Lines Inc.","Boston, MA: Logan International","CANCELLED",13
"39","0900-0959","Virgin America","Boston, MA: Logan International","CANCELLED",2
"40","0900-0959","ExpressJet Airlines Inc.","Buffalo, NY: Buffalo Niagara International","CANCELLED",3
"41","0900-0959","SkyWest Airlines Inc.","Buffalo, NY: Buffalo Niagara International","CANCELLED",1
