"","TIME_BLOCK","NAME_AIRLINE","NAME_AIRPORT","COUNT","data_deptimeblk_mean$MEAN"
"1","1100-1159","SkyWest Airlines Inc.","Aberdeen, SD: Aberdeen Regional",80,26.6666666666667
"2","1100-1159","JetBlue Airways","Aguadilla, PR: Rafael Hernandez",223,24.7777777777778
"3","1100-1159","Delta Air Lines Inc.","Akron, OH: Akron-Canton Regional",1955,6.109375
"4","1100-1159","Southwest Airlines Co.","Akron, OH: Akron-Canton Regional",394,3.8252427184466
"5","1100-1159","ExpressJet Airlines Inc.","Albany, GA: Southwest Georgia Regional",1957,12.0061349693252
"6","1100-1159","Delta Air Lines Inc.","Albany, NY: Albany International",182,2.30379746835443
"7","1100-1159","ExpressJet Airlines Inc.","Albany, NY: Albany International",1499,18.5061728395062
"8","1100-1159","JetBlue Airways","Albany, NY: Albany International",363,6.98076923076923
"9","1100-1159","SkyWest Airlines Inc.","Albany, NY: Albany International",1108,11.6631578947368
"10","1100-1159","Southwest Airlines Co.","Albany, NY: Albany International",1773,8.28504672897196
"11","1100-1159","United Air Lines Inc.","Albany, NY: Albany International",706,14.7083333333333
"12","1100-1159","American Airlines Inc.","Albuquerque, NM: Albuquerque International Sunport",535,9.22413793103448
"13","1100-1159","ExpressJet Airlines Inc.","Albuquerque, NM: Albuquerque International Sunport",524,6.71794871794872
"14","1100-1159","SkyWest Airlines Inc.","Albuquerque, NM: Albuquerque International Sunport",1129,4.84549356223176
"15","1100-1159","Southwest Airlines Co.","Albuquerque, NM: Albuquerque International Sunport",5911,5.81791338582677
"16","1100-1159","United Air Lines Inc.","Albuquerque, NM: Albuquerque International Sunport",1144,9.77777777777778
"17","1100-1159","ExpressJet Airlines Inc.","Alexandria, LA: Alexandria International",940,5.62874251497006
"18","1100-1159","ExpressJet Airlines Inc.","Allentown/Bethlehem/Easton, PA: Lehigh Valley International",1707,17.07
"19","1100-1159","ExpressJet Airlines Inc.","Amarillo, TX: Rick Husband Amarillo International",1847,7.27165354330709
"20","1100-1159","SkyWest Airlines Inc.","Amarillo, TX: Rick Husband Amarillo International",0,0
"21","1100-1159","Southwest Airlines Co.","Amarillo, TX: Rick Husband Amarillo International",1333,10.0225563909774
"22","1100-1159","Alaska Airlines Inc.","Anchorage, AK: Ted Stevens Anchorage International",1848,1.93103448275862
"23","1100-1159","Delta Air Lines Inc.","Appleton, WI: Appleton International",17,0.894736842105263
"24","1100-1159","ExpressJet Airlines Inc.","Appleton, WI: Appleton International",728,9.33333333333333
"25","1100-1159","SkyWest Airlines Inc.","Appleton, WI: Appleton International",974,6.67123287671233
"26","1100-1159","SkyWest Airlines Inc.","Arcata/Eureka, CA: Arcata",3309,25.2595419847328
"27","1100-1159","ExpressJet Airlines Inc.","Asheville, NC: Asheville Regional",131,5.95454545454545
"28","1100-1159","SkyWest Airlines Inc.","Aspen, CO: Aspen Pitkin County Sardy Field",8846,21.5756097560976
"29","1100-1159","American Airlines Inc.","Atlanta, GA: Hartsfield-Jackson Atlanta International",9150,10.2924634420697
"30","1100-1159","Delta Air Lines Inc.","Atlanta, GA: Hartsfield-Jackson Atlanta International",77359,6.63456260720412
"31","1100-1159","ExpressJet Airlines Inc.","Atlanta, GA: Hartsfield-Jackson Atlanta International",26857,12.382203780544
"32","1100-1159","Frontier Airlines Inc.","Atlanta, GA: Hartsfield-Jackson Atlanta International",804,8.20408163265306
"33","1100-1159","SkyWest Airlines Inc.","Atlanta, GA: Hartsfield-Jackson Atlanta International",1232,30.8
"34","1100-1159","Southwest Airlines Co.","Atlanta, GA: Hartsfield-Jackson Atlanta International",10444,7.31885073580939
"35","1100-1159","Spirit Air Lines","Atlanta, GA: Hartsfield-Jackson Atlanta International",6608,15.9228915662651
"36","1100-1159","United Air Lines Inc.","Atlanta, GA: Hartsfield-Jackson Atlanta International",3187,8.23514211886305
"37","1100-1159","ExpressJet Airlines Inc.","Augusta, GA: Augusta Regional at Bush Field",0,0
"38","1100-1159","American Airlines Inc.","Austin, TX: Austin - Bergstrom International",3851,8.29956896551724
"39","1100-1159","Delta Air Lines Inc.","Austin, TX: Austin - Bergstrom International",1761,10.0628571428571
"40","1100-1159","ExpressJet Airlines Inc.","Austin, TX: Austin - Bergstrom International",937,13.5797101449275
"41","1100-1159","Frontier Airlines Inc.","Austin, TX: Austin - Bergstrom International",943,18.86
"42","1100-1159","JetBlue Airways","Austin, TX: Austin - Bergstrom International",3470,9.25333333333333
"43","1100-1159","SkyWest Airlines Inc.","Austin, TX: Austin - Bergstrom International",965,26.0810810810811
"44","1100-1159","Southwest Airlines Co.","Austin, TX: Austin - Bergstrom International",8379,7.10687022900763
"45","1100-1159","United Air Lines Inc.","Austin, TX: Austin - Bergstrom International",1222,6.43157894736842
"46","1100-1159","SkyWest Airlines Inc.","Bakersfield, CA: Meadows Field",26,5.2
"47","1100-1159","American Airlines Inc.","Baltimore, MD: Baltimore/Washington International Thurgood Marshall",5424,13.6969696969697
"48","1100-1159","Delta Air Lines Inc.","Baltimore, MD: Baltimore/Washington International Thurgood Marshall",2051,5.77746478873239
"49","1100-1159","ExpressJet Airlines Inc.","Baltimore, MD: Baltimore/Washington International Thurgood Marshall",189,6.51724137931035
"50","1100-1159","JetBlue Airways","Baltimore, MD: Baltimore/Washington International Thurgood Marshall",1862,10.7011494252874
"51","1100-1159","Southwest Airlines Co.","Baltimore, MD: Baltimore/Washington International Thurgood Marshall",20930,7.46699964323939
"52","1100-1159","Spirit Air Lines","Baltimore, MD: Baltimore/Washington International Thurgood Marshall",8535,14.1307947019868
"53","1100-1159","United Air Lines Inc.","Baltimore, MD: Baltimore/Washington International Thurgood Marshall",2453,13.1881720430108
"54","1100-1159","ExpressJet Airlines Inc.","Bangor, ME: Bangor International",308,16.2105263157895
"55","1100-1159","Alaska Airlines Inc.","Barrow, AK: Wiley Post/Will Rogers Memorial",1025,4.57589285714286
"56","1100-1159","Delta Air Lines Inc.","Baton Rouge, LA: Baton Rouge Metropolitan/Ryan Field",1346,12.462962962963
"57","1100-1159","ExpressJet Airlines Inc.","Baton Rouge, LA: Baton Rouge Metropolitan/Ryan Field",3052,13.0987124463519
"58","1100-1159","United Air Lines Inc.","Baton Rouge, LA: Baton Rouge Metropolitan/Ryan Field",2,2
"59","1100-1159","ExpressJet Airlines Inc.","Beaumont/Port Arthur, TX: Jack Brooks Regional",3096,25.1707317073171
"60","1100-1159","Alaska Airlines Inc.","Bellingham, WA: Bellingham International",50,1.47058823529412
"61","1100-1159","SkyWest Airlines Inc.","Bend/Redmond, OR: Roberts Field",1040,21.2244897959184
"62","1100-1159","Delta Air Lines Inc.","Billings, MT: Billings Logan International",0,0
"63","1100-1159","SkyWest Airlines Inc.","Billings, MT: Billings Logan International",155,10.3333333333333
"64","1100-1159","SkyWest Airlines Inc.","Binghamton, NY: Greater Binghamton/Edwin A. Link Field",532,21.28
"65","1100-1159","Delta Air Lines Inc.","Birmingham, AL: Birmingham-Shuttlesworth International",2819,11.4593495934959
