"","TIME_BLOCK","NAME_AIRLINE","NAME_AIRPORT","FLIGHT_STATE","NFLIGHTS"
"1","2300-2359","JetBlue Airways","Albuquerque, NM: Albuquerque International Sunport","CANCELLED",5
"2","2300-2359","Alaska Airlines Inc.","Anchorage, AK: Ted Stevens Anchorage International","CANCELLED",2
"3","2300-2359","American Airlines Inc.","Anchorage, AK: Ted Stevens Anchorage International","CANCELLED",3
"4","2300-2359","JetBlue Airways","Anchorage, AK: Ted Stevens Anchorage International","CANCELLED",1
"5","2300-2359","United Air Lines Inc.","Anchorage, AK: Ted Stevens Anchorage International","CANCELLED",6
"6","2300-2359","Delta Air Lines Inc.","Atlanta, GA: Hartsfield-Jackson Atlanta International","CANCELLED",42
"7","2300-2359","ExpressJet Airlines Inc.","Atlanta, GA: Hartsfield-Jackson Atlanta International","CANCELLED",13
"8","2300-2359","Frontier Airlines Inc.","Atlanta, GA: Hartsfield-Jackson Atlanta International","CANCELLED",2
"9","2300-2359","JetBlue Airways","Boston, MA: Logan International","CANCELLED",2
"10","2300-2359","United Air Lines Inc.","Chicago, IL: Chicago O'Hare International","CANCELLED",1
"11","2300-2359","American Airlines Inc.","Dallas/Fort Worth, TX: Dallas/Fort Worth International","CANCELLED",9
"12","2300-2359","ExpressJet Airlines Inc.","Dallas/Fort Worth, TX: Dallas/Fort Worth International","CANCELLED",1
"13","2300-2359","Spirit Air Lines","Dallas/Fort Worth, TX: Dallas/Fort Worth International","CANCELLED",11
"14","2300-2359","American Airlines Inc.","Denver, CO: Denver International","CANCELLED",3
"15","2300-2359","Delta Air Lines Inc.","Denver, CO: Denver International","CANCELLED",1
"16","2300-2359","Frontier Airlines Inc.","Denver, CO: Denver International","CANCELLED",20
"17","2300-2359","JetBlue Airways","Denver, CO: Denver International","CANCELLED",13
"18","2300-2359","SkyWest Airlines Inc.","Denver, CO: Denver International","CANCELLED",1
"19","2300-2359","Southwest Airlines Co.","Denver, CO: Denver International","CANCELLED",1
"20","2300-2359","Spirit Air Lines","Denver, CO: Denver International","CANCELLED",6
"21","2300-2359","United Air Lines Inc.","Denver, CO: Denver International","CANCELLED",3
"22","2300-2359","Alaska Airlines Inc.","Fairbanks, AK: Fairbanks International","CANCELLED",3
"23","2300-2359","SkyWest Airlines Inc.","Fargo, ND: Hector International","CANCELLED",1
"24","2300-2359","JetBlue Airways","Fort Lauderdale, FL: Fort Lauderdale-Hollywood International","CANCELLED",7
"25","2300-2359","Spirit Air Lines","Fort Lauderdale, FL: Fort Lauderdale-Hollywood International","CANCELLED",7
"26","2300-2359","American Airlines Inc.","Honolulu, HI: Honolulu International","CANCELLED",5
"27","2300-2359","SkyWest Airlines Inc.","Houston, TX: George Bush Intercontinental/Houston","CANCELLED",1
"28","2300-2359","United Air Lines Inc.","Houston, TX: George Bush Intercontinental/Houston","CANCELLED",2
"29","2300-2359","SkyWest Airlines Inc.","Jamestown, ND: Jamestown Regional","CANCELLED",22
"30","2300-2359","Alaska Airlines Inc.","Kahului, HI: Kahului Airport","CANCELLED",2
"31","2300-2359","American Airlines Inc.","Kahului, HI: Kahului Airport","CANCELLED",1
"32","2300-2359","American Airlines Inc.","Kona, HI: Kona International Airport at Keahole","CANCELLED",1
"33","2300-2359","Alaska Airlines Inc.","Las Vegas, NV: McCarran International","CANCELLED",3
"34","2300-2359","Delta Air Lines Inc.","Las Vegas, NV: McCarran International","CANCELLED",3
"35","2300-2359","Frontier Airlines Inc.","Las Vegas, NV: McCarran International","CANCELLED",11
"36","2300-2359","JetBlue Airways","Las Vegas, NV: McCarran International","CANCELLED",4
"37","2300-2359","Spirit Air Lines","Las Vegas, NV: McCarran International","CANCELLED",27
"38","2300-2359","United Air Lines Inc.","Las Vegas, NV: McCarran International","CANCELLED",5
"39","2300-2359","Alaska Airlines Inc.","Los Angeles, CA: Los Angeles International","CANCELLED",2
"40","2300-2359","American Airlines Inc.","Los Angeles, CA: Los Angeles International","CANCELLED",15
"41","2300-2359","Delta Air Lines Inc.","Los Angeles, CA: Los Angeles International","CANCELLED",4
"42","2300-2359","JetBlue Airways","Los Angeles, CA: Los Angeles International","CANCELLED",2
"43","2300-2359","SkyWest Airlines Inc.","Los Angeles, CA: Los Angeles International","CANCELLED",12
"44","2300-2359","Spirit Air Lines","Los Angeles, CA: Los Angeles International","CANCELLED",8
"45","2300-2359","United Air Lines Inc.","Los Angeles, CA: Los Angeles International","CANCELLED",12
"46","2300-2359","Virgin America","Los Angeles, CA: Los Angeles International","CANCELLED",9
