"","TIME_BLOCK","NAME_AIRLINE","NAME_AIRPORT","FLIGHT_STATE","NFLIGHTS"
"1","1500-1559","SkyWest Airlines Inc.","Aberdeen, SD: Aberdeen Regional","CANCELLED",3
"2","1500-1559","Delta Air Lines Inc.","Akron, OH: Akron-Canton Regional","CANCELLED",2
"3","1500-1559","ExpressJet Airlines Inc.","Akron, OH: Akron-Canton Regional","CANCELLED",21
"4","1500-1559","ExpressJet Airlines Inc.","Albany, NY: Albany International","CANCELLED",5
"5","1500-1559","Southwest Airlines Co.","Albany, NY: Albany International","CANCELLED",1
"6","1500-1559","SkyWest Airlines Inc.","Albuquerque, NM: Albuquerque International Sunport","CANCELLED",3
"7","1500-1559","Southwest Airlines Co.","Albuquerque, NM: Albuquerque International Sunport","CANCELLED",2
"8","1500-1559","ExpressJet Airlines Inc.","Allentown/Bethlehem/Easton, PA: Lehigh Valley International","CANCELLED",1
"9","1500-1559","SkyWest Airlines Inc.","Allentown/Bethlehem/Easton, PA: Lehigh Valley International","CANCELLED",1
"10","1500-1559","Alaska Airlines Inc.","Anchorage, AK: Ted Stevens Anchorage International","CANCELLED",17
"11","1500-1559","SkyWest Airlines Inc.","Appleton, WI: Appleton International","CANCELLED",1
"12","1500-1559","ExpressJet Airlines Inc.","Asheville, NC: Asheville Regional","CANCELLED",3
"13","1500-1559","SkyWest Airlines Inc.","Aspen, CO: Aspen Pitkin County Sardy Field","CANCELLED",17
"14","1500-1559","American Airlines Inc.","Atlanta, GA: Hartsfield-Jackson Atlanta International","CANCELLED",2
"15","1500-1559","Delta Air Lines Inc.","Atlanta, GA: Hartsfield-Jackson Atlanta International","CANCELLED",77
"16","1500-1559","ExpressJet Airlines Inc.","Atlanta, GA: Hartsfield-Jackson Atlanta International","CANCELLED",40
"17","1500-1559","Frontier Airlines Inc.","Atlanta, GA: Hartsfield-Jackson Atlanta International","CANCELLED",2
"18","1500-1559","SkyWest Airlines Inc.","Atlanta, GA: Hartsfield-Jackson Atlanta International","CANCELLED",2
"19","1500-1559","Southwest Airlines Co.","Atlanta, GA: Hartsfield-Jackson Atlanta International","CANCELLED",20
"20","1500-1559","Spirit Air Lines","Atlanta, GA: Hartsfield-Jackson Atlanta International","CANCELLED",4
"21","1500-1559","United Air Lines Inc.","Atlanta, GA: Hartsfield-Jackson Atlanta International","CANCELLED",7
"22","1500-1559","ExpressJet Airlines Inc.","Augusta, GA: Augusta Regional at Bush Field","CANCELLED",1
"23","1500-1559","American Airlines Inc.","Austin, TX: Austin - Bergstrom International","CANCELLED",4
"24","1500-1559","JetBlue Airways","Austin, TX: Austin - Bergstrom International","CANCELLED",7
"25","1500-1559","SkyWest Airlines Inc.","Austin, TX: Austin - Bergstrom International","CANCELLED",5
"26","1500-1559","Southwest Airlines Co.","Austin, TX: Austin - Bergstrom International","CANCELLED",9
"27","1500-1559","United Air Lines Inc.","Austin, TX: Austin - Bergstrom International","CANCELLED",1
"28","1500-1559","American Airlines Inc.","Baltimore, MD: Baltimore/Washington International Thurgood Marshall","CANCELLED",5
"29","1500-1559","Delta Air Lines Inc.","Baltimore, MD: Baltimore/Washington International Thurgood Marshall","CANCELLED",3
"30","1500-1559","Southwest Airlines Co.","Baltimore, MD: Baltimore/Washington International Thurgood Marshall","CANCELLED",73
"31","1500-1559","Spirit Air Lines","Baltimore, MD: Baltimore/Washington International Thurgood Marshall","CANCELLED",3
"32","1500-1559","United Air Lines Inc.","Baltimore, MD: Baltimore/Washington International Thurgood Marshall","CANCELLED",2
"33","1500-1559","ExpressJet Airlines Inc.","Baton Rouge, LA: Baton Rouge Metropolitan/Ryan Field","CANCELLED",7
"34","1500-1559","SkyWest Airlines Inc.","Bend/Redmond, OR: Roberts Field","CANCELLED",6
"35","1500-1559","ExpressJet Airlines Inc.","Birmingham, AL: Birmingham-Shuttlesworth International","CANCELLED",1
"36","1500-1559","SkyWest Airlines Inc.","Bismarck/Mandan, ND: Bismarck Municipal","CANCELLED",1
"37","1500-1559","SkyWest Airlines Inc.","Bloomington/Normal, IL: Central Illinois Regional","CANCELLED",1
"38","1500-1559","SkyWest Airlines Inc.","Boise, ID: Boise Air Terminal","CANCELLED",2
"39","1500-1559","Southwest Airlines Co.","Boise, ID: Boise Air Terminal","CANCELLED",4
"40","1500-1559","American Airlines Inc.","Boston, MA: Logan International","CANCELLED",33
"41","1500-1559","Delta Air Lines Inc.","Boston, MA: Logan International","CANCELLED",4
"42","1500-1559","ExpressJet Airlines Inc.","Boston, MA: Logan International","CANCELLED",1
"43","1500-1559","JetBlue Airways","Boston, MA: Logan International","CANCELLED",35
"44","1500-1559","Southwest Airlines Co.","Boston, MA: Logan International","CANCELLED",3
"45","1500-1559","United Air Lines Inc.","Boston, MA: Logan International","CANCELLED",10
"46","1500-1559","SkyWest Airlines Inc.","Brainerd, MN: Brainerd Lakes Regional","CANCELLED",3
"47","1500-1559","ExpressJet Airlines Inc.","Bristol/Johnson City/Kingsport, TN: Tri-Cities Regional TN/VA","CANCELLED",1
"48","1500-1559","ExpressJet Airlines Inc.","Buffalo, NY: Buffalo Niagara International","CANCELLED",18
"49","1500-1559","JetBlue Airways","Buffalo, NY: Buffalo Niagara International","CANCELLED",1
"50","1500-1559","Southwest Airlines Co.","Buffalo, NY: Buffalo Niagara International","CANCELLED",9
"51","1500-1559","SkyWest Airlines Inc.","Burbank, CA: Bob Hope","CANCELLED",4
"52","1500-1559","Southwest Airlines Co.","Burbank, CA: Bob Hope","CANCELLED",12
