"","TIME_BLOCK","NAME_AIRLINE","NAME_AIRPORT","COUNT","data_deptimeblk_mean$MEAN"
"1","1300-1359","SkyWest Airlines Inc.","Aberdeen, SD: Aberdeen Regional",1771,6.44
"2","1300-1359","ExpressJet Airlines Inc.","Akron, OH: Akron-Canton Regional",3700,16.5178571428571
"3","1300-1359","SkyWest Airlines Inc.","Akron, OH: Akron-Canton Regional",769,15.38
"4","1300-1359","Southwest Airlines Co.","Akron, OH: Akron-Canton Regional",236,6.05128205128205
"5","1300-1359","Spirit Air Lines","Akron, OH: Akron-Canton Regional",310,10.6896551724138
"6","1300-1359","American Airlines Inc.","Albany, NY: Albany International",8,2.66666666666667
"7","1300-1359","ExpressJet Airlines Inc.","Albany, NY: Albany International",237,13.9411764705882
"8","1300-1359","JetBlue Airways","Albany, NY: Albany International",476,7.1044776119403
"9","1300-1359","SkyWest Airlines Inc.","Albany, NY: Albany International",209,5.35897435897436
"10","1300-1359","Southwest Airlines Co.","Albany, NY: Albany International",1936,5.64431486880467
"11","1300-1359","United Air Lines Inc.","Albany, NY: Albany International",1131,18.241935483871
"12","1300-1359","Delta Air Lines Inc.","Albuquerque, NM: Albuquerque International Sunport",2574,7.50437317784257
"13","1300-1359","ExpressJet Airlines Inc.","Albuquerque, NM: Albuquerque International Sunport",1138,20.3214285714286
"14","1300-1359","SkyWest Airlines Inc.","Albuquerque, NM: Albuquerque International Sunport",471,6.45205479452055
"15","1300-1359","Southwest Airlines Co.","Albuquerque, NM: Albuquerque International Sunport",8658,10.904282115869
"16","1300-1359","United Air Lines Inc.","Albuquerque, NM: Albuquerque International Sunport",0,0
"17","1300-1359","ExpressJet Airlines Inc.","Alexandria, LA: Alexandria International",4109,14.8876811594203
"18","1300-1359","Delta Air Lines Inc.","Allentown/Bethlehem/Easton, PA: Lehigh Valley International",3,0.75
"19","1300-1359","ExpressJet Airlines Inc.","Allentown/Bethlehem/Easton, PA: Lehigh Valley International",5720,20.952380952381
"20","1300-1359","SkyWest Airlines Inc.","Alpena, MI: Alpena County Regional",4357,16.3796992481203
"21","1300-1359","ExpressJet Airlines Inc.","Amarillo, TX: Rick Husband Amarillo International",283,8.57575757575758
"22","1300-1359","Southwest Airlines Co.","Amarillo, TX: Rick Husband Amarillo International",1291,9.28776978417266
"23","1300-1359","Alaska Airlines Inc.","Anchorage, AK: Ted Stevens Anchorage International",3218,5.85090909090909
"24","1300-1359","Delta Air Lines Inc.","Anchorage, AK: Ted Stevens Anchorage International",797,6.99122807017544
"25","1300-1359","United Air Lines Inc.","Anchorage, AK: Ted Stevens Anchorage International",854,17.08
"26","1300-1359","ExpressJet Airlines Inc.","Appleton, WI: Appleton International",980,7.71653543307087
"27","1300-1359","SkyWest Airlines Inc.","Appleton, WI: Appleton International",1342,6.61083743842365
"28","1300-1359","SkyWest Airlines Inc.","Arcata/Eureka, CA: Arcata",630,28.6363636363636
"29","1300-1359","Delta Air Lines Inc.","Asheville, NC: Asheville Regional",5,0.555555555555556
"30","1300-1359","ExpressJet Airlines Inc.","Asheville, NC: Asheville Regional",2036,14.9705882352941
"31","1300-1359","SkyWest Airlines Inc.","Asheville, NC: Asheville Regional",40,13.3333333333333
"32","1300-1359","SkyWest Airlines Inc.","Aspen, CO: Aspen Pitkin County Sardy Field",11497,23.2262626262626
"33","1300-1359","American Airlines Inc.","Atlanta, GA: Hartsfield-Jackson Atlanta International",3518,8.12471131639723
"34","1300-1359","Delta Air Lines Inc.","Atlanta, GA: Hartsfield-Jackson Atlanta International",109960,7.60600401189735
"35","1300-1359","ExpressJet Airlines Inc.","Atlanta, GA: Hartsfield-Jackson Atlanta International",72194,13.6575860764283
"36","1300-1359","Frontier Airlines Inc.","Atlanta, GA: Hartsfield-Jackson Atlanta International",4560,15.6164383561644
