"","TIME_BLOCK","NAME_AIRLINE","NAME_AIRPORT","FLIGHT_STATE","NFLIGHTS"
"1","1800-1859","Alaska Airlines Inc.","Adak Island, AK: Adak","CANCELLED",3
"2","1800-1859","ExpressJet Airlines Inc.","Akron, OH: Akron-Canton Regional","CANCELLED",1
"3","1800-1859","Delta Air Lines Inc.","Albany, NY: Albany International","CANCELLED",2
"4","1800-1859","ExpressJet Airlines Inc.","Albany, NY: Albany International","CANCELLED",1
"5","1800-1859","Southwest Airlines Co.","Albuquerque, NM: Albuquerque International Sunport","CANCELLED",3
"6","1800-1859","ExpressJet Airlines Inc.","Alexandria, LA: Alexandria International","CANCELLED",6
"7","1800-1859","ExpressJet Airlines Inc.","Allentown/Bethlehem/Easton, PA: Lehigh Valley International","CANCELLED",2
"8","1800-1859","Southwest Airlines Co.","Amarillo, TX: Rick Husband Amarillo International","CANCELLED",6
"9","1800-1859","Alaska Airlines Inc.","Anchorage, AK: Ted Stevens Anchorage International","CANCELLED",1
"10","1800-1859","ExpressJet Airlines Inc.","Appleton, WI: Appleton International","CANCELLED",10
"11","1800-1859","SkyWest Airlines Inc.","Arcata/Eureka, CA: Arcata","CANCELLED",5
"12","1800-1859","ExpressJet Airlines Inc.","Asheville, NC: Asheville Regional","CANCELLED",1
"13","1800-1859","SkyWest Airlines Inc.","Aspen, CO: Aspen Pitkin County Sardy Field","CANCELLED",17
"14","1800-1859","American Airlines Inc.","Atlanta, GA: Hartsfield-Jackson Atlanta International","CANCELLED",4
"15","1800-1859","Delta Air Lines Inc.","Atlanta, GA: Hartsfield-Jackson Atlanta International","CANCELLED",35
"16","1800-1859","ExpressJet Airlines Inc.","Atlanta, GA: Hartsfield-Jackson Atlanta International","CANCELLED",29
"17","1800-1859","Frontier Airlines Inc.","Atlanta, GA: Hartsfield-Jackson Atlanta International","CANCELLED",2
"18","1800-1859","SkyWest Airlines Inc.","Atlanta, GA: Hartsfield-Jackson Atlanta International","CANCELLED",4
"19","1800-1859","Southwest Airlines Co.","Atlanta, GA: Hartsfield-Jackson Atlanta International","CANCELLED",11
"20","1800-1859","Spirit Air Lines","Atlanta, GA: Hartsfield-Jackson Atlanta International","CANCELLED",14
"21","1800-1859","United Air Lines Inc.","Atlanta, GA: Hartsfield-Jackson Atlanta International","CANCELLED",5
"22","1800-1859","Spirit Air Lines","Atlantic City, NJ: Atlantic City International","CANCELLED",8
"23","1800-1859","American Airlines Inc.","Austin, TX: Austin - Bergstrom International","CANCELLED",10
"24","1800-1859","Delta Air Lines Inc.","Austin, TX: Austin - Bergstrom International","CANCELLED",3
"25","1800-1859","Southwest Airlines Co.","Austin, TX: Austin - Bergstrom International","CANCELLED",12
"26","1800-1859","American Airlines Inc.","Baltimore, MD: Baltimore/Washington International Thurgood Marshall","CANCELLED",5
"27","1800-1859","Delta Air Lines Inc.","Baltimore, MD: Baltimore/Washington International Thurgood Marshall","CANCELLED",2
"28","1800-1859","JetBlue Airways","Baltimore, MD: Baltimore/Washington International Thurgood Marshall","CANCELLED",3
"29","1800-1859","Southwest Airlines Co.","Baltimore, MD: Baltimore/Washington International Thurgood Marshall","CANCELLED",77
"30","1800-1859","Spirit Air Lines","Baltimore, MD: Baltimore/Washington International Thurgood Marshall","CANCELLED",17
"31","1800-1859","United Air Lines Inc.","Baltimore, MD: Baltimore/Washington International Thurgood Marshall","CANCELLED",3
"32","1800-1859","Alaska Airlines Inc.","Barrow, AK: Wiley Post/Will Rogers Memorial","CANCELLED",4
"33","1800-1859","ExpressJet Airlines Inc.","Baton Rouge, LA: Baton Rouge Metropolitan/Ryan Field","CANCELLED",1
"34","1800-1859","ExpressJet Airlines Inc.","Beaumont/Port Arthur, TX: Jack Brooks Regional","CANCELLED",2
"35","1800-1859","Delta Air Lines Inc.","Birmingham, AL: Birmingham-Shuttlesworth International","CANCELLED",2
"36","1800-1859","ExpressJet Airlines Inc.","Birmingham, AL: Birmingham-Shuttlesworth International","CANCELLED",12
"37","1800-1859","Southwest Airlines Co.","Birmingham, AL: Birmingham-Shuttlesworth International","CANCELLED",10
"38","1800-1859","SkyWest Airlines Inc.","Boise, ID: Boise Air Terminal","CANCELLED",1
"39","1800-1859","Southwest Airlines Co.","Boise, ID: Boise Air Terminal","CANCELLED",3
"40","1800-1859","Alaska Airlines Inc.","Boston, MA: Logan International","CANCELLED",3
"41","1800-1859","American Airlines Inc.","Boston, MA: Logan International","CANCELLED",35
"42","1800-1859","Delta Air Lines Inc.","Boston, MA: Logan International","CANCELLED",7
"43","1800-1859","ExpressJet Airlines Inc.","Boston, MA: Logan International","CANCELLED",5
"44","1800-1859","JetBlue Airways","Boston, MA: Logan International","CANCELLED",20
"45","1800-1859","Southwest Airlines Co.","Boston, MA: Logan International","CANCELLED",2
"46","1800-1859","Spirit Air Lines","Boston, MA: Logan International","CANCELLED",6
"47","1800-1859","United Air Lines Inc.","Boston, MA: Logan International","CANCELLED",11
"48","1800-1859","Virgin America","Boston, MA: Logan International","CANCELLED",1
"49","1800-1859","ExpressJet Airlines Inc.","Bristol/Johnson City/Kingsport, TN: Tri-Cities Regional TN/VA","CANCELLED",3
"50","1800-1859","American Airlines Inc.","Buffalo, NY: Buffalo Niagara International","CANCELLED",2
"51","1800-1859","ExpressJet Airlines Inc.","Buffalo, NY: Buffalo Niagara International","CANCELLED",20
"52","1800-1859","JetBlue Airways","Buffalo, NY: Buffalo Niagara International","CANCELLED",5
"53","1800-1859","Southwest Airlines Co.","Buffalo, NY: Buffalo Niagara International","CANCELLED",10
"54","1800-1859","SkyWest Airlines Inc.","Burbank, CA: Bob Hope","CANCELLED",4
"55","1800-1859","Southwest Airlines Co.","Burbank, CA: Bob Hope","CANCELLED",10
"56","1800-1859","ExpressJet Airlines Inc.","Burlington, VT: Burlington International","CANCELLED",21
"57","1800-1859","ExpressJet Airlines Inc.","Cedar Rapids/Iowa City, IA: The Eastern Iowa","CANCELLED",1
"58","1800-1859","SkyWest Airlines Inc.","Cedar Rapids/Iowa City, IA: The Eastern Iowa","CANCELLED",1
"59","1800-1859","American Airlines Inc.","Charleston, SC: Charleston AFB/International","CANCELLED",1
"60","1800-1859","Delta Air Lines Inc.","Charleston, SC: Charleston AFB/International","CANCELLED",4
"61","1800-1859","ExpressJet Airlines Inc.","Charleston, SC: Charleston AFB/International","CANCELLED",16
"62","1800-1859","JetBlue Airways","Charleston, SC: Charleston AFB/International","CANCELLED",4
"63","1800-1859","Southwest Airlines Co.","Charleston, SC: Charleston AFB/International","CANCELLED",5
"64","1800-1859","ExpressJet Airlines Inc.","Charleston/Dunbar, WV: Yeager","CANCELLED",6
"65","1800-1859","SkyWest Airlines Inc.","Charleston/Dunbar, WV: Yeager","CANCELLED",2
"66","1800-1859","JetBlue Airways","Charlotte Amalie, VI: Cyril E King","CANCELLED",1
"67","1800-1859","American Airlines Inc.","Charlotte, NC: Charlotte Douglas International","CANCELLED",73
"68","1800-1859","Delta Air Lines Inc.","Charlotte, NC: Charlotte Douglas International","CANCELLED",4
"69","1800-1859","ExpressJet Airlines Inc.","Charlotte, NC: Charlotte Douglas International","CANCELLED",24
"70","1800-1859","Frontier Airlines Inc.","Charlotte, NC: Charlotte Douglas International","CANCELLED",2
"71","1800-1859","SkyWest Airlines Inc.","Charlotte, NC: Charlotte Douglas International","CANCELLED",1
"72","1800-1859","Southwest Airlines Co.","Charlotte, NC: Charlotte Douglas International","CANCELLED",5
"73","1800-1859","SkyWest Airlines Inc.","Charlottesville, VA: Charlottesville Albemarle","CANCELLED",12
"74","1800-1859","SkyWest Airlines Inc.","Chattanooga, TN: Lovell Field","CANCELLED",1
"75","1800-1859","Delta Air Lines Inc.","Chicago, IL: Chicago Midway International","CANCELLED",2
"76","1800-1859","ExpressJet Airlines Inc.","Chicago, IL: Chicago Midway International","CANCELLED",2
"77","1800-1859","Southwest Airlines Co.","Chicago, IL: Chicago Midway International","CANCELLED",68
"78","1800-1859","American Airlines Inc.","Chicago, IL: Chicago O'Hare International","CANCELLED",104
"79","1800-1859","Delta Air Lines Inc.","Chicago, IL: Chicago O'Hare International","CANCELLED",1
"80","1800-1859","ExpressJet Airlines Inc.","Chicago, IL: Chicago O'Hare International","CANCELLED",114
"81","1800-1859","JetBlue Airways","Chicago, IL: Chicago O'Hare International","CANCELLED",1
"82","1800-1859","SkyWest Airlines Inc.","Chicago, IL: Chicago O'Hare International","CANCELLED",41
"83","1800-1859","Spirit Air Lines","Chicago, IL: Chicago O'Hare International","CANCELLED",19
"84","1800-1859","United Air Lines Inc.","Chicago, IL: Chicago O'Hare International","CANCELLED",37
"85","1800-1859","Virgin America","Chicago, IL: Chicago O'Hare International","CANCELLED",5
"86","1800-1859","Delta Air Lines Inc.","Cincinnati, OH: Cincinnati/Northern Kentucky International","CANCELLED",3
"87","1800-1859","ExpressJet Airlines Inc.","Cincinnati, OH: Cincinnati/Northern Kentucky International","CANCELLED",11
"88","1800-1859","Frontier Airlines Inc.","Cincinnati, OH: Cincinnati/Northern Kentucky International","CANCELLED",4
"89","1800-1859","SkyWest Airlines Inc.","Cincinnati, OH: Cincinnati/Northern Kentucky International","CANCELLED",4
"90","1800-1859","American Airlines Inc.","Cleveland, OH: Cleveland-Hopkins International","CANCELLED",1
"91","1800-1859","Delta Air Lines Inc.","Cleveland, OH: Cleveland-Hopkins International","CANCELLED",3
"92","1800-1859","ExpressJet Airlines Inc.","Cleveland, OH: Cleveland-Hopkins International","CANCELLED",63
"93","1800-1859","Frontier Airlines Inc.","Cleveland, OH: Cleveland-Hopkins International","CANCELLED",3
"94","1800-1859","Southwest Airlines Co.","Cleveland, OH: Cleveland-Hopkins International","CANCELLED",6
"95","1800-1859","Spirit Air Lines","Cleveland, OH: Cleveland-Hopkins International","CANCELLED",7
"96","1800-1859","United Air Lines Inc.","Cleveland, OH: Cleveland-Hopkins International","CANCELLED",1
"97","1800-1859","ExpressJet Airlines Inc.","College Station/Bryan, TX: Easterwood Field","CANCELLED",1
"98","1800-1859","ExpressJet Airlines Inc.","Columbus, GA: Columbus Airport","CANCELLED",3
"99","1800-1859","American Airlines Inc.","Columbus, OH: Port Columbus International","CANCELLED",3
"100","1800-1859","ExpressJet Airlines Inc.","Columbus, OH: Port Columbus International","CANCELLED",3
"101","1800-1859","Southwest Airlines Co.","Columbus, OH: Port Columbus International","CANCELLED",20
"102","1800-1859","United Air Lines Inc.","Columbus, OH: Port Columbus International","CANCELLED",2
"103","1800-1859","Southwest Airlines Co.","Corpus Christi, TX: Corpus Christi International","CANCELLED",4
"104","1800-1859","Delta Air Lines Inc.","Dallas, TX: Dallas Love Field","CANCELLED",3
"105","1800-1859","Southwest Airlines Co.","Dallas, TX: Dallas Love Field","CANCELLED",73
"106","1800-1859","Virgin America","Dallas, TX: Dallas Love Field","CANCELLED",4
"107","1800-1859","American Airlines Inc.","Dallas/Fort Worth, TX: Dallas/Fort Worth International","CANCELLED",196
