"","TIME_BLOCK","NAME_AIRLINE","NAME_AIRPORT","COUNT","data_deptimeblk_mean$MEAN"
"1","2100-2159","Southwest Airlines Co.","Albany, NY: Albany International",0,0
"2","2100-2159","United Air Lines Inc.","Albany, NY: Albany International",22,5.5
"3","2100-2159","Southwest Airlines Co.","Albuquerque, NM: Albuquerque International Sunport",52,17.3333333333333
"4","2100-2159","United Air Lines Inc.","Albuquerque, NM: Albuquerque International Sunport",0,0
"5","2100-2159","ExpressJet Airlines Inc.","Alexandria, LA: Alexandria International",0,0
"6","2100-2159","American Airlines Inc.","Amarillo, TX: Rick Husband Amarillo International",0,0
"7","2100-2159","Alaska Airlines Inc.","Anchorage, AK: Ted Stevens Anchorage International",2217,6.67771084337349
"8","2100-2159","Delta Air Lines Inc.","Anchorage, AK: Ted Stevens Anchorage International",3190,10.8135593220339
"9","2100-2159","United Air Lines Inc.","Anchorage, AK: Ted Stevens Anchorage International",1266,48.6923076923077
"10","2100-2159","Alaska Airlines Inc.","Atlanta, GA: Hartsfield-Jackson Atlanta International",0,0
"11","2100-2159","American Airlines Inc.","Atlanta, GA: Hartsfield-Jackson Atlanta International",110,9.16666666666667
"12","2100-2159","Delta Air Lines Inc.","Atlanta, GA: Hartsfield-Jackson Atlanta International",218524,11.5921701766485
"13","2100-2159","ExpressJet Airlines Inc.","Atlanta, GA: Hartsfield-Jackson Atlanta International",64357,16.9807387862797
"14","2100-2159","Frontier Airlines Inc.","Atlanta, GA: Hartsfield-Jackson Atlanta International",2114,11.4891304347826
"15","2100-2159","SkyWest Airlines Inc.","Atlanta, GA: Hartsfield-Jackson Atlanta International",6605,20.0151515151515
"16","2100-2159","Southwest Airlines Co.","Atlanta, GA: Hartsfield-Jackson Atlanta International",39707,15.5652685221482
"17","2100-2159","Spirit Air Lines","Atlanta, GA: Hartsfield-Jackson Atlanta International",5277,24.8915094339623
"18","2100-2159","United Air Lines Inc.","Atlanta, GA: Hartsfield-Jackson Atlanta International",3239,25.1085271317829
"19","2100-2159","Spirit Air Lines","Atlantic City, NJ: Atlantic City International",0,0
"20","2100-2159","American Airlines Inc.","Austin, TX: Austin - Bergstrom International",2442,22.2
"21","2100-2159","Frontier Airlines Inc.","Austin, TX: Austin - Bergstrom International",843,16.86
"22","2100-2159","SkyWest Airlines Inc.","Austin, TX: Austin - Bergstrom International",9,4.5
"23","2100-2159","Southwest Airlines Co.","Austin, TX: Austin - Bergstrom International",3737,11.9775641025641
"24","2100-2159","United Air Lines Inc.","Austin, TX: Austin - Bergstrom International",10,2
"25","2100-2159","American Airlines Inc.","Baltimore, MD: Baltimore/Washington International Thurgood Marshall",29,5.8
"26","2100-2159","Delta Air Lines Inc.","Baltimore, MD: Baltimore/Washington International Thurgood Marshall",0,0
"27","2100-2159","ExpressJet Airlines Inc.","Baltimore, MD: Baltimore/Washington International Thurgood Marshall",0,0
"28","2100-2159","Southwest Airlines Co.","Baltimore, MD: Baltimore/Washington International Thurgood Marshall",61018,22.0361141206212
"29","2100-2159","Spirit Air Lines","Baltimore, MD: Baltimore/Washington International Thurgood Marshall",1917,23.9625
"30","2100-2159","United Air Lines Inc.","Baltimore, MD: Baltimore/Washington International Thurgood Marshall",7,1.4
"31","2100-2159","ExpressJet Airlines Inc.","Baton Rouge, LA: Baton Rouge Metropolitan/Ryan Field",173,19.2222222222222
"32","2100-2159","Alaska Airlines Inc.","Bethel, AK: Bethel Airport",1335,3.77118644067797
"33","2100-2159","SkyWest Airlines Inc.","Billings, MT: Billings Logan International",38,19
"34","2100-2159","United Air Lines Inc.","Billings, MT: Billings Logan International",29,14.5
"35","2100-2159","ExpressJet Airlines Inc.","Birmingham, AL: Birmingham-Shuttlesworth International",0,0
"36","2100-2159","American Airlines Inc.","Boise, ID: Boise Air Terminal",91,6.5
"37","2100-2159","SkyWest Airlines Inc.","Boise, ID: Boise Air Terminal",81,27
"38","2100-2159","Southwest Airlines Co.","Boise, ID: Boise Air Terminal",556,12.0869565217391
"39","2100-2159","American Airlines Inc.","Boston, MA: Logan International",4878,13.5124653739612
"40","2100-2159","Delta Air Lines Inc.","Boston, MA: Logan International",0,0
"41","2100-2159","ExpressJet Airlines Inc.","Boston, MA: Logan International",0,0
"42","2100-2159","JetBlue Airways","Boston, MA: Logan International",13700,24.5960502692998
"43","2100-2159","Southwest Airlines Co.","Boston, MA: Logan International",7467,19.7539682539683
"44","2100-2159","Spirit Air Lines","Boston, MA: Logan International",3870,26.5068493150685
"45","2100-2159","United Air Lines Inc.","Boston, MA: Logan International",3784,21.2584269662921
"46","2100-2159","Frontier Airlines Inc.","Bozeman, MT: Bozeman Yellowstone International",198,14.1428571428571
"47","2100-2159","United Air Lines Inc.","Bozeman, MT: Bozeman Yellowstone International",14,3.5
"48","2100-2159","American Airlines Inc.","Buffalo, NY: Buffalo Niagara International",66,33
"49","2100-2159","ExpressJet Airlines Inc.","Buffalo, NY: Buffalo Niagara International",200,50
"50","2100-2159","JetBlue Airways","Buffalo, NY: Buffalo Niagara International",1004,18.9433962264151
"51","2100-2159","SkyWest Airlines Inc.","Buffalo, NY: Buffalo Niagara International",60,3.75
"52","2100-2159","Southwest Airlines Co.","Buffalo, NY: Buffalo Niagara International",567,20.25
"53","2100-2159","JetBlue Airways","Burbank, CA: Bob Hope",7762,21.6815642458101
"54","2100-2159","SkyWest Airlines Inc.","Burbank, CA: Bob Hope",13,4.33333333333333
"55","2100-2159","Southwest Airlines Co.","Burbank, CA: Bob Hope",10375,11.04898828541
"56","2100-2159","United Air Lines Inc.","Burlington, VT: Burlington International",28,28
"57","2100-2159","American Airlines Inc.","Charleston, SC: Charleston AFB/International",0,0
"58","2100-2159","ExpressJet Airlines Inc.","Charleston, SC: Charleston AFB/International",31,7.75
"59","2100-2159","American Airlines Inc.","Charlotte, NC: Charlotte Douglas International",953,18.6862745098039
"60","2100-2159","Frontier Airlines Inc.","Charlotte, NC: Charlotte Douglas International",3903,22.9588235294118
"61","2100-2159","SkyWest Airlines Inc.","Charlotte, NC: Charlotte Douglas International",49,24.5
"62","2100-2159","United Air Lines Inc.","Charlotte, NC: Charlotte Douglas International",3,3
"63","2100-2159","Delta Air Lines Inc.","Charlottesville, VA: Charlottesville Albemarle",0,0
"64","2100-2159","Southwest Airlines Co.","Chicago, IL: Chicago Midway International",80762,12.40393180771
"65","2100-2159","American Airlines Inc.","Chicago, IL: Chicago O'Hare International",20048,22.1769911504425
"66","2100-2159","Delta Air Lines Inc.","Chicago, IL: Chicago O'Hare International",15,15
"67","2100-2159","ExpressJet Airlines Inc.","Chicago, IL: Chicago O'Hare International",14302,12.0691983122363
"68","2100-2159","Frontier Airlines Inc.","Chicago, IL: Chicago O'Hare International",12160,28.2790697674419
"69","2100-2159","SkyWest Airlines Inc.","Chicago, IL: Chicago O'Hare International",33315,13.789321192053
"70","2100-2159","Spirit Air Lines","Chicago, IL: Chicago O'Hare International",22010,24.37430786268
"71","2100-2159","United Air Lines Inc.","Chicago, IL: Chicago O'Hare International",71783,21.7260895883777
"72","2100-2159","ExpressJet Airlines Inc.","Cincinnati, OH: Cincinnati/Northern Kentucky International",3,3
"73","2100-2159","SkyWest Airlines Inc.","Cincinnati, OH: Cincinnati/Northern Kentucky International",77,38.5
"74","2100-2159","American Airlines Inc.","Cleveland, OH: Cleveland-Hopkins International",5,5
"75","2100-2159","ExpressJet Airlines Inc.","Cleveland, OH: Cleveland-Hopkins International",5578,19.1027397260274
"76","2100-2159","Frontier Airlines Inc.","Cleveland, OH: Cleveland-Hopkins International",2239,27.641975308642
"77","2100-2159","SkyWest Airlines Inc.","Cleveland, OH: Cleveland-Hopkins International",1619,18.8255813953488
"78","2100-2159","Southwest Airlines Co.","Cleveland, OH: Cleveland-Hopkins International",1705,12.8195488721805
"79","2100-2159","Spirit Air Lines","Cleveland, OH: Cleveland-Hopkins International",4508,44.6336633663366
"80","2100-2159","United Air Lines Inc.","Cleveland, OH: Cleveland-Hopkins International",75,8.33333333333333
"81","2100-2159","ExpressJet Airlines Inc.","Columbia, SC: Columbia Metropolitan",0,0
"82","2100-2159","American Airlines Inc.","Columbus, OH: Port Columbus International",11,2.75
"83","2100-2159","Delta Air Lines Inc.","Columbus, OH: Port Columbus International",0,0
"84","2100-2159","Frontier Airlines Inc.","Columbus, OH: Port Columbus International",1746,12.125
"85","2100-2159","SkyWest Airlines Inc.","Columbus, OH: Port Columbus International",0,0
"86","2100-2159","Southwest Airlines Co.","Columbus, OH: Port Columbus International",2672,11.2742616033755
"87","2100-2159","United Air Lines Inc.","Columbus, OH: Port Columbus International",0,0
"88","2100-2159","American Airlines Inc.","Corpus Christi, TX: Corpus Christi International",0,0
"89","2100-2159","ExpressJet Airlines Inc.","Corpus Christi, TX: Corpus Christi International",0,0
"90","2100-2159","SkyWest Airlines Inc.","Corpus Christi, TX: Corpus Christi International",0,0
"91","2100-2159","Southwest Airlines Co.","Dallas, TX: Dallas Love Field",51026,19.1180217309854
"92","2100-2159","American Airlines Inc.","Dallas/Fort Worth, TX: Dallas/Fort Worth International",13310,11.4445399828031
"93","2100-2159","ExpressJet Airlines Inc.","Dallas/Fort Worth, TX: Dallas/Fort Worth International",4795,10.5384615384615
"94","2100-2159","SkyWest Airlines Inc.","Dallas/Fort Worth, TX: Dallas/Fort Worth International",178,178
"95","2100-2159","Spirit Air Lines","Dallas/Fort Worth, TX: Dallas/Fort Worth International",0,NA
"96","2100-2159","United Air Lines Inc.","Dallas/Fort Worth, TX: Dallas/Fort Worth International",0,0
"97","2100-2159","American Airlines Inc.","Dayton, OH: James M Cox/Dayton International",128,42.6666666666667
"98","2100-2159","ExpressJet Airlines Inc.","Dayton, OH: James M Cox/Dayton International",434,14
"99","2100-2159","SkyWest Airlines Inc.","Dayton, OH: James M Cox/Dayton International",144,9
"100","2100-2159","Southwest Airlines Co.","Dayton, OH: James M Cox/Dayton International",0,0
"101","2100-2159","Alaska Airlines Inc.","Deadhorse, AK: Deadhorse Airport",310,3.22916666666667
"102","2100-2159","Alaska Airlines Inc.","Denver, CO: Denver International",68,4.85714285714286
"103","2100-2159","American Airlines Inc.","Denver, CO: Denver International",61,4.35714285714286
"104","2100-2159","Delta Air Lines Inc.","Denver, CO: Denver International",0,0
"105","2100-2159","Frontier Airlines Inc.","Denver, CO: Denver International",28896,21.1073776479182
"106","2100-2159","JetBlue Airways","Denver, CO: Denver International",291,291
"107","2100-2159","SkyWest Airlines Inc.","Denver, CO: Denver International",1361,6.73762376237624
"108","2100-2159","Southwest Airlines Co.","Denver, CO: Denver International",47831,14.193175074184
"109","2100-2159","Spirit Air Lines","Denver, CO: Denver International",495,6.51315789473684
"110","2100-2159","United Air Lines Inc.","Denver, CO: Denver International",817,8.33673469387755
"111","2100-2159","ExpressJet Airlines Inc.","Des Moines, IA: Des Moines International",73,36.5
"112","2100-2159","United Air Lines Inc.","Des Moines, IA: Des Moines International",0,0
"113","2100-2159","Delta Air Lines Inc.","Detroit, MI: Detroit Metro Wayne County",19560,11.2672811059908
"114","2100-2159","ExpressJet Airlines Inc.","Detroit, MI: Detroit Metro Wayne County",4053,17.5454545454545
"115","2100-2159","SkyWest Airlines Inc.","Detroit, MI: Detroit Metro Wayne County",6413,8.04642409033877
"116","2100-2159","Southwest Airlines Co.","Detroit, MI: Detroit Metro Wayne County",276,23
"117","2100-2159","Spirit Air Lines","Detroit, MI: Detroit Metro Wayne County",1448,28.96
"118","2100-2159","United Air Lines Inc.","Detroit, MI: Detroit Metro Wayne County",104,20.8
"119","2100-2159","SkyWest Airlines Inc.","Durango, CO: Durango La Plata County",74,37
"120","2100-2159","SkyWest Airlines Inc.","El Paso, TX: El Paso International",0,0
"121","2100-2159","Southwest Airlines Co.","El Paso, TX: El Paso International",608,12.4081632653061
"122","2100-2159","Delta Air Lines Inc.","Fairbanks, AK: Fairbanks International",3235,33.3505154639175
"123","2100-2159","SkyWest Airlines Inc.","Fayetteville, AR: Northwest Arkansas Regional",0,0
"124","2100-2159","SkyWest Airlines Inc.","Flagstaff, AZ: Flagstaff Pulliam",1092,16.0588235294118
"125","2100-2159","American Airlines Inc.","Fort Lauderdale, FL: Fort Lauderdale-Hollywood International",119,13.2222222222222
"126","2100-2159","Delta Air Lines Inc.","Fort Lauderdale, FL: Fort Lauderdale-Hollywood International",25,8.33333333333333
"127","2100-2159","JetBlue Airways","Fort Lauderdale, FL: Fort Lauderdale-Hollywood International",24628,29.5299760191847
"128","2100-2159","Southwest Airlines Co.","Fort Lauderdale, FL: Fort Lauderdale-Hollywood International",15554,20.4657894736842
"129","2100-2159","Spirit Air Lines","Fort Lauderdale, FL: Fort Lauderdale-Hollywood International",36941,25.1128484024473
"130","2100-2159","United Air Lines Inc.","Fort Lauderdale, FL: Fort Lauderdale-Hollywood International",665,39.1176470588235
"131","2100-2159","American Airlines Inc.","Fort Myers, FL: Southwest Florida International",149,21.2857142857143
"132","2100-2159","Frontier Airlines Inc.","Fort Myers, FL: Southwest Florida International",2089,18.8198198198198
"133","2100-2159","JetBlue Airways","Fort Myers, FL: Southwest Florida International",626,19.5625
"134","2100-2159","Southwest Airlines Co.","Fort Myers, FL: Southwest Florida International",1346,22.8135593220339
"135","2100-2159","Spirit Air Lines","Fort Myers, FL: Southwest Florida International",6025,29.679802955665
"136","2100-2159","United Air Lines Inc.","Fort Myers, FL: Southwest Florida International",11,0.647058823529412
"137","2100-2159","SkyWest Airlines Inc.","Fresno, CA: Fresno Yosemite International",91,22.75
"138","2100-2159","ExpressJet Airlines Inc.","Grand Rapids, MI: Gerald R. Ford International",285,28.5
"139","2100-2159","Southwest Airlines Co.","Grand Rapids, MI: Gerald R. Ford International",103,8.58333333333333
"140","2100-2159","United Air Lines Inc.","Grand Rapids, MI: Gerald R. Ford International",0,0
"141","2100-2159","ExpressJet Airlines Inc.","Greensboro/High Point, NC: Piedmont Triad International",1,0.166666666666667
"142","2100-2159","ExpressJet Airlines Inc.","Greer, SC: Greenville-Spartanburg International",1,1
"143","2100-2159","SkyWest Airlines Inc.","Greer, SC: Greenville-Spartanburg International",0,0
"144","2100-2159","American Airlines Inc.","Hartford, CT: Bradley International",17,5.66666666666667
"145","2100-2159","Delta Air Lines Inc.","Hartford, CT: Bradley International",7,7
"146","2100-2159","ExpressJet Airlines Inc.","Hartford, CT: Bradley International",0,0
"147","2100-2159","JetBlue Airways","Hartford, CT: Bradley International",2406,43.7454545454545
"148","2100-2159","SkyWest Airlines Inc.","Hartford, CT: Bradley International",0,0
"149","2100-2159","Southwest Airlines Co.","Hartford, CT: Bradley International",701,8.44578313253012
"150","2100-2159","United Air Lines Inc.","Hartford, CT: Bradley International",0,0
"151","2100-2159","SkyWest Airlines Inc.","Hibbing, MN: Range Regional",3976,12.3095975232198
"152","2100-2159","Hawaiian Airlines Inc.","Hilo, HI: Hilo International",351,4.12941176470588
"153","2100-2159","United Air Lines Inc.","Hilo, HI: Hilo International",1642,12.9291338582677
"154","2100-2159","Alaska Airlines Inc.","Honolulu, HI: Honolulu International",1153,8.23571428571429
"155","2100-2159","American Airlines Inc.","Honolulu, HI: Honolulu International",7180,11.7704918032787
"156","2100-2159","Delta Air Lines Inc.","Honolulu, HI: Honolulu International",1683,5.57284768211921
"157","2100-2159","Hawaiian Airlines Inc.","Honolulu, HI: Honolulu International",4340,4.96567505720824
"158","2100-2159","United Air Lines Inc.","Honolulu, HI: Honolulu International",4634,8.37974683544304
"159","2100-2159","American Airlines Inc.","Houston, TX: George Bush Intercontinental/Houston",517,7.60294117647059
"160","2100-2159","ExpressJet Airlines Inc.","Houston, TX: George Bush Intercontinental/Houston",28173,8.62350780532599
"161","2100-2159","Frontier Airlines Inc.","Houston, TX: George Bush Intercontinental/Houston",1799,20.9186046511628
"162","2100-2159","SkyWest Airlines Inc.","Houston, TX: George Bush Intercontinental/Houston",15945,9.87306501547988
