"","TIME_BLOCK","NAME_AIRLINE","NAME_AIRPORT","COUNT","data_arrtimeblk_mean$MEAN"
"1","1900-1959","Delta Air Lines Inc.","Akron, OH: Akron-Canton Regional",2897,10.6117216117216
"2","1900-1959","ExpressJet Airlines Inc.","Akron, OH: Akron-Canton Regional",2044,16.6178861788618
"3","1900-1959","SkyWest Airlines Inc.","Akron, OH: Akron-Canton Regional",286,7.15
"4","1900-1959","Southwest Airlines Co.","Akron, OH: Akron-Canton Regional",2464,24.156862745098
"5","1900-1959","ExpressJet Airlines Inc.","Albany, GA: Southwest Georgia Regional",482,37.0769230769231
"6","1900-1959","American Airlines Inc.","Albany, NY: Albany International",296,3.25274725274725
"7","1900-1959","Delta Air Lines Inc.","Albany, NY: Albany International",16,4
"8","1900-1959","ExpressJet Airlines Inc.","Albany, NY: Albany International",536,15.7647058823529
"9","1900-1959","JetBlue Airways","Albany, NY: Albany International",2064,17.2
"10","1900-1959","SkyWest Airlines Inc.","Albany, NY: Albany International",309,17.1666666666667
"11","1900-1959","Southwest Airlines Co.","Albany, NY: Albany International",2512,10.4232365145228
"12","1900-1959","United Air Lines Inc.","Albany, NY: Albany International",3001,28.5809523809524
"13","1900-1959","American Airlines Inc.","Albuquerque, NM: Albuquerque International Sunport",5728,16.0898876404494
"14","1900-1959","Delta Air Lines Inc.","Albuquerque, NM: Albuquerque International Sunport",674,12.0357142857143
"15","1900-1959","ExpressJet Airlines Inc.","Albuquerque, NM: Albuquerque International Sunport",95,19
"16","1900-1959","SkyWest Airlines Inc.","Albuquerque, NM: Albuquerque International Sunport",4107,9.87259615384615
"17","1900-1959","Southwest Airlines Co.","Albuquerque, NM: Albuquerque International Sunport",18441,18.6461071789687
"18","1900-1959","United Air Lines Inc.","Albuquerque, NM: Albuquerque International Sunport",1620,11.1724137931034
"19","1900-1959","ExpressJet Airlines Inc.","Alexandria, LA: Alexandria International",5294,29.2486187845304
"20","1900-1959","ExpressJet Airlines Inc.","Allentown/Bethlehem/Easton, PA: Lehigh Valley International",1192,10.1880341880342
"21","1900-1959","SkyWest Airlines Inc.","Allentown/Bethlehem/Easton, PA: Lehigh Valley International",1728,12.0839160839161
"22","1900-1959","ExpressJet Airlines Inc.","Amarillo, TX: Rick Husband Amarillo International",0,NA
"23","1900-1959","Southwest Airlines Co.","Amarillo, TX: Rick Husband Amarillo International",3220,11.5827338129496
"24","1900-1959","Alaska Airlines Inc.","Anchorage, AK: Ted Stevens Anchorage International",2058,6.41121495327103
"25","1900-1959","Delta Air Lines Inc.","Anchorage, AK: Ted Stevens Anchorage International",1330,4.33224755700326
"26","1900-1959","United Air Lines Inc.","Anchorage, AK: Ted Stevens Anchorage International",147,11.3076923076923
"27","1900-1959","Delta Air Lines Inc.","Appleton, WI: Appleton International",0,0
"28","1900-1959","ExpressJet Airlines Inc.","Appleton, WI: Appleton International",1917,8.52
"29","1900-1959","SkyWest Airlines Inc.","Appleton, WI: Appleton International",798,28.5
"30","1900-1959","SkyWest Airlines Inc.","Arcata/Eureka, CA: Arcata",1775,19.7222222222222
"31","1900-1959","Delta Air Lines Inc.","Asheville, NC: Asheville Regional",59,59
"32","1900-1959","ExpressJet Airlines Inc.","Asheville, NC: Asheville Regional",2052,33.0967741935484
"33","1900-1959","SkyWest Airlines Inc.","Aspen, CO: Aspen Pitkin County Sardy Field",2370,13.4659090909091
"34","1900-1959","American Airlines Inc.","Atlanta, GA: Hartsfield-Jackson Atlanta International",22449,17.9879807692308
"35","1900-1959","Delta Air Lines Inc.","Atlanta, GA: Hartsfield-Jackson Atlanta International",133947,11.1864873893436
"36","1900-1959","ExpressJet Airlines Inc.","Atlanta, GA: Hartsfield-Jackson Atlanta International",72622,19.1867899603699
"37","1900-1959","Frontier Airlines Inc.","Atlanta, GA: Hartsfield-Jackson Atlanta International",3002,18.0843373493976
"38","1900-1959","SkyWest Airlines Inc.","Atlanta, GA: Hartsfield-Jackson Atlanta International",15892,28.5314183123878
"39","1900-1959","Southwest Airlines Co.","Atlanta, GA: Hartsfield-Jackson Atlanta International",36794,18.134056185313
"40","1900-1959","Spirit Air Lines","Atlanta, GA: Hartsfield-Jackson Atlanta International",7891,23.6966966966967
"41","1900-1959","United Air Lines Inc.","Atlanta, GA: Hartsfield-Jackson Atlanta International",3370,18.2162162162162
"42","1900-1959","Spirit Air Lines","Atlantic City, NJ: Atlantic City International",2319,29.7307692307692
"43","1900-1959","ExpressJet Airlines Inc.","Augusta, GA: Augusta Regional at Bush Field",0,0
"44","1900-1959","American Airlines Inc.","Austin, TX: Austin - Bergstrom International",6768,13.1673151750973
"45","1900-1959","Delta Air Lines Inc.","Austin, TX: Austin - Bergstrom International",536,9.24137931034483
"46","1900-1959","Frontier Airlines Inc.","Austin, TX: Austin - Bergstrom International",306,9.87096774193548
"47","1900-1959","JetBlue Airways","Austin, TX: Austin - Bergstrom International",4728,22.5142857142857
"48","1900-1959","SkyWest Airlines Inc.","Austin, TX: Austin - Bergstrom International",1596,8.96629213483146
"49","1900-1959","Southwest Airlines Co.","Austin, TX: Austin - Bergstrom International",23222,17.1127487103906
"50","1900-1959","United Air Lines Inc.","Austin, TX: Austin - Bergstrom International",5085,19.5576923076923
"51","1900-1959","Virgin America","Austin, TX: Austin - Bergstrom International",2454,22.3090909090909
"52","1900-1959","SkyWest Airlines Inc.","Bakersfield, CA: Meadows Field",1164,14.7341772151899
"53","1900-1959","Alaska Airlines Inc.","Baltimore, MD: Baltimore/Washington International Thurgood Marshall",109,1.98181818181818
"54","1900-1959","American Airlines Inc.","Baltimore, MD: Baltimore/Washington International Thurgood Marshall",4392,19.9636363636364
"55","1900-1959","Delta Air Lines Inc.","Baltimore, MD: Baltimore/Washington International Thurgood Marshall",10589,16.3916408668731
"56","1900-1959","ExpressJet Airlines Inc.","Baltimore, MD: Baltimore/Washington International Thurgood Marshall",154,8.10526315789474
"57","1900-1959","JetBlue Airways","Baltimore, MD: Baltimore/Washington International Thurgood Marshall",9160,27.9268292682927
"58","1900-1959","Southwest Airlines Co.","Baltimore, MD: Baltimore/Washington International Thurgood Marshall",48455,14.7503805175038
"59","1900-1959","Spirit Air Lines","Baltimore, MD: Baltimore/Washington International Thurgood Marshall",5296,22.2521008403361
"60","1900-1959","United Air Lines Inc.","Baltimore, MD: Baltimore/Washington International Thurgood Marshall",3444,22.0769230769231
"61","1900-1959","Delta Air Lines Inc.","Bangor, ME: Bangor International",964,16.9122807017544
"62","1900-1959","ExpressJet Airlines Inc.","Bangor, ME: Bangor International",0,0
"63","1900-1959","ExpressJet Airlines Inc.","Baton Rouge, LA: Baton Rouge Metropolitan/Ryan Field",3743,19.4947916666667
"64","1900-1959","ExpressJet Airlines Inc.","Beaumont/Port Arthur, TX: Jack Brooks Regional",1383,31.4318181818182
"65","1900-1959","SkyWest Airlines Inc.","Bend/Redmond, OR: Roberts Field",0,0
"66","1900-1959","SkyWest Airlines Inc.","Billings, MT: Billings Logan International",4812,11.9108910891089
"67","1900-1959","United Air Lines Inc.","Billings, MT: Billings Logan International",32,8
"68","1900-1959","SkyWest Airlines Inc.","Binghamton, NY: Greater Binghamton/Edwin A. Link Field",2640,17.7181208053691
"69","1900-1959","Delta Air Lines Inc.","Birmingham, AL: Birmingham-Shuttlesworth International",1034,5.875
"70","1900-1959","ExpressJet Airlines Inc.","Birmingham, AL: Birmingham-Shuttlesworth International",4134,26.1645569620253
"71","1900-1959","SkyWest Airlines Inc.","Birmingham, AL: Birmingham-Shuttlesworth International",67,2.03030303030303
"72","1900-1959","Southwest Airlines Co.","Birmingham, AL: Birmingham-Shuttlesworth International",2125,14.5547945205479
"73","1900-1959","Delta Air Lines Inc.","Bloomington/Normal, IL: Central Illinois Regional",9,0.6
"74","1900-1959","ExpressJet Airlines Inc.","Bloomington/Normal, IL: Central Illinois Regional",2171,12.5491329479769
"75","1900-1959","SkyWest Airlines Inc.","Bloomington/Normal, IL: Central Illinois Regional",0,0
"76","1900-1959","Delta Air Lines Inc.","Boise, ID: Boise Air Terminal",0,0
"77","1900-1959","SkyWest Airlines Inc.","Boise, ID: Boise Air Terminal",11993,13.266592920354
"78","1900-1959","Southwest Airlines Co.","Boise, ID: Boise Air Terminal",1630,12.3484848484848
"79","1900-1959","Alaska Airlines Inc.","Boston, MA: Logan International",567,5.20183486238532
"80","1900-1959","American Airlines Inc.","Boston, MA: Logan International",43246,18.3556876061121
"81","1900-1959","Delta Air Lines Inc.","Boston, MA: Logan International",11031,13.4524390243902
"82","1900-1959","ExpressJet Airlines Inc.","Boston, MA: Logan International",217,31
"83","1900-1959","JetBlue Airways","Boston, MA: Logan International",38865,17.649863760218
"84","1900-1959","Southwest Airlines Co.","Boston, MA: Logan International",8836,16.3327171903882
"85","1900-1959","Spirit Air Lines","Boston, MA: Logan International",10074,33.1381578947368
"86","1900-1959","United Air Lines Inc.","Boston, MA: Logan International",14223,21.4201807228916
"87","1900-1959","Delta Air Lines Inc.","Bozeman, MT: Bozeman Yellowstone International",498,19.92
"88","1900-1959","SkyWest Airlines Inc.","Bozeman, MT: Bozeman Yellowstone International",3047,5.75992438563327
"89","1900-1959","United Air Lines Inc.","Bozeman, MT: Bozeman Yellowstone International",2311,36.6825396825397
"90","1900-1959","ExpressJet Airlines Inc.","Bristol/Johnson City/Kingsport, TN: Tri-Cities Regional TN/VA",4298,21.8172588832487
"91","1900-1959","ExpressJet Airlines Inc.","Brownsville, TX: Brownsville South Padre Island International",3388,15.0577777777778
"92","1900-1959","Delta Air Lines Inc.","Buffalo, NY: Buffalo Niagara International",1420,7.84530386740331
"93","1900-1959","ExpressJet Airlines Inc.","Buffalo, NY: Buffalo Niagara International",2945,26.5315315315315
"94","1900-1959","JetBlue Airways","Buffalo, NY: Buffalo Niagara International",2569,20.3888888888889
"95","1900-1959","SkyWest Airlines Inc.","Buffalo, NY: Buffalo Niagara International",0,0
"96","1900-1959","Southwest Airlines Co.","Buffalo, NY: Buffalo Niagara International",7454,11.2939393939394
"97","1900-1959","Alaska Airlines Inc.","Burbank, CA: Bob Hope",2123,6.13583815028902
"98","1900-1959","SkyWest Airlines Inc.","Burbank, CA: Bob Hope",8089,17.2106382978723
"99","1900-1959","Southwest Airlines Co.","Burbank, CA: Bob Hope",10278,12.8314606741573
"100","1900-1959","ExpressJet Airlines Inc.","Burlington, VT: Burlington International",5691,24.8515283842795
"101","1900-1959","SkyWest Airlines Inc.","Casper, WY: Casper/Natrona County International",1567,5.84701492537313
"102","1900-1959","SkyWest Airlines Inc.","Cedar City, UT: Cedar City Regional",2460,8.31081081081081
"103","1900-1959","ExpressJet Airlines Inc.","Cedar Rapids/Iowa City, IA: The Eastern Iowa",3513,15.4757709251101
"104","1900-1959","SkyWest Airlines Inc.","Cedar Rapids/Iowa City, IA: The Eastern Iowa",3490,16.6985645933014
"105","1900-1959","American Airlines Inc.","Charleston, SC: Charleston AFB/International",1046,11.3695652173913
"106","1900-1959","Delta Air Lines Inc.","Charleston, SC: Charleston AFB/International",5585,26.0981308411215
"107","1900-1959","ExpressJet Airlines Inc.","Charleston, SC: Charleston AFB/International",1346,18.4383561643836
"108","1900-1959","JetBlue Airways","Charleston, SC: Charleston AFB/International",6421,31.9452736318408
"109","1900-1959","SkyWest Airlines Inc.","Charleston, SC: Charleston AFB/International",0,0
"110","1900-1959","Southwest Airlines Co.","Charleston, SC: Charleston AFB/International",2098,15.4264705882353
"111","1900-1959","ExpressJet Airlines Inc.","Charleston/Dunbar, WV: Yeager",1469,12.1404958677686
"112","1900-1959","SkyWest Airlines Inc.","Charleston/Dunbar, WV: Yeager",13,13
"113","1900-1959","American Airlines Inc.","Charlotte Amalie, VI: Cyril E King",8123,20.9355670103093
"114","1900-1959","Delta Air Lines Inc.","Charlotte Amalie, VI: Cyril E King",1172,4.59607843137255
"115","1900-1959","JetBlue Airways","Charlotte Amalie, VI: Cyril E King",277,55.4
"116","1900-1959","Spirit Air Lines","Charlotte Amalie, VI: Cyril E King",4943,13.8848314606742
"117","1900-1959","United Air Lines Inc.","Charlotte Amalie, VI: Cyril E King",708,9.44
"118","1900-1959","American Airlines Inc.","Charlotte, NC: Charlotte Douglas International",107521,17.4207712248866
"119","1900-1959","Delta Air Lines Inc.","Charlotte, NC: Charlotte Douglas International",4638,13.844776119403
"120","1900-1959","ExpressJet Airlines Inc.","Charlotte, NC: Charlotte Douglas International",3132,56.9454545454545
"121","1900-1959","JetBlue Airways","Charlotte, NC: Charlotte Douglas International",2394,16.5103448275862
"122","1900-1959","SkyWest Airlines Inc.","Charlotte, NC: Charlotte Douglas International",5861,25.5938864628821
"123","1900-1959","Southwest Airlines Co.","Charlotte, NC: Charlotte Douglas International",2417,26.2717391304348
"124","1900-1959","United Air Lines Inc.","Charlotte, NC: Charlotte Douglas International",28,5.6
"125","1900-1959","SkyWest Airlines Inc.","Charlottesville, VA: Charlottesville Albemarle",11048,31.8386167146974
"126","1900-1959","ExpressJet Airlines Inc.","Chattanooga, TN: Lovell Field",0,0
"127","1900-1959","Delta Air Lines Inc.","Chicago, IL: Chicago Midway International",76,6.90909090909091
"128","1900-1959","ExpressJet Airlines Inc.","Chicago, IL: Chicago Midway International",707,33.6666666666667
"129","1900-1959","SkyWest Airlines Inc.","Chicago, IL: Chicago Midway International",165,23.5714285714286
"130","1900-1959","Southwest Airlines Co.","Chicago, IL: Chicago Midway International",58239,14.8341823739175
"131","1900-1959","American Airlines Inc.","Chicago, IL: Chicago O'Hare International",114762,21.2561585478792
"132","1900-1959","Delta Air Lines Inc.","Chicago, IL: Chicago O'Hare International",14827,20.650417827298
"133","1900-1959","ExpressJet Airlines Inc.","Chicago, IL: Chicago O'Hare International",5619,12.6839729119639
"134","1900-1959","Frontier Airlines Inc.","Chicago, IL: Chicago O'Hare International",6766,22.5533333333333
"135","1900-1959","JetBlue Airways","Chicago, IL: Chicago O'Hare International",105,21
"136","1900-1959","SkyWest Airlines Inc.","Chicago, IL: Chicago O'Hare International",41366,18.6417305092384
"137","1900-1959","Spirit Air Lines","Chicago, IL: Chicago O'Hare International",8542,21.735368956743
"138","1900-1959","United Air Lines Inc.","Chicago, IL: Chicago O'Hare International",67288,21.9967309578294
"139","1900-1959","Virgin America","Chicago, IL: Chicago O'Hare International",4433,18.863829787234
"140","1900-1959","American Airlines Inc.","Christiansted, VI: Henry E. Rohlsen",4500,16.1870503597122
"141","1900-1959","Delta Air Lines Inc.","Christiansted, VI: Henry E. Rohlsen",147,3.97297297297297
"142","1900-1959","Delta Air Lines Inc.","Cincinnati, OH: Cincinnati/Northern Kentucky International",61,1.27083333333333
"143","1900-1959","ExpressJet Airlines Inc.","Cincinnati, OH: Cincinnati/Northern Kentucky International",1040,27.3684210526316
"144","1900-1959","Frontier Airlines Inc.","Cincinnati, OH: Cincinnati/Northern Kentucky International",5719,25.6457399103139
"145","1900-1959","SkyWest Airlines Inc.","Cincinnati, OH: Cincinnati/Northern Kentucky International",1,0.166666666666667
"146","1900-1959","Delta Air Lines Inc.","Cleveland, OH: Cleveland-Hopkins International",3821,10.584487534626
"147","1900-1959","ExpressJet Airlines Inc.","Cleveland, OH: Cleveland-Hopkins International",13744,20.9832061068702
"148","1900-1959","Frontier Airlines Inc.","Cleveland, OH: Cleveland-Hopkins International",7573,21.5142045454545
"149","1900-1959","JetBlue Airways","Cleveland, OH: Cleveland-Hopkins International",1564,16.8172043010753
"150","1900-1959","SkyWest Airlines Inc.","Cleveland, OH: Cleveland-Hopkins International",708,11.0625
"151","1900-1959","Southwest Airlines Co.","Cleveland, OH: Cleveland-Hopkins International",4211,15.0392857142857
"152","1900-1959","Spirit Air Lines","Cleveland, OH: Cleveland-Hopkins International",4929,16.1078431372549
"153","1900-1959","United Air Lines Inc.","Cleveland, OH: Cleveland-Hopkins International",8029,26.4111842105263
"154","1900-1959","SkyWest Airlines Inc.","Cody, WY: Yellowstone Regional",647,6.34313725490196
"155","1900-1959","ExpressJet Airlines Inc.","College Station/Bryan, TX: Easterwood Field",309,3.51136363636364
"156","1900-1959","American Airlines Inc.","Colorado Springs, CO: City of Colorado Springs Municipal",5679,27.5679611650485
"157","1900-1959","SkyWest Airlines Inc.","Colorado Springs, CO: City of Colorado Springs Municipal",2050,6.78807947019868
"158","1900-1959","Delta Air Lines Inc.","Columbia, SC: Columbia Metropolitan",817,8.97802197802198
"159","1900-1959","ExpressJet Airlines Inc.","Columbia, SC: Columbia Metropolitan",6381,17.5302197802198
"160","1900-1959","SkyWest Airlines Inc.","Columbia, SC: Columbia Metropolitan",69,17.25
"161","1900-1959","ExpressJet Airlines Inc.","Columbus, GA: Columbus Airport",1071,17
"162","1900-1959","American Airlines Inc.","Columbus, OH: Port Columbus International",1973,9.53140096618358
"163","1900-1959","Delta Air Lines Inc.","Columbus, OH: Port Columbus International",1229,7.0632183908046
"164","1900-1959","ExpressJet Airlines Inc.","Columbus, OH: Port Columbus International",868,9.86363636363636
"165","1900-1959","Frontier Airlines Inc.","Columbus, OH: Port Columbus International",876,35.04
"166","1900-1959","SkyWest Airlines Inc.","Columbus, OH: Port Columbus International",496,12.0975609756098
"167","1900-1959","Southwest Airlines Co.","Columbus, OH: Port Columbus International",10897,15.5449358059914
"168","1900-1959","United Air Lines Inc.","Columbus, OH: Port Columbus International",11,11
"169","1900-1959","Southwest Airlines Co.","Corpus Christi, TX: Corpus Christi International",1183,16.2054794520548
"170","1900-1959","Delta Air Lines Inc.","Dallas, TX: Dallas Love Field",578,13.4418604651163
"171","1900-1959","Southwest Airlines Co.","Dallas, TX: Dallas Love Field",68618,18.4904338453247
"172","1900-1959","Virgin America","Dallas, TX: Dallas Love Field",12868,26.8083333333333
"173","1900-1959","Alaska Airlines Inc.","Dallas/Fort Worth, TX: Dallas/Fort Worth International",174,4.24390243902439
"174","1900-1959","American Airlines Inc.","Dallas/Fort Worth, TX: Dallas/Fort Worth International",141084,17.8587341772152
"175","1900-1959","Delta Air Lines Inc.","Dallas/Fort Worth, TX: Dallas/Fort Worth International",3793,10.7146892655367
"176","1900-1959","ExpressJet Airlines Inc.","Dallas/Fort Worth, TX: Dallas/Fort Worth International",18966,20.4155005382131
"177","1900-1959","Frontier Airlines Inc.","Dallas/Fort Worth, TX: Dallas/Fort Worth International",684,15.2
"178","1900-1959","SkyWest Airlines Inc.","Dallas/Fort Worth, TX: Dallas/Fort Worth International",9430,22.8329297820823
"179","1900-1959","Spirit Air Lines","Dallas/Fort Worth, TX: Dallas/Fort Worth International",9844,19.609561752988
"180","1900-1959","United Air Lines Inc.","Dallas/Fort Worth, TX: Dallas/Fort Worth International",2204,21.1923076923077
"181","1900-1959","Delta Air Lines Inc.","Dayton, OH: James M Cox/Dayton International",214,7.37931034482759
