"","TIME_BLOCK","NAME_AIRLINE","NAME_AIRPORT","COUNT","data_arrtimeblk_mean$MEAN"
"1","1000-1059","ExpressJet Airlines Inc.","Akron, OH: Akron-Canton Regional",204,14.5714285714286
"2","1000-1059","SkyWest Airlines Inc.","Akron, OH: Akron-Canton Regional",673,15.2954545454545
"3","1000-1059","Southwest Airlines Co.","Akron, OH: Akron-Canton Regional",0,0
"4","1000-1059","American Airlines Inc.","Albany, NY: Albany International",2258,6.25484764542936
"5","1000-1059","Delta Air Lines Inc.","Albany, NY: Albany International",0,0
"6","1000-1059","ExpressJet Airlines Inc.","Albany, NY: Albany International",0,0
"7","1000-1059","Southwest Airlines Co.","Albany, NY: Albany International",938,3.33807829181495
"8","1000-1059","American Airlines Inc.","Albuquerque, NM: Albuquerque International Sunport",2353,13
"9","1000-1059","Delta Air Lines Inc.","Albuquerque, NM: Albuquerque International Sunport",796,9.36470588235294
"10","1000-1059","ExpressJet Airlines Inc.","Albuquerque, NM: Albuquerque International Sunport",0,NA
"11","1000-1059","SkyWest Airlines Inc.","Albuquerque, NM: Albuquerque International Sunport",0,0
"12","1000-1059","Southwest Airlines Co.","Albuquerque, NM: Albuquerque International Sunport",3396,7.22553191489362
"13","1000-1059","United Air Lines Inc.","Albuquerque, NM: Albuquerque International Sunport",0,0
"14","1000-1059","ExpressJet Airlines Inc.","Allentown/Bethlehem/Easton, PA: Lehigh Valley International",107,21.4
"15","1000-1059","SkyWest Airlines Inc.","Allentown/Bethlehem/Easton, PA: Lehigh Valley International",0,0
"16","1000-1059","SkyWest Airlines Inc.","Amarillo, TX: Rick Husband Amarillo International",1032,24.5714285714286
"17","1000-1059","Southwest Airlines Co.","Amarillo, TX: Rick Husband Amarillo International",34,2.125
"18","1000-1059","Alaska Airlines Inc.","Anchorage, AK: Ted Stevens Anchorage International",1156,3.3900293255132
"19","1000-1059","Delta Air Lines Inc.","Anchorage, AK: Ted Stevens Anchorage International",2121,6.18367346938776
"20","1000-1059","Delta Air Lines Inc.","Appleton, WI: Appleton International",17,0.85
"21","1000-1059","SkyWest Airlines Inc.","Appleton, WI: Appleton International",54,7.71428571428571
"22","1000-1059","SkyWest Airlines Inc.","Arcata/Eureka, CA: Arcata",1201,40.0333333333333
"23","1000-1059","Delta Air Lines Inc.","Asheville, NC: Asheville Regional",97,6.46666666666667
"24","1000-1059","ExpressJet Airlines Inc.","Asheville, NC: Asheville Regional",0,0
"25","1000-1059","SkyWest Airlines Inc.","Aspen, CO: Aspen Pitkin County Sardy Field",3931,10.1839378238342
"26","1000-1059","American Airlines Inc.","Atlanta, GA: Hartsfield-Jackson Atlanta International",6964,7.36931216931217
"27","1000-1059","Delta Air Lines Inc.","Atlanta, GA: Hartsfield-Jackson Atlanta International",75699,5.01118760757315
"28","1000-1059","ExpressJet Airlines Inc.","Atlanta, GA: Hartsfield-Jackson Atlanta International",38834,8.70717488789238
"29","1000-1059","Frontier Airlines Inc.","Atlanta, GA: Hartsfield-Jackson Atlanta International",2846,10.6194029850746
"30","1000-1059","SkyWest Airlines Inc.","Atlanta, GA: Hartsfield-Jackson Atlanta International",5427,10.0686456400742
"31","1000-1059","Southwest Airlines Co.","Atlanta, GA: Hartsfield-Jackson Atlanta International",19859,4.51135847342117
"32","1000-1059","Spirit Air Lines","Atlanta, GA: Hartsfield-Jackson Atlanta International",2866,8.81846153846154
"33","1000-1059","United Air Lines Inc.","Atlanta, GA: Hartsfield-Jackson Atlanta International",818,2.70860927152318
"34","1000-1059","Spirit Air Lines","Atlantic City, NJ: Atlantic City International",702,3.39130434782609
"35","1000-1059","Delta Air Lines Inc.","Augusta, GA: Augusta Regional at Bush Field",411,12.0882352941176
"36","1000-1059","ExpressJet Airlines Inc.","Augusta, GA: Augusta Regional at Bush Field",176,6.51851851851852
"37","1000-1059","American Airlines Inc.","Austin, TX: Austin - Bergstrom International",11398,9.4198347107438
"38","1000-1059","Delta Air Lines Inc.","Austin, TX: Austin - Bergstrom International",2623,6.83072916666667
"39","1000-1059","ExpressJet Airlines Inc.","Austin, TX: Austin - Bergstrom International",6,0.75
"40","1000-1059","Frontier Airlines Inc.","Austin, TX: Austin - Bergstrom International",26,6.5
"41","1000-1059","JetBlue Airways","Austin, TX: Austin - Bergstrom International",678,2.20846905537459
"42","1000-1059","SkyWest Airlines Inc.","Austin, TX: Austin - Bergstrom International",503,4.83653846153846
"43","1000-1059","Southwest Airlines Co.","Austin, TX: Austin - Bergstrom International",2661,3.81232091690544
"44","1000-1059","United Air Lines Inc.","Austin, TX: Austin - Bergstrom International",1471,4.03013698630137
"45","1000-1059","Virgin America","Austin, TX: Austin - Bergstrom International",528,24
"46","1000-1059","Alaska Airlines Inc.","Baltimore, MD: Baltimore/Washington International Thurgood Marshall",1412,4.80272108843537
"47","1000-1059","American Airlines Inc.","Baltimore, MD: Baltimore/Washington International Thurgood Marshall",5062,9.96456692913386
"48","1000-1059","Delta Air Lines Inc.","Baltimore, MD: Baltimore/Washington International Thurgood Marshall",6937,8.13247362250879
"49","1000-1059","JetBlue Airways","Baltimore, MD: Baltimore/Washington International Thurgood Marshall",729,5.13380281690141
"50","1000-1059","Southwest Airlines Co.","Baltimore, MD: Baltimore/Washington International Thurgood Marshall",21820,4.188903820311
"51","1000-1059","Spirit Air Lines","Baltimore, MD: Baltimore/Washington International Thurgood Marshall",3988,12.9061488673139
"52","1000-1059","United Air Lines Inc.","Baltimore, MD: Baltimore/Washington International Thurgood Marshall",1576,4.55491329479769
"53","1000-1059","Delta Air Lines Inc.","Bangor, ME: Bangor International",153,11.7692307692308
"54","1000-1059","ExpressJet Airlines Inc.","Bangor, ME: Bangor International",178,6.13793103448276
"55","1000-1059","Delta Air Lines Inc.","Baton Rouge, LA: Baton Rouge Metropolitan/Ryan Field",0,0
"56","1000-1059","ExpressJet Airlines Inc.","Baton Rouge, LA: Baton Rouge Metropolitan/Ryan Field",16619,21.2791293213828
"57","1000-1059","SkyWest Airlines Inc.","Baton Rouge, LA: Baton Rouge Metropolitan/Ryan Field",20,4
"58","1000-1059","SkyWest Airlines Inc.","Bend/Redmond, OR: Roberts Field",0,0
"59","1000-1059","Delta Air Lines Inc.","Billings, MT: Billings Logan International",33,3
"60","1000-1059","SkyWest Airlines Inc.","Billings, MT: Billings Logan International",161,7
"61","1000-1059","SkyWest Airlines Inc.","Binghamton, NY: Greater Binghamton/Edwin A. Link Field",69,1.81578947368421
"62","1000-1059","Delta Air Lines Inc.","Birmingham, AL: Birmingham-Shuttlesworth International",2168,7.42465753424658
"63","1000-1059","ExpressJet Airlines Inc.","Birmingham, AL: Birmingham-Shuttlesworth International",795,9.57831325301205
"64","1000-1059","SkyWest Airlines Inc.","Birmingham, AL: Birmingham-Shuttlesworth International",2861,11.8713692946058
"65","1000-1059","Southwest Airlines Co.","Birmingham, AL: Birmingham-Shuttlesworth International",232,2.54945054945055
"66","1000-1059","Delta Air Lines Inc.","Bismarck/Mandan, ND: Bismarck Municipal",0,0
"67","1000-1059","SkyWest Airlines Inc.","Bismarck/Mandan, ND: Bismarck Municipal",1088,10.4615384615385
"68","1000-1059","SkyWest Airlines Inc.","Bloomington/Normal, IL: Central Illinois Regional",45,7.5
"69","1000-1059","Delta Air Lines Inc.","Boise, ID: Boise Air Terminal",51,3.1875
"70","1000-1059","SkyWest Airlines Inc.","Boise, ID: Boise Air Terminal",14674,12.1373035566584
"71","1000-1059","Southwest Airlines Co.","Boise, ID: Boise Air Terminal",1380,5.11111111111111
"72","1000-1059","Alaska Airlines Inc.","Boston, MA: Logan International",1482,4.4773413897281
"73","1000-1059","American Airlines Inc.","Boston, MA: Logan International",17849,7.40008291873963
"74","1000-1059","Delta Air Lines Inc.","Boston, MA: Logan International",17582,9.38707955152162
"75","1000-1059","ExpressJet Airlines Inc.","Boston, MA: Logan International",767,5.5985401459854
"76","1000-1059","JetBlue Airways","Boston, MA: Logan International",30605,7.41759573436743
"77","1000-1059","Southwest Airlines Co.","Boston, MA: Logan International",3284,4.7183908045977
"78","1000-1059","Spirit Air Lines","Boston, MA: Logan International",3171,10.7491525423729
"79","1000-1059","United Air Lines Inc.","Boston, MA: Logan International",6808,5.89948006932409
"80","1000-1059","Virgin America","Boston, MA: Logan International",855,5.625
"81","1000-1059","Delta Air Lines Inc.","Bozeman, MT: Bozeman Yellowstone International",144,10.2857142857143
"82","1000-1059","SkyWest Airlines Inc.","Bozeman, MT: Bozeman Yellowstone International",127,6.68421052631579
