"","TIME_BLOCK","NAME_AIRLINE","NAME_AIRPORT","COUNT","data_arrtimeblk_mean$MEAN"
"1","0900-0959","SkyWest Airlines Inc.","Aberdeen, SD: Aberdeen Regional",17,4.25
"2","0900-0959","JetBlue Airways","Aguadilla, PR: Rafael Hernandez",2084,8.04633204633205
"3","0900-0959","Delta Air Lines Inc.","Akron, OH: Akron-Canton Regional",18,4.5
"4","0900-0959","ExpressJet Airlines Inc.","Akron, OH: Akron-Canton Regional",28,5.6
"5","0900-0959","Southwest Airlines Co.","Akron, OH: Akron-Canton Regional",518,4.144
"6","0900-0959","Spirit Air Lines","Akron, OH: Akron-Canton Regional",395,7.74509803921569
"7","0900-0959","Delta Air Lines Inc.","Albany, NY: Albany International",191,2.22093023255814
"8","0900-0959","ExpressJet Airlines Inc.","Albany, NY: Albany International",0,0
"9","0900-0959","Southwest Airlines Co.","Albany, NY: Albany International",1129,6.2032967032967
"10","0900-0959","American Airlines Inc.","Albuquerque, NM: Albuquerque International Sunport",351,12.1034482758621
"11","0900-0959","Delta Air Lines Inc.","Albuquerque, NM: Albuquerque International Sunport",359,39.8888888888889
"12","0900-0959","ExpressJet Airlines Inc.","Albuquerque, NM: Albuquerque International Sunport",32,6.4
"13","0900-0959","SkyWest Airlines Inc.","Albuquerque, NM: Albuquerque International Sunport",833,34.7083333333333
"14","0900-0959","Southwest Airlines Co.","Albuquerque, NM: Albuquerque International Sunport",4073,4.56103023516237
"15","0900-0959","United Air Lines Inc.","Albuquerque, NM: Albuquerque International Sunport",19,1.26666666666667
"16","0900-0959","ExpressJet Airlines Inc.","Alexandria, LA: Alexandria International",1063,6.56172839506173
"17","0900-0959","Delta Air Lines Inc.","Allentown/Bethlehem/Easton, PA: Lehigh Valley International",14,1.16666666666667
"18","0900-0959","SkyWest Airlines Inc.","Alpena, MI: Alpena County Regional",0,0
"19","0900-0959","American Airlines Inc.","Amarillo, TX: Rick Husband Amarillo International",1046,9.25663716814159
"20","0900-0959","ExpressJet Airlines Inc.","Amarillo, TX: Rick Husband Amarillo International",942,6.03846153846154
"21","0900-0959","SkyWest Airlines Inc.","Amarillo, TX: Rick Husband Amarillo International",484,5.97530864197531
"22","0900-0959","Southwest Airlines Co.","Amarillo, TX: Rick Husband Amarillo International",0,0
"23","0900-0959","Alaska Airlines Inc.","Anchorage, AK: Ted Stevens Anchorage International",5033,4.65157116451017
"24","0900-0959","American Airlines Inc.","Anchorage, AK: Ted Stevens Anchorage International",295,59
"25","0900-0959","Delta Air Lines Inc.","Anchorage, AK: Ted Stevens Anchorage International",38,1.72727272727273
"26","0900-0959","United Air Lines Inc.","Anchorage, AK: Ted Stevens Anchorage International",1818,27.134328358209
"27","0900-0959","Delta Air Lines Inc.","Appleton, WI: Appleton International",3600,8.69565217391304
"28","0900-0959","ExpressJet Airlines Inc.","Appleton, WI: Appleton International",371,9.76315789473684
"29","0900-0959","SkyWest Airlines Inc.","Appleton, WI: Appleton International",644,15.7073170731707
"30","0900-0959","Delta Air Lines Inc.","Asheville, NC: Asheville Regional",20,2.5
"31","0900-0959","SkyWest Airlines Inc.","Aspen, CO: Aspen Pitkin County Sardy Field",2869,9.25483870967742
"32","0900-0959","Alaska Airlines Inc.","Atlanta, GA: Hartsfield-Jackson Atlanta International",1236,3.96153846153846
"33","0900-0959","American Airlines Inc.","Atlanta, GA: Hartsfield-Jackson Atlanta International",6228,11.4485294117647
"34","0900-0959","Delta Air Lines Inc.","Atlanta, GA: Hartsfield-Jackson Atlanta International",62623,4.46128090047731
"35","0900-0959","ExpressJet Airlines Inc.","Atlanta, GA: Hartsfield-Jackson Atlanta International",26549,7.15028279019661
"36","0900-0959","Frontier Airlines Inc.","Atlanta, GA: Hartsfield-Jackson Atlanta International",2603,10.3293650793651
"37","0900-0959","SkyWest Airlines Inc.","Atlanta, GA: Hartsfield-Jackson Atlanta International",1489,11.0296296296296
"38","0900-0959","Southwest Airlines Co.","Atlanta, GA: Hartsfield-Jackson Atlanta International",8563,4.54753053637812
"39","0900-0959","Spirit Air Lines","Atlanta, GA: Hartsfield-Jackson Atlanta International",4266,8.48111332007952
"40","0900-0959","United Air Lines Inc.","Atlanta, GA: Hartsfield-Jackson Atlanta International",2433,6.45358090185676
"41","0900-0959","Spirit Air Lines","Atlantic City, NJ: Atlantic City International",5922,11.703557312253
"42","0900-0959","Delta Air Lines Inc.","Augusta, GA: Augusta Regional at Bush Field",621,3.95541401273885
"43","0900-0959","ExpressJet Airlines Inc.","Augusta, GA: Augusta Regional at Bush Field",1581,25.5
"44","0900-0959","Alaska Airlines Inc.","Austin, TX: Austin - Bergstrom International",839,7.23275862068965
"45","0900-0959","American Airlines Inc.","Austin, TX: Austin - Bergstrom International",5202,9.47540983606557
"46","0900-0959","Delta Air Lines Inc.","Austin, TX: Austin - Bergstrom International",2320,4.68686868686869
"47","0900-0959","ExpressJet Airlines Inc.","Austin, TX: Austin - Bergstrom International",61,12.2
"48","0900-0959","SkyWest Airlines Inc.","Austin, TX: Austin - Bergstrom International",1701,18.0957446808511
"49","0900-0959","Southwest Airlines Co.","Austin, TX: Austin - Bergstrom International",4710,3.58720487433359
"50","0900-0959","United Air Lines Inc.","Austin, TX: Austin - Bergstrom International",3805,6.91818181818182
"51","0900-0959","Virgin America","Austin, TX: Austin - Bergstrom International",148,1.29824561403509
"52","0900-0959","SkyWest Airlines Inc.","Bakersfield, CA: Meadows Field",1977,5.52234636871508
"53","0900-0959","American Airlines Inc.","Baltimore, MD: Baltimore/Washington International Thurgood Marshall",6375,10.1674641148325
"54","0900-0959","Delta Air Lines Inc.","Baltimore, MD: Baltimore/Washington International Thurgood Marshall",3072,8.67796610169492
"55","0900-0959","JetBlue Airways","Baltimore, MD: Baltimore/Washington International Thurgood Marshall",2933,5.55492424242424
"56","0900-0959","SkyWest Airlines Inc.","Baltimore, MD: Baltimore/Washington International Thurgood Marshall",421,17.5416666666667
"57","0900-0959","Southwest Airlines Co.","Baltimore, MD: Baltimore/Washington International Thurgood Marshall",16303,4.25110821382008
"58","0900-0959","Spirit Air Lines","Baltimore, MD: Baltimore/Washington International Thurgood Marshall",2444,6.77008310249307
"59","0900-0959","United Air Lines Inc.","Baltimore, MD: Baltimore/Washington International Thurgood Marshall",5875,11.4970645792564
"60","0900-0959","Delta Air Lines Inc.","Bangor, ME: Bangor International",915,9.53125
"61","0900-0959","ExpressJet Airlines Inc.","Bangor, ME: Bangor International",696,10.5454545454545
"62","0900-0959","ExpressJet Airlines Inc.","Baton Rouge, LA: Baton Rouge Metropolitan/Ryan Field",17237,22.6802631578947
"63","0900-0959","ExpressJet Airlines Inc.","Beaumont/Port Arthur, TX: Jack Brooks Regional",0,0
"64","0900-0959","SkyWest Airlines Inc.","Bemidji, MN: Bemidji Regional",7,3.5
"65","0900-0959","SkyWest Airlines Inc.","Bend/Redmond, OR: Roberts Field",5658,8.82683307332293
"66","0900-0959","Alaska Airlines Inc.","Bethel, AK: Bethel Airport",463,1.89754098360656
"67","0900-0959","Delta Air Lines Inc.","Billings, MT: Billings Logan International",703,5.16911764705882
"68","0900-0959","ExpressJet Airlines Inc.","Billings, MT: Billings Logan International",821,21.6052631578947
"69","0900-0959","SkyWest Airlines Inc.","Billings, MT: Billings Logan International",0,0
"70","0900-0959","United Air Lines Inc.","Billings, MT: Billings Logan International",0,0
"71","0900-0959","Delta Air Lines Inc.","Birmingham, AL: Birmingham-Shuttlesworth International",534,4.68421052631579
"72","0900-0959","ExpressJet Airlines Inc.","Birmingham, AL: Birmingham-Shuttlesworth International",3115,8.1331592689295
"73","0900-0959","SkyWest Airlines Inc.","Birmingham, AL: Birmingham-Shuttlesworth International",895,7.39669421487603
"74","0900-0959","Southwest Airlines Co.","Birmingham, AL: Birmingham-Shuttlesworth International",1366,13.2621359223301
"75","0900-0959","Delta Air Lines Inc.","Bismarck/Mandan, ND: Bismarck Municipal",0,0
"76","0900-0959","SkyWest Airlines Inc.","Bismarck/Mandan, ND: Bismarck Municipal",1271,34.3513513513514
"77","0900-0959","SkyWest Airlines Inc.","Bloomington/Normal, IL: Central Illinois Regional",261,4.14285714285714
"78","0900-0959","Delta Air Lines Inc.","Boise, ID: Boise Air Terminal",1709,4.99707602339181
"79","0900-0959","SkyWest Airlines Inc.","Boise, ID: Boise Air Terminal",5274,22.5384615384615
"80","0900-0959","Southwest Airlines Co.","Boise, ID: Boise Air Terminal",2686,4.44701986754967
"81","0900-0959","American Airlines Inc.","Boston, MA: Logan International",10310,6.31740196078431
"82","0900-0959","Delta Air Lines Inc.","Boston, MA: Logan International",4896,9.37931034482759
"83","0900-0959","ExpressJet Airlines Inc.","Boston, MA: Logan International",57,5.7
"84","0900-0959","JetBlue Airways","Boston, MA: Logan International",18121,5.77838010204082
"85","0900-0959","Southwest Airlines Co.","Boston, MA: Logan International",7765,5.16289893617021
"86","0900-0959","Spirit Air Lines","Boston, MA: Logan International",2805,13.107476635514
"87","0900-0959","United Air Lines Inc.","Boston, MA: Logan International",5526,5.62729124236253
"88","0900-0959","Delta Air Lines Inc.","Bozeman, MT: Bozeman Yellowstone International",3563,11.3111111111111
"89","0900-0959","SkyWest Airlines Inc.","Bozeman, MT: Bozeman Yellowstone International",554,27.7
"90","0900-0959","United Air Lines Inc.","Bozeman, MT: Bozeman Yellowstone International",12,12
"91","0900-0959","Delta Air Lines Inc.","Bristol/Johnson City/Kingsport, TN: Tri-Cities Regional TN/VA",711,8.46428571428571
"92","0900-0959","ExpressJet Airlines Inc.","Bristol/Johnson City/Kingsport, TN: Tri-Cities Regional TN/VA",184,9.2
"93","0900-0959","ExpressJet Airlines Inc.","Brownsville, TX: Brownsville South Padre Island International",330,10
"94","0900-0959","Delta Air Lines Inc.","Buffalo, NY: Buffalo Niagara International",156,6.24
"95","0900-0959","ExpressJet Airlines Inc.","Buffalo, NY: Buffalo Niagara International",112,28
"96","0900-0959","JetBlue Airways","Buffalo, NY: Buffalo Niagara International",2433,5.7790973871734
"97","0900-0959","SkyWest Airlines Inc.","Buffalo, NY: Buffalo Niagara International",592,23.68
"98","0900-0959","Southwest Airlines Co.","Buffalo, NY: Buffalo Niagara International",2899,3.24636058230683
"99","0900-0959","Alaska Airlines Inc.","Burbank, CA: Bob Hope",1484,4.08815426997245
"100","0900-0959","SkyWest Airlines Inc.","Burbank, CA: Bob Hope",1049,23.8409090909091
"101","0900-0959","Southwest Airlines Co.","Burbank, CA: Bob Hope",4013,2.92492711370262
"102","0900-0959","Delta Air Lines Inc.","Burlington, VT: Burlington International",16,0.727272727272727
"103","0900-0959","ExpressJet Airlines Inc.","Burlington, VT: Burlington International",2425,17.5724637681159
"104","0900-0959","United Air Lines Inc.","Burlington, VT: Burlington International",12,1.33333333333333
"105","0900-0959","SkyWest Airlines Inc.","Butte, MT: Bert Mooney",4,1.33333333333333
"106","0900-0959","SkyWest Airlines Inc.","Casper, WY: Casper/Natrona County International",187,2.59722222222222
"107","0900-0959","Delta Air Lines Inc.","Cedar Rapids/Iowa City, IA: The Eastern Iowa",457,13.8484848484848
"108","0900-0959","ExpressJet Airlines Inc.","Cedar Rapids/Iowa City, IA: The Eastern Iowa",1747,13.1353383458647
"109","0900-0959","SkyWest Airlines Inc.","Cedar Rapids/Iowa City, IA: The Eastern Iowa",2206,11.8602150537634
"110","0900-0959","Delta Air Lines Inc.","Charleston, SC: Charleston AFB/International",643,7.39080459770115
