"","TIME_BLOCK","NAME_AIRLINE","NAME_AIRPORT","COUNT","data_arrtimeblk_mean$MEAN"
"1","2000-2059","SkyWest Airlines Inc.","Aberdeen, SD: Aberdeen Regional",0,0
"2","2000-2059","Alaska Airlines Inc.","Adak Island, AK: Adak",15,7.5
"3","2000-2059","Delta Air Lines Inc.","Akron, OH: Akron-Canton Regional",184,3.91489361702128
"4","2000-2059","ExpressJet Airlines Inc.","Akron, OH: Akron-Canton Regional",69,3.13636363636364
"5","2000-2059","Southwest Airlines Co.","Akron, OH: Akron-Canton Regional",2834,19.9577464788732
"6","2000-2059","Delta Air Lines Inc.","Albany, NY: Albany International",2993,13.3616071428571
"7","2000-2059","JetBlue Airways","Albany, NY: Albany International",727,15.1458333333333
"8","2000-2059","SkyWest Airlines Inc.","Albany, NY: Albany International",936,15.344262295082
"9","2000-2059","Southwest Airlines Co.","Albany, NY: Albany International",1997,22.1888888888889
"10","2000-2059","ExpressJet Airlines Inc.","Albuquerque, NM: Albuquerque International Sunport",112,8
"11","2000-2059","SkyWest Airlines Inc.","Albuquerque, NM: Albuquerque International Sunport",0,0
"12","2000-2059","Southwest Airlines Co.","Albuquerque, NM: Albuquerque International Sunport",16381,15.5712927756654
"13","2000-2059","ExpressJet Airlines Inc.","Alexandria, LA: Alexandria International",7502,15.5643153526971
"14","2000-2059","Delta Air Lines Inc.","Allentown/Bethlehem/Easton, PA: Lehigh Valley International",58,58
"15","2000-2059","ExpressJet Airlines Inc.","Allentown/Bethlehem/Easton, PA: Lehigh Valley International",3638,19.3510638297872
"16","2000-2059","Southwest Airlines Co.","Amarillo, TX: Rick Husband Amarillo International",28,7
"17","2000-2059","Alaska Airlines Inc.","Anchorage, AK: Ted Stevens Anchorage International",3578,4.60489060489061
"18","2000-2059","Delta Air Lines Inc.","Anchorage, AK: Ted Stevens Anchorage International",545,19.4642857142857
"19","2000-2059","Delta Air Lines Inc.","Appleton, WI: Appleton International",0,0
"20","2000-2059","ExpressJet Airlines Inc.","Appleton, WI: Appleton International",436,9.68888888888889
"21","2000-2059","SkyWest Airlines Inc.","Appleton, WI: Appleton International",558,31
"22","2000-2059","SkyWest Airlines Inc.","Arcata/Eureka, CA: Arcata",1983,14.3695652173913
"23","2000-2059","Delta Air Lines Inc.","Asheville, NC: Asheville Regional",140,4.24242424242424
"24","2000-2059","ExpressJet Airlines Inc.","Asheville, NC: Asheville Regional",1136,14.5641025641026
"25","2000-2059","SkyWest Airlines Inc.","Aspen, CO: Aspen Pitkin County Sardy Field",3930,29.1111111111111
"26","2000-2059","Alaska Airlines Inc.","Atlanta, GA: Hartsfield-Jackson Atlanta International",0,0
"27","2000-2059","American Airlines Inc.","Atlanta, GA: Hartsfield-Jackson Atlanta International",14904,20.0053691275168
"28","2000-2059","Delta Air Lines Inc.","Atlanta, GA: Hartsfield-Jackson Atlanta International",151510,10.624079657808
"29","2000-2059","ExpressJet Airlines Inc.","Atlanta, GA: Hartsfield-Jackson Atlanta International",40021,18.1254528985507
"30","2000-2059","Frontier Airlines Inc.","Atlanta, GA: Hartsfield-Jackson Atlanta International",2640,13.4010152284264
"31","2000-2059","SkyWest Airlines Inc.","Atlanta, GA: Hartsfield-Jackson Atlanta International",3994,21.1322751322751
