"","TIME_BLOCK","NAME_AIRLINE","NAME_AIRPORT","COUNT","data_arrtimeblk_mean$MEAN"
"1","1500-1559","JetBlue Airways","Aguadilla, PR: Rafael Hernandez",2046,11.625
"2","1500-1559","ExpressJet Airlines Inc.","Akron, OH: Akron-Canton Regional",266,9.85185185185185
"3","1500-1559","SkyWest Airlines Inc.","Akron, OH: Akron-Canton Regional",297,15.6315789473684
"4","1500-1559","Southwest Airlines Co.","Akron, OH: Akron-Canton Regional",807,13.0161290322581
"5","1500-1559","ExpressJet Airlines Inc.","Albany, GA: Southwest Georgia Regional",0,0
"6","1500-1559","American Airlines Inc.","Albany, NY: Albany International",0,0
"7","1500-1559","Delta Air Lines Inc.","Albany, NY: Albany International",1659,8.295
"8","1500-1559","ExpressJet Airlines Inc.","Albany, NY: Albany International",248,15.5
"9","1500-1559","JetBlue Airways","Albany, NY: Albany International",207,15.9230769230769
"10","1500-1559","SkyWest Airlines Inc.","Albany, NY: Albany International",1323,13.3636363636364
"11","1500-1559","Southwest Airlines Co.","Albany, NY: Albany International",2175,7.5
"12","1500-1559","United Air Lines Inc.","Albany, NY: Albany International",171,9.5
"13","1500-1559","ExpressJet Airlines Inc.","Albuquerque, NM: Albuquerque International Sunport",0,0
"14","1500-1559","SkyWest Airlines Inc.","Albuquerque, NM: Albuquerque International Sunport",155,8.61111111111111
"15","1500-1559","Southwest Airlines Co.","Albuquerque, NM: Albuquerque International Sunport",7358,16.4241071428571
"16","1500-1559","United Air Lines Inc.","Albuquerque, NM: Albuquerque International Sunport",55,9.16666666666667
"17","1500-1559","ExpressJet Airlines Inc.","Alexandria, LA: Alexandria International",4788,11.6780487804878
"18","1500-1559","Delta Air Lines Inc.","Allentown/Bethlehem/Easton, PA: Lehigh Valley International",0,0
"19","1500-1559","ExpressJet Airlines Inc.","Allentown/Bethlehem/Easton, PA: Lehigh Valley International",5480,20.2214022140221
"20","1500-1559","ExpressJet Airlines Inc.","Amarillo, TX: Rick Husband Amarillo International",245,10.6521739130435
"21","1500-1559","Southwest Airlines Co.","Amarillo, TX: Rick Husband Amarillo International",1539,6.63362068965517
"22","1500-1559","Alaska Airlines Inc.","Anchorage, AK: Ted Stevens Anchorage International",1393,3.24708624708625
"23","1500-1559","ExpressJet Airlines Inc.","Appleton, WI: Appleton International",37,1.08823529411765
"24","1500-1559","SkyWest Airlines Inc.","Appleton, WI: Appleton International",732,11.6190476190476
"25","1500-1559","SkyWest Airlines Inc.","Arcata/Eureka, CA: Arcata",4906,20.356846473029
"26","1500-1559","Delta Air Lines Inc.","Asheville, NC: Asheville Regional",133,44.3333333333333
"27","1500-1559","ExpressJet Airlines Inc.","Asheville, NC: Asheville Regional",3804,17.6111111111111
"28","1500-1559","SkyWest Airlines Inc.","Asheville, NC: Asheville Regional",149,4.80645161290323
"29","1500-1559","SkyWest Airlines Inc.","Aspen, CO: Aspen Pitkin County Sardy Field",8066,30.6692015209125
"30","1500-1559","American Airlines Inc.","Atlanta, GA: Hartsfield-Jackson Atlanta International",4747,10.1
"31","1500-1559","Delta Air Lines Inc.","Atlanta, GA: Hartsfield-Jackson Atlanta International",98781,6.91501575078754
"32","1500-1559","ExpressJet Airlines Inc.","Atlanta, GA: Hartsfield-Jackson Atlanta International",37075,12.8554091539528
"33","1500-1559","Frontier Airlines Inc.","Atlanta, GA: Hartsfield-Jackson Atlanta International",2286,13.2138728323699
"34","1500-1559","SkyWest Airlines Inc.","Atlanta, GA: Hartsfield-Jackson Atlanta International",15084,18.7845579078456
"35","1500-1559","Southwest Airlines Co.","Atlanta, GA: Hartsfield-Jackson Atlanta International",28009,10.7976098689283
"36","1500-1559","Spirit Air Lines","Atlanta, GA: Hartsfield-Jackson Atlanta International",3592,13.2546125461255
"37","1500-1559","United Air Lines Inc.","Atlanta, GA: Hartsfield-Jackson Atlanta International",145,5.8
"38","1500-1559","Spirit Air Lines","Atlantic City, NJ: Atlantic City International",5857,15.9591280653951
"39","1500-1559","Delta Air Lines Inc.","Augusta, GA: Augusta Regional at Bush Field",29,7.25
"40","1500-1559","ExpressJet Airlines Inc.","Augusta, GA: Augusta Regional at Bush Field",86,3.18518518518519
"41","1500-1559","American Airlines Inc.","Austin, TX: Austin - Bergstrom International",8623,11.9102209944751
