"","TIME_BLOCK","NAME_AIRLINE","NAME_AIRPORT","COUNT","data_arrtimeblk_mean$MEAN"
"1","2100-2159","Alaska Airlines Inc.","Adak Island, AK: Adak",802,8.1010101010101
"2","2100-2159","Southwest Airlines Co.","Akron, OH: Akron-Canton Regional",369,73.8
"3","2100-2159","American Airlines Inc.","Albany, NY: Albany International",2769,14.0558375634518
"4","2100-2159","Delta Air Lines Inc.","Albany, NY: Albany International",172,2.29333333333333
"5","2100-2159","JetBlue Airways","Albany, NY: Albany International",283,35.375
"6","2100-2159","Southwest Airlines Co.","Albany, NY: Albany International",344,4.58666666666667
"7","2100-2159","SkyWest Airlines Inc.","Albuquerque, NM: Albuquerque International Sunport",210,16.1538461538462
"8","2100-2159","Southwest Airlines Co.","Albuquerque, NM: Albuquerque International Sunport",9872,19.3948919449902
"9","2100-2159","Alaska Airlines Inc.","Anchorage, AK: Ted Stevens Anchorage International",2987,5.76640926640927
"10","2100-2159","Delta Air Lines Inc.","Anchorage, AK: Ted Stevens Anchorage International",1790,21.566265060241
"11","2100-2159","United Air Lines Inc.","Anchorage, AK: Ted Stevens Anchorage International",1314,8.01219512195122
"12","2100-2159","SkyWest Airlines Inc.","Arcata/Eureka, CA: Arcata",1039,10.8229166666667
"13","2100-2159","Delta Air Lines Inc.","Asheville, NC: Asheville Regional",0,0
"14","2100-2159","ExpressJet Airlines Inc.","Asheville, NC: Asheville Regional",2917,18.6987179487179
"15","2100-2159","SkyWest Airlines Inc.","Aspen, CO: Aspen Pitkin County Sardy Field",1374,15.6136363636364
"16","2100-2159","Alaska Airlines Inc.","Atlanta, GA: Hartsfield-Jackson Atlanta International",3193,8.72404371584699
"17","2100-2159","American Airlines Inc.","Atlanta, GA: Hartsfield-Jackson Atlanta International",14010,16.8592057761733
"18","2100-2159","Delta Air Lines Inc.","Atlanta, GA: Hartsfield-Jackson Atlanta International",166180,10.6525641025641
"19","2100-2159","ExpressJet Airlines Inc.","Atlanta, GA: Hartsfield-Jackson Atlanta International",47429,16.771216407355
"20","2100-2159","Frontier Airlines Inc.","Atlanta, GA: Hartsfield-Jackson Atlanta International",504,16.258064516129
"21","2100-2159","SkyWest Airlines Inc.","Atlanta, GA: Hartsfield-Jackson Atlanta International",15965,19.9812265331665
"22","2100-2159","Southwest Airlines Co.","Atlanta, GA: Hartsfield-Jackson Atlanta International",43389,20.4183529411765
"23","2100-2159","Spirit Air Lines","Atlanta, GA: Hartsfield-Jackson Atlanta International",15634,30.836291913215
"24","2100-2159","United Air Lines Inc.","Atlanta, GA: Hartsfield-Jackson Atlanta International",7453,18.8207070707071
"25","2100-2159","Spirit Air Lines","Atlantic City, NJ: Atlantic City International",818,45.4444444444444
"26","2100-2159","Delta Air Lines Inc.","Augusta, GA: Augusta Regional at Bush Field",4,4
"27","2100-2159","Alaska Airlines Inc.","Austin, TX: Austin - Bergstrom International",867,6.7734375
"28","2100-2159","American Airlines Inc.","Austin, TX: Austin - Bergstrom International",7804,15.6706827309237
"29","2100-2159","Delta Air Lines Inc.","Austin, TX: Austin - Bergstrom International",3190,12.0377358490566
"30","2100-2159","Frontier Airlines Inc.","Austin, TX: Austin - Bergstrom International",0,0
"31","2100-2159","JetBlue Airways","Austin, TX: Austin - Bergstrom International",6595,37.0505617977528
"32","2100-2159","SkyWest Airlines Inc.","Austin, TX: Austin - Bergstrom International",915,15.5084745762712
"33","2100-2159","Southwest Airlines Co.","Austin, TX: Austin - Bergstrom International",30199,17.3857225100748
"34","2100-2159","United Air Lines Inc.","Austin, TX: Austin - Bergstrom International",1273,10.6974789915966
"35","2100-2159","SkyWest Airlines Inc.","Bakersfield, CA: Meadows Field",106,3.6551724137931
"36","2100-2159","American Airlines Inc.","Baltimore, MD: Baltimore/Washington International Thurgood Marshall",3749,23.7278481012658
"37","2100-2159","Delta Air Lines Inc.","Baltimore, MD: Baltimore/Washington International Thurgood Marshall",11922,15.7075098814229
"38","2100-2159","ExpressJet Airlines Inc.","Baltimore, MD: Baltimore/Washington International Thurgood Marshall",607,14.1162790697674
"39","2100-2159","JetBlue Airways","Baltimore, MD: Baltimore/Washington International Thurgood Marshall",2736,24.6486486486486
"40","2100-2159","SkyWest Airlines Inc.","Baltimore, MD: Baltimore/Washington International Thurgood Marshall",677,12.7735849056604
"41","2100-2159","Southwest Airlines Co.","Baltimore, MD: Baltimore/Washington International Thurgood Marshall",54411,13.8169121381412
"42","2100-2159","Spirit Air Lines","Baltimore, MD: Baltimore/Washington International Thurgood Marshall",12824,26.6058091286307
"43","2100-2159","United Air Lines Inc.","Baltimore, MD: Baltimore/Washington International Thurgood Marshall",1586,17.0537634408602
"44","2100-2159","Alaska Airlines Inc.","Barrow, AK: Wiley Post/Will Rogers Memorial",513,6.75
"45","2100-2159","ExpressJet Airlines Inc.","Baton Rouge, LA: Baton Rouge Metropolitan/Ryan Field",1539,14.6571428571429
"46","2100-2159","Alaska Airlines Inc.","Bellingham, WA: Bellingham International",730,9.73333333333333
"47","2100-2159","SkyWest Airlines Inc.","Bend/Redmond, OR: Roberts Field",5637,30.4702702702703
"48","2100-2159","American Airlines Inc.","Birmingham, AL: Birmingham-Shuttlesworth International",6,6
"49","2100-2159","Delta Air Lines Inc.","Birmingham, AL: Birmingham-Shuttlesworth International",1580,15.1923076923077
"50","2100-2159","ExpressJet Airlines Inc.","Birmingham, AL: Birmingham-Shuttlesworth International",615,23.6538461538462
"51","2100-2159","Southwest Airlines Co.","Birmingham, AL: Birmingham-Shuttlesworth International",7247,12.1798319327731
"52","2100-2159","SkyWest Airlines Inc.","Bismarck/Mandan, ND: Bismarck Municipal",1950,11.6766467065868
"53","2100-2159","American Airlines Inc.","Boise, ID: Boise Air Terminal",0,0
"54","2100-2159","SkyWest Airlines Inc.","Boise, ID: Boise Air Terminal",447,6.29577464788732
"55","2100-2159","Southwest Airlines Co.","Boise, ID: Boise Air Terminal",1118,11.4081632653061
"56","2100-2159","Alaska Airlines Inc.","Boston, MA: Logan International",1708,5.86941580756014
"57","2100-2159","American Airlines Inc.","Boston, MA: Logan International",30913,19.6772756206238
"58","2100-2159","Delta Air Lines Inc.","Boston, MA: Logan International",20094,16.9141414141414
"59","2100-2159","ExpressJet Airlines Inc.","Boston, MA: Logan International",12341,24.2933070866142
"60","2100-2159","JetBlue Airways","Boston, MA: Logan International",40590,21.9405405405405
"61","2100-2159","SkyWest Airlines Inc.","Boston, MA: Logan International",328,15.6190476190476
"62","2100-2159","Southwest Airlines Co.","Boston, MA: Logan International",11343,21.6469465648855
"63","2100-2159","Spirit Air Lines","Boston, MA: Logan International",10200,24
"64","2100-2159","United Air Lines Inc.","Boston, MA: Logan International",30473,23.4768875192604
"65","2100-2159","Virgin America","Boston, MA: Logan International",4673,13.0530726256983
"66","2100-2159","American Airlines Inc.","Buffalo, NY: Buffalo Niagara International",1578,11.1914893617021
"67","2100-2159","Delta Air Lines Inc.","Buffalo, NY: Buffalo Niagara International",2183,7.3255033557047
"68","2100-2159","ExpressJet Airlines Inc.","Buffalo, NY: Buffalo Niagara International",6403,34.7989130434783
"69","2100-2159","JetBlue Airways","Buffalo, NY: Buffalo Niagara International",6036,21.4804270462633
"70","2100-2159","SkyWest Airlines Inc.","Buffalo, NY: Buffalo Niagara International",1037,12.0581395348837
"71","2100-2159","Southwest Airlines Co.","Buffalo, NY: Buffalo Niagara International",862,17.5918367346939
"72","2100-2159","United Air Lines Inc.","Buffalo, NY: Buffalo Niagara International",0,0
"73","2100-2159","SkyWest Airlines Inc.","Burbank, CA: Bob Hope",3713,19.3385416666667
"74","2100-2159","Southwest Airlines Co.","Burbank, CA: Bob Hope",18389,15.4529411764706
"75","2100-2159","ExpressJet Airlines Inc.","Burlington, VT: Burlington International",14,3.5
"76","2100-2159","JetBlue Airways","Burlington, VT: Burlington International",618,17.1666666666667
"77","2100-2159","SkyWest Airlines Inc.","Casper, WY: Casper/Natrona County International",107,11.8888888888889
"78","2100-2159","SkyWest Airlines Inc.","Cedar City, UT: Cedar City Regional",116,7.25
"79","2100-2159","Frontier Airlines Inc.","Cedar Rapids/Iowa City, IA: The Eastern Iowa",738,29.52
"80","2100-2159","SkyWest Airlines Inc.","Cedar Rapids/Iowa City, IA: The Eastern Iowa",374,14.96
"81","2100-2159","Alaska Airlines Inc.","Charleston, SC: Charleston AFB/International",120,3
"82","2100-2159","American Airlines Inc.","Charleston, SC: Charleston AFB/International",173,34.6
"83","2100-2159","Delta Air Lines Inc.","Charleston, SC: Charleston AFB/International",1481,8.09289617486339
"84","2100-2159","ExpressJet Airlines Inc.","Charleston, SC: Charleston AFB/International",376,15.6666666666667
"85","2100-2159","JetBlue Airways","Charleston, SC: Charleston AFB/International",2381,25.0631578947368
"86","2100-2159","Southwest Airlines Co.","Charleston, SC: Charleston AFB/International",4185,16.6733067729084
"87","2100-2159","United Air Lines Inc.","Charleston, SC: Charleston AFB/International",0,0
"88","2100-2159","ExpressJet Airlines Inc.","Charleston/Dunbar, WV: Yeager",3115,14.2237442922374
"89","2100-2159","Delta Air Lines Inc.","Charlotte Amalie, VI: Cyril E King",0,0
"90","2100-2159","JetBlue Airways","Charlotte Amalie, VI: Cyril E King",270,90
"91","2100-2159","United Air Lines Inc.","Charlotte Amalie, VI: Cyril E King",0,0
"92","2100-2159","American Airlines Inc.","Charlotte, NC: Charlotte Douglas International",153104,18.8760941930711
"93","2100-2159","Delta Air Lines Inc.","Charlotte, NC: Charlotte Douglas International",6310,11.7943925233645
"94","2100-2159","ExpressJet Airlines Inc.","Charlotte, NC: Charlotte Douglas International",4938,40.1463414634146
"95","2100-2159","Frontier Airlines Inc.","Charlotte, NC: Charlotte Douglas International",313,24.0769230769231
"96","2100-2159","JetBlue Airways","Charlotte, NC: Charlotte Douglas International",8804,28.3086816720257
"97","2100-2159","SkyWest Airlines Inc.","Charlotte, NC: Charlotte Douglas International",1610,23.3333333333333
"98","2100-2159","Southwest Airlines Co.","Charlotte, NC: Charlotte Douglas International",3097,16.8315217391304
"99","2100-2159","United Air Lines Inc.","Charlotte, NC: Charlotte Douglas International",382,23.875
"100","2100-2159","ExpressJet Airlines Inc.","Charlottesville, VA: Charlottesville Albemarle",169,4.225
"101","2100-2159","ExpressJet Airlines Inc.","Chattanooga, TN: Lovell Field",1961,26.5
"102","2100-2159","Delta Air Lines Inc.","Chicago, IL: Chicago Midway International",3013,17.1193181818182
"103","2100-2159","ExpressJet Airlines Inc.","Chicago, IL: Chicago Midway International",516,16.6451612903226
"104","2100-2159","SkyWest Airlines Inc.","Chicago, IL: Chicago Midway International",619,30.95
"105","2100-2159","Southwest Airlines Co.","Chicago, IL: Chicago Midway International",72418,14.913097199341
"106","2100-2159","Alaska Airlines Inc.","Chicago, IL: Chicago O'Hare International",410,7.32142857142857
"107","2100-2159","American Airlines Inc.","Chicago, IL: Chicago O'Hare International",117858,25.2914163090129
"108","2100-2159","Delta Air Lines Inc.","Chicago, IL: Chicago O'Hare International",18189,21.993954050786
"109","2100-2159","ExpressJet Airlines Inc.","Chicago, IL: Chicago O'Hare International",95759,17.9930477264186
"110","2100-2159","Frontier Airlines Inc.","Chicago, IL: Chicago O'Hare International",3574,30.8103448275862
"111","2100-2159","JetBlue Airways","Chicago, IL: Chicago O'Hare International",12660,31.4143920595534
"112","2100-2159","SkyWest Airlines Inc.","Chicago, IL: Chicago O'Hare International",54809,17.9290153745502
"113","2100-2159","Spirit Air Lines","Chicago, IL: Chicago O'Hare International",26398,29.6606741573034
"114","2100-2159","United Air Lines Inc.","Chicago, IL: Chicago O'Hare International",172410,25.4968944099379
"115","2100-2159","Virgin America","Chicago, IL: Chicago O'Hare International",4350,20.9134615384615
"116","2100-2159","Delta Air Lines Inc.","Cincinnati, OH: Cincinnati/Northern Kentucky International",1904,10.6368715083799
"117","2100-2159","ExpressJet Airlines Inc.","Cincinnati, OH: Cincinnati/Northern Kentucky International",1588,16.8936170212766
"118","2100-2159","Frontier Airlines Inc.","Cincinnati, OH: Cincinnati/Northern Kentucky International",622,12.9583333333333
"119","2100-2159","SkyWest Airlines Inc.","Cincinnati, OH: Cincinnati/Northern Kentucky International",8415,18.8255033557047
"120","2100-2159","American Airlines Inc.","Cleveland, OH: Cleveland-Hopkins International",2328,15.0193548387097
"121","2100-2159","Delta Air Lines Inc.","Cleveland, OH: Cleveland-Hopkins International",2311,12.8388888888889
"122","2100-2159","ExpressJet Airlines Inc.","Cleveland, OH: Cleveland-Hopkins International",2433,13.8238636363636
"123","2100-2159","Frontier Airlines Inc.","Cleveland, OH: Cleveland-Hopkins International",954,28.9090909090909
"124","2100-2159","JetBlue Airways","Cleveland, OH: Cleveland-Hopkins International",943,18.1346153846154
"125","2100-2159","SkyWest Airlines Inc.","Cleveland, OH: Cleveland-Hopkins International",1424,14.8333333333333
"126","2100-2159","Southwest Airlines Co.","Cleveland, OH: Cleveland-Hopkins International",926,17.8076923076923
"127","2100-2159","Spirit Air Lines","Cleveland, OH: Cleveland-Hopkins International",6072,17.4985590778098
"128","2100-2159","United Air Lines Inc.","Cleveland, OH: Cleveland-Hopkins International",2796,18.3947368421053
"129","2100-2159","SkyWest Airlines Inc.","Cody, WY: Yellowstone Regional",189,12.6
"130","2100-2159","SkyWest Airlines Inc.","Colorado Springs, CO: City of Colorado Springs Municipal",176,176
"131","2100-2159","Delta Air Lines Inc.","Columbia, SC: Columbia Metropolitan",366,26.1428571428571
"132","2100-2159","ExpressJet Airlines Inc.","Columbia, SC: Columbia Metropolitan",2480,14.0112994350282
"133","2100-2159","American Airlines Inc.","Columbus, OH: Port Columbus International",566,7.64864864864865
"134","2100-2159","Delta Air Lines Inc.","Columbus, OH: Port Columbus International",1182,12.4421052631579
"135","2100-2159","ExpressJet Airlines Inc.","Columbus, OH: Port Columbus International",3715,24.281045751634
"136","2100-2159","Frontier Airlines Inc.","Columbus, OH: Port Columbus International",233,6.2972972972973
"137","2100-2159","SkyWest Airlines Inc.","Columbus, OH: Port Columbus International",84,3
"138","2100-2159","Southwest Airlines Co.","Columbus, OH: Port Columbus International",5609,13.2287735849057
"139","2100-2159","Delta Air Lines Inc.","Dallas, TX: Dallas Love Field",3803,12.4281045751634
"140","2100-2159","Southwest Airlines Co.","Dallas, TX: Dallas Love Field",70177,19.9083687943262
"141","2100-2159","Virgin America","Dallas, TX: Dallas Love Field",7350,17.6682692307692
"142","2100-2159","Alaska Airlines Inc.","Dallas/Fort Worth, TX: Dallas/Fort Worth International",2646,11.2118644067797
"143","2100-2159","American Airlines Inc.","Dallas/Fort Worth, TX: Dallas/Fort Worth International",173437,18.7054572907679
"144","2100-2159","Delta Air Lines Inc.","Dallas/Fort Worth, TX: Dallas/Fort Worth International",7719,14.0345454545455
"145","2100-2159","ExpressJet Airlines Inc.","Dallas/Fort Worth, TX: Dallas/Fort Worth International",71247,21.0665286812537
"146","2100-2159","Frontier Airlines Inc.","Dallas/Fort Worth, TX: Dallas/Fort Worth International",2890,16.6091954022989
"147","2100-2159","SkyWest Airlines Inc.","Dallas/Fort Worth, TX: Dallas/Fort Worth International",18731,26.4562146892655
"148","2100-2159","Spirit Air Lines","Dallas/Fort Worth, TX: Dallas/Fort Worth International",9462,18.924
"149","2100-2159","United Air Lines Inc.","Dallas/Fort Worth, TX: Dallas/Fort Worth International",3775,16.2715517241379
"150","2100-2159","American Airlines Inc.","Dayton, OH: James M Cox/Dayton International",1320,14.1935483870968
"151","2100-2159","ExpressJet Airlines Inc.","Dayton, OH: James M Cox/Dayton International",706,16.4186046511628
"152","2100-2159","SkyWest Airlines Inc.","Dayton, OH: James M Cox/Dayton International",219,5.61538461538461
"153","2100-2159","Southwest Airlines Co.","Dayton, OH: James M Cox/Dayton International",0,0
"154","2100-2159","Alaska Airlines Inc.","Denver, CO: Denver International",2619,14.3114754098361
"155","2100-2159","American Airlines Inc.","Denver, CO: Denver International",16485,23.8913043478261
