"","TIME_BLOCK","NAME_AIRLINE","NAME_AIRPORT","COUNT","data_arrtimeblk_mean$MEAN"
"65","2300-2359","American Airlines Inc.","Chicago, IL: Chicago O'Hare International",39080,21.9304152637486
"66","2300-2359","Delta Air Lines Inc.","Chicago, IL: Chicago O'Hare International",812,81.2
"67","2300-2359","ExpressJet Airlines Inc.","Chicago, IL: Chicago O'Hare International",30703,12.4253338729259
"68","2300-2359","Frontier Airlines Inc.","Chicago, IL: Chicago O'Hare International",13186,26.8553971486762
"69","2300-2359","JetBlue Airways","Chicago, IL: Chicago O'Hare International",7046,40.2628571428571
"70","2300-2359","SkyWest Airlines Inc.","Chicago, IL: Chicago O'Hare International",17434,14.2434640522876
"71","2300-2359","Spirit Air Lines","Chicago, IL: Chicago O'Hare International",27756,23.9689119170984
"72","2300-2359","United Air Lines Inc.","Chicago, IL: Chicago O'Hare International",70832,20.1685649202733
"73","2300-2359","ExpressJet Airlines Inc.","Cincinnati, OH: Cincinnati/Northern Kentucky International",0,0
"74","2300-2359","SkyWest Airlines Inc.","Cincinnati, OH: Cincinnati/Northern Kentucky International",0,0
"75","2300-2359","ExpressJet Airlines Inc.","Cleveland, OH: Cleveland-Hopkins International",0,0
"76","2300-2359","Frontier Airlines Inc.","Cleveland, OH: Cleveland-Hopkins International",0,0
"77","2300-2359","Southwest Airlines Co.","Cleveland, OH: Cleveland-Hopkins International",900,18.3673469387755
"78","2300-2359","Spirit Air Lines","Cleveland, OH: Cleveland-Hopkins International",4281,42.81
"79","2300-2359","United Air Lines Inc.","Cleveland, OH: Cleveland-Hopkins International",0,0
"80","2300-2359","American Airlines Inc.","Colorado Springs, CO: City of Colorado Springs Municipal",0,0
"81","2300-2359","Frontier Airlines Inc.","Colorado Springs, CO: City of Colorado Springs Municipal",0,0
"82","2300-2359","ExpressJet Airlines Inc.","Columbia, SC: Columbia Metropolitan",101,33.6666666666667
"83","2300-2359","American Airlines Inc.","Columbus, OH: Port Columbus International",0,0
"84","2300-2359","Delta Air Lines Inc.","Columbus, OH: Port Columbus International",0,0
"85","2300-2359","Frontier Airlines Inc.","Columbus, OH: Port Columbus International",702,12.7636363636364
"86","2300-2359","Southwest Airlines Co.","Columbus, OH: Port Columbus International",845,16.9
"87","2300-2359","Southwest Airlines Co.","Dallas, TX: Dallas Love Field",32883,16.9064267352185
"88","2300-2359","American Airlines Inc.","Dallas/Fort Worth, TX: Dallas/Fort Worth International",150157,16.2366998269896
"89","2300-2359","Delta Air Lines Inc.","Dallas/Fort Worth, TX: Dallas/Fort Worth International",1275,19.6153846153846
"90","2300-2359","ExpressJet Airlines Inc.","Dallas/Fort Worth, TX: Dallas/Fort Worth International",28058,18.7930341594106
"91","2300-2359","JetBlue Airways","Dallas/Fort Worth, TX: Dallas/Fort Worth International",3823,20.4438502673797
"92","2300-2359","SkyWest Airlines Inc.","Dallas/Fort Worth, TX: Dallas/Fort Worth International",160,80
"93","2300-2359","Spirit Air Lines","Dallas/Fort Worth, TX: Dallas/Fort Worth International",7782,13.8716577540107
"94","2300-2359","United Air Lines Inc.","Dallas/Fort Worth, TX: Dallas/Fort Worth International",915,9.73404255319149
"95","2300-2359","American Airlines Inc.","Dayton, OH: James M Cox/Dayton International",0,0
"96","2300-2359","ExpressJet Airlines Inc.","Dayton, OH: James M Cox/Dayton International",0,0
"97","2300-2359","Alaska Airlines Inc.","Deadhorse, AK: Deadhorse Airport",356,3.70833333333333
"98","2300-2359","Alaska Airlines Inc.","Denver, CO: Denver International",61,4.35714285714286
"99","2300-2359","American Airlines Inc.","Denver, CO: Denver International",807,11.3661971830986
"100","2300-2359","Delta Air Lines Inc.","Denver, CO: Denver International",0,0
"101","2300-2359","Frontier Airlines Inc.","Denver, CO: Denver International",35044,17.6900555275114
"102","2300-2359","JetBlue Airways","Denver, CO: Denver International",286,286
"103","2300-2359","SkyWest Airlines Inc.","Denver, CO: Denver International",22035,11.4170984455959
"104","2300-2359","Southwest Airlines Co.","Denver, CO: Denver International",121426,14.2351699882767
"105","2300-2359","Spirit Air Lines","Denver, CO: Denver International",5899,16.4317548746518
"106","2300-2359","United Air Lines Inc.","Denver, CO: Denver International",70579,13.1726390444196
"107","2300-2359","American Airlines Inc.","Des Moines, IA: Des Moines International",0,0
"108","2300-2359","ExpressJet Airlines Inc.","Des Moines, IA: Des Moines International",63,63
"109","2300-2359","United Air Lines Inc.","Des Moines, IA: Des Moines International",0,0
"110","2300-2359","American Airlines Inc.","Detroit, MI: Detroit Metro Wayne County",500,17.2413793103448
"111","2300-2359","Delta Air Lines Inc.","Detroit, MI: Detroit Metro Wayne County",49827,11.9460561016543
"112","2300-2359","ExpressJet Airlines Inc.","Detroit, MI: Detroit Metro Wayne County",11577,21.2032967032967
"113","2300-2359","SkyWest Airlines Inc.","Detroit, MI: Detroit Metro Wayne County",10812,10.2678062678063
"114","2300-2359","Spirit Air Lines","Detroit, MI: Detroit Metro Wayne County",6983,35.2676767676768
