"","MONTH","NAME_AIRLINE","NAME_AIRPORT","COUNT","data_arrtimeblk_mean$MEAN"
"1",7,"SkyWest Airlines Inc.","Aberdeen, SD: Aberdeen Regional",529,8.67213114754098
"2",7,"ExpressJet Airlines Inc.","Abilene, TX: Abilene Regional",325,14.7727272727273
"3",7,"Alaska Airlines Inc.","Adak Island, AK: Adak",25,2.77777777777778
"4",7,"JetBlue Airways","Aguadilla, PR: Rafael Hernandez",2216,14.6754966887417
"5",7,"Spirit Air Lines","Aguadilla, PR: Rafael Hernandez",299,13.5909090909091
"6",7,"United Air Lines Inc.","Aguadilla, PR: Rafael Hernandez",962,32.0666666666667
"7",7,"Delta Air Lines Inc.","Akron, OH: Akron-Canton Regional",933,8.04310344827586
"8",7,"ExpressJet Airlines Inc.","Akron, OH: Akron-Canton Regional",3848,21.9885714285714
"9",7,"Southwest Airlines Co.","Akron, OH: Akron-Canton Regional",1043,11.3369565217391
"10",7,"ExpressJet Airlines Inc.","Albany, GA: Southwest Georgia Regional",956,11.1162790697674
"11",7,"American Airlines Inc.","Albany, NY: Albany International",1592,18.2988505747126
"12",7,"Delta Air Lines Inc.","Albany, NY: Albany International",2282,19.6724137931034
"13",7,"ExpressJet Airlines Inc.","Albany, NY: Albany International",1237,37.4848484848485
"14",7,"JetBlue Airways","Albany, NY: Albany International",1540,24.8387096774194
"15",7,"SkyWest Airlines Inc.","Albany, NY: Albany International",4,1.33333333333333
"16",7,"Southwest Airlines Co.","Albany, NY: Albany International",7005,19.297520661157
"17",7,"United Air Lines Inc.","Albany, NY: Albany International",1935,17.2767857142857
"18",7,"Alaska Airlines Inc.","Albuquerque, NM: Albuquerque International Sunport",25,0.806451612903226
"19",7,"American Airlines Inc.","Albuquerque, NM: Albuquerque International Sunport",4212,28.2684563758389
"20",7,"Delta Air Lines Inc.","Albuquerque, NM: Albuquerque International Sunport",386,3.16393442622951
"21",7,"ExpressJet Airlines Inc.","Albuquerque, NM: Albuquerque International Sunport",0,0
"22",7,"JetBlue Airways","Albuquerque, NM: Albuquerque International Sunport",1059,36.5172413793103
"23",7,"SkyWest Airlines Inc.","Albuquerque, NM: Albuquerque International Sunport",1190,5.38461538461539
"24",7,"Southwest Airlines Co.","Albuquerque, NM: Albuquerque International Sunport",18481,18.2618577075099
"25",7,"United Air Lines Inc.","Albuquerque, NM: Albuquerque International Sunport",307,5.29310344827586
"26",7,"ExpressJet Airlines Inc.","Alexandria, LA: Alexandria International",4438,19.1293103448276
"27",7,"Delta Air Lines Inc.","Allentown/Bethlehem/Easton, PA: Lehigh Valley International",27,0.84375
"28",7,"ExpressJet Airlines Inc.","Allentown/Bethlehem/Easton, PA: Lehigh Valley International",4961,39.3730158730159
"29",7,"SkyWest Airlines Inc.","Allentown/Bethlehem/Easton, PA: Lehigh Valley International",1205,15.8552631578947
"30",7,"SkyWest Airlines Inc.","Alpena, MI: Alpena County Regional",264,4.25806451612903
"31",7,"ExpressJet Airlines Inc.","Amarillo, TX: Rick Husband Amarillo International",437,6.24285714285714
"32",7,"SkyWest Airlines Inc.","Amarillo, TX: Rick Husband Amarillo International",374,7.48
"33",7,"Southwest Airlines Co.","Amarillo, TX: Rick Husband Amarillo International",1660,12.2962962962963
"34",7,"Alaska Airlines Inc.","Anchorage, AK: Ted Stevens Anchorage International",4939,3.58938953488372
"35",7,"American Airlines Inc.","Anchorage, AK: Ted Stevens Anchorage International",508,5.52173913043478
