"","MONTH","NAME_AIRLINE","NAME_AIRPORT","FLIGHT_STATE","NFLIGHTS"
"1",12,"SkyWest Airlines Inc.","Aberdeen, SD: Aberdeen Regional","CANCELLED",2
"2",12,"JetBlue Airways","Aguadilla, PR: Rafael Hernandez","CANCELLED",4
"3",12,"Spirit Air Lines","Aguadilla, PR: Rafael Hernandez","CANCELLED",1
"4",12,"United Air Lines Inc.","Aguadilla, PR: Rafael Hernandez","CANCELLED",1
"5",12,"ExpressJet Airlines Inc.","Akron, OH: Akron-Canton Regional","CANCELLED",8
"6",12,"SkyWest Airlines Inc.","Akron, OH: Akron-Canton Regional","CANCELLED",1
"7",12,"Southwest Airlines Co.","Akron, OH: Akron-Canton Regional","CANCELLED",2
"8",12,"Spirit Air Lines","Akron, OH: Akron-Canton Regional","CANCELLED",2
"9",12,"ExpressJet Airlines Inc.","Albany, NY: Albany International","CANCELLED",3
"10",12,"SkyWest Airlines Inc.","Albany, NY: Albany International","CANCELLED",3
"11",12,"Southwest Airlines Co.","Albany, NY: Albany International","CANCELLED",4
"12",12,"United Air Lines Inc.","Albany, NY: Albany International","CANCELLED",1
"13",12,"Alaska Airlines Inc.","Albuquerque, NM: Albuquerque International Sunport","CANCELLED",1
"14",12,"American Airlines Inc.","Albuquerque, NM: Albuquerque International Sunport","CANCELLED",1
"15",12,"SkyWest Airlines Inc.","Albuquerque, NM: Albuquerque International Sunport","CANCELLED",4
"16",12,"Southwest Airlines Co.","Albuquerque, NM: Albuquerque International Sunport","CANCELLED",13
"17",12,"United Air Lines Inc.","Albuquerque, NM: Albuquerque International Sunport","CANCELLED",1
"18",12,"ExpressJet Airlines Inc.","Alexandria, LA: Alexandria International","CANCELLED",4
"19",12,"ExpressJet Airlines Inc.","Allentown/Bethlehem/Easton, PA: Lehigh Valley International","CANCELLED",4
"20",12,"SkyWest Airlines Inc.","Allentown/Bethlehem/Easton, PA: Lehigh Valley International","CANCELLED",3
"21",12,"SkyWest Airlines Inc.","Alpena, MI: Alpena County Regional","CANCELLED",4
"22",12,"Alaska Airlines Inc.","Anchorage, AK: Ted Stevens Anchorage International","CANCELLED",12
"23",12,"ExpressJet Airlines Inc.","Appleton, WI: Appleton International","CANCELLED",6
"24",12,"SkyWest Airlines Inc.","Appleton, WI: Appleton International","CANCELLED",5
"25",12,"SkyWest Airlines Inc.","Arcata/Eureka, CA: Arcata","CANCELLED",2
"26",12,"ExpressJet Airlines Inc.","Asheville, NC: Asheville Regional","CANCELLED",2
"27",12,"SkyWest Airlines Inc.","Asheville, NC: Asheville Regional","CANCELLED",5
"28",12,"SkyWest Airlines Inc.","Aspen, CO: Aspen Pitkin County Sardy Field","CANCELLED",62
"29",12,"Alaska Airlines Inc.","Atlanta, GA: Hartsfield-Jackson Atlanta International","CANCELLED",1
"30",12,"American Airlines Inc.","Atlanta, GA: Hartsfield-Jackson Atlanta International","CANCELLED",5
"31",12,"Delta Air Lines Inc.","Atlanta, GA: Hartsfield-Jackson Atlanta International","CANCELLED",11
"32",12,"ExpressJet Airlines Inc.","Atlanta, GA: Hartsfield-Jackson Atlanta International","CANCELLED",43
"33",12,"Frontier Airlines Inc.","Atlanta, GA: Hartsfield-Jackson Atlanta International","CANCELLED",16
"34",12,"SkyWest Airlines Inc.","Atlanta, GA: Hartsfield-Jackson Atlanta International","CANCELLED",7
"35",12,"Southwest Airlines Co.","Atlanta, GA: Hartsfield-Jackson Atlanta International","CANCELLED",28
"36",12,"Spirit Air Lines","Atlanta, GA: Hartsfield-Jackson Atlanta International","CANCELLED",13
"37",12,"United Air Lines Inc.","Atlanta, GA: Hartsfield-Jackson Atlanta International","CANCELLED",4
"38",12,"Spirit Air Lines","Atlantic City, NJ: Atlantic City International","CANCELLED",6
"39",12,"ExpressJet Airlines Inc.","Augusta, GA: Augusta Regional at Bush Field","CANCELLED",1
"40",12,"American Airlines Inc.","Austin, TX: Austin - Bergstrom International","CANCELLED",6
"41",12,"Frontier Airlines Inc.","Austin, TX: Austin - Bergstrom International","CANCELLED",5
"42",12,"JetBlue Airways","Austin, TX: Austin - Bergstrom International","CANCELLED",2
"43",12,"SkyWest Airlines Inc.","Austin, TX: Austin - Bergstrom International","CANCELLED",2
"44",12,"Southwest Airlines Co.","Austin, TX: Austin - Bergstrom International","CANCELLED",12
"45",12,"United Air Lines Inc.","Austin, TX: Austin - Bergstrom International","CANCELLED",1
"46",12,"SkyWest Airlines Inc.","Bakersfield, CA: Meadows Field","CANCELLED",2
"47",12,"Alaska Airlines Inc.","Baltimore, MD: Baltimore/Washington International Thurgood Marshall","CANCELLED",1
"48",12,"American Airlines Inc.","Baltimore, MD: Baltimore/Washington International Thurgood Marshall","CANCELLED",2
"49",12,"Delta Air Lines Inc.","Baltimore, MD: Baltimore/Washington International Thurgood Marshall","CANCELLED",4
"50",12,"ExpressJet Airlines Inc.","Baltimore, MD: Baltimore/Washington International Thurgood Marshall","CANCELLED",2
"51",12,"JetBlue Airways","Baltimore, MD: Baltimore/Washington International Thurgood Marshall","CANCELLED",4
"52",12,"Southwest Airlines Co.","Baltimore, MD: Baltimore/Washington International Thurgood Marshall","CANCELLED",101
"53",12,"Spirit Air Lines","Baltimore, MD: Baltimore/Washington International Thurgood Marshall","CANCELLED",10
"54",12,"United Air Lines Inc.","Baltimore, MD: Baltimore/Washington International Thurgood Marshall","CANCELLED",4
"55",12,"Alaska Airlines Inc.","Barrow, AK: Wiley Post/Will Rogers Memorial","CANCELLED",2
"56",12,"ExpressJet Airlines Inc.","Baton Rouge, LA: Baton Rouge Metropolitan/Ryan Field","CANCELLED",5
"57",12,"ExpressJet Airlines Inc.","Beaumont/Port Arthur, TX: Jack Brooks Regional","CANCELLED",1
"58",12,"SkyWest Airlines Inc.","Bemidji, MN: Bemidji Regional","CANCELLED",1
"59",12,"SkyWest Airlines Inc.","Bend/Redmond, OR: Roberts Field","CANCELLED",23
"60",12,"Alaska Airlines Inc.","Bethel, AK: Bethel Airport","CANCELLED",1
"61",12,"SkyWest Airlines Inc.","Billings, MT: Billings Logan International","CANCELLED",3
"62",12,"SkyWest Airlines Inc.","Binghamton, NY: Greater Binghamton/Edwin A. Link Field","CANCELLED",1
"63",12,"ExpressJet Airlines Inc.","Birmingham, AL: Birmingham-Shuttlesworth International","CANCELLED",10
"64",12,"SkyWest Airlines Inc.","Birmingham, AL: Birmingham-Shuttlesworth International","CANCELLED",4
"65",12,"Southwest Airlines Co.","Birmingham, AL: Birmingham-Shuttlesworth International","CANCELLED",4
"66",12,"Delta Air Lines Inc.","Bismarck/Mandan, ND: Bismarck Municipal","CANCELLED",1
"67",12,"Frontier Airlines Inc.","Bismarck/Mandan, ND: Bismarck Municipal","CANCELLED",1
"68",12,"SkyWest Airlines Inc.","Bismarck/Mandan, ND: Bismarck Municipal","CANCELLED",13
"69",12,"Delta Air Lines Inc.","Bloomington/Normal, IL: Central Illinois Regional","CANCELLED",1
"70",12,"ExpressJet Airlines Inc.","Bloomington/Normal, IL: Central Illinois Regional","CANCELLED",2
"71",12,"American Airlines Inc.","Boise, ID: Boise Air Terminal","CANCELLED",2
"72",12,"SkyWest Airlines Inc.","Boise, ID: Boise Air Terminal","CANCELLED",9
