"","MONTH","NAME_AIRLINE","NAME_AIRPORT","COUNT","data_deptimeblk_mean$MEAN"
"1",8,"SkyWest Airlines Inc.","Aberdeen, SD: Aberdeen Regional",196,3.16129032258065
"2",8,"ExpressJet Airlines Inc.","Abilene, TX: Abilene Regional",256,9.48148148148148
"3",8,"Alaska Airlines Inc.","Adak Island, AK: Adak",115,14.375
"4",8,"JetBlue Airways","Aguadilla, PR: Rafael Hernandez",2354,16.3472222222222
"5",8,"Spirit Air Lines","Aguadilla, PR: Rafael Hernandez",369,16.7727272727273
"6",8,"United Air Lines Inc.","Aguadilla, PR: Rafael Hernandez",1489,48.0322580645161
"7",8,"Delta Air Lines Inc.","Akron, OH: Akron-Canton Regional",1988,17.4385964912281
"8",8,"ExpressJet Airlines Inc.","Akron, OH: Akron-Canton Regional",3312,20.0727272727273
"9",8,"SkyWest Airlines Inc.","Akron, OH: Akron-Canton Regional",313,18.4117647058824
"10",8,"Southwest Airlines Co.","Akron, OH: Akron-Canton Regional",788,8.47311827956989
"11",8,"ExpressJet Airlines Inc.","Albany, GA: Southwest Georgia Regional",892,10.2528735632184
"12",8,"American Airlines Inc.","Albany, NY: Albany International",599,6.96511627906977
"13",8,"Delta Air Lines Inc.","Albany, NY: Albany International",2675,22.4789915966387
"14",8,"ExpressJet Airlines Inc.","Albany, NY: Albany International",538,24.4545454545455
"15",8,"JetBlue Airways","Albany, NY: Albany International",1663,26.8225806451613
"16",8,"SkyWest Airlines Inc.","Albany, NY: Albany International",0,0
"17",8,"Southwest Airlines Co.","Albany, NY: Albany International",2554,7.38150289017341
"18",8,"United Air Lines Inc.","Albany, NY: Albany International",2060,18.0701754385965
"19",8,"Alaska Airlines Inc.","Albuquerque, NM: Albuquerque International Sunport",169,5.45161290322581
"20",8,"American Airlines Inc.","Albuquerque, NM: Albuquerque International Sunport",2359,16.3819444444444
"21",8,"Delta Air Lines Inc.","Albuquerque, NM: Albuquerque International Sunport",1514,12.112
"22",8,"ExpressJet Airlines Inc.","Albuquerque, NM: Albuquerque International Sunport",0,0
"23",8,"JetBlue Airways","Albuquerque, NM: Albuquerque International Sunport",1146,36.9677419354839
"24",8,"SkyWest Airlines Inc.","Albuquerque, NM: Albuquerque International Sunport",2441,11.8495145631068
"25",8,"Southwest Airlines Co.","Albuquerque, NM: Albuquerque International Sunport",9842,9.71569595261599
"26",8,"United Air Lines Inc.","Albuquerque, NM: Albuquerque International Sunport",833,13.4354838709677
"27",8,"ExpressJet Airlines Inc.","Alexandria, LA: Alexandria International",4898,19.2834645669291
"28",8,"Delta Air Lines Inc.","Allentown/Bethlehem/Easton, PA: Lehigh Valley International",499,16.0967741935484
"29",8,"ExpressJet Airlines Inc.","Allentown/Bethlehem/Easton, PA: Lehigh Valley International",2885,22.0229007633588
"30",8,"SkyWest Airlines Inc.","Allentown/Bethlehem/Easton, PA: Lehigh Valley International",772,10.7222222222222
"31",8,"SkyWest Airlines Inc.","Alpena, MI: Alpena County Regional",1499,25.8448275862069
"32",8,"American Airlines Inc.","Amarillo, TX: Rick Husband Amarillo International",6,0.75
"33",8,"ExpressJet Airlines Inc.","Amarillo, TX: Rick Husband Amarillo International",457,5.64197530864198
"34",8,"SkyWest Airlines Inc.","Amarillo, TX: Rick Husband Amarillo International",333,10.0909090909091
"35",8,"Southwest Airlines Co.","Amarillo, TX: Rick Husband Amarillo International",955,6.58620689655172
"36",8,"Alaska Airlines Inc.","Anchorage, AK: Ted Stevens Anchorage International",4066,3.01185185185185
"37",8,"American Airlines Inc.","Anchorage, AK: Ted Stevens Anchorage International",3824,51.6756756756757
"38",8,"Delta Air Lines Inc.","Anchorage, AK: Ted Stevens Anchorage International",8308,24.2215743440233
"39",8,"JetBlue Airways","Anchorage, AK: Ted Stevens Anchorage International",776,8.91954022988506
"40",8,"United Air Lines Inc.","Anchorage, AK: Ted Stevens Anchorage International",2496,16.1032258064516
