"","MONTH","NAME_AIRLINE","NAME_AIRPORT","FLIGHT_STATE","NFLIGHTS"
"1",5,"ExpressJet Airlines Inc.","Akron, OH: Akron-Canton Regional","CANCELLED",1
"2",5,"SkyWest Airlines Inc.","Albany, NY: Albany International","CANCELLED",1
"3",5,"Southwest Airlines Co.","Albany, NY: Albany International","CANCELLED",1
"4",5,"ExpressJet Airlines Inc.","Albuquerque, NM: Albuquerque International Sunport","CANCELLED",3
"5",5,"Southwest Airlines Co.","Albuquerque, NM: Albuquerque International Sunport","CANCELLED",4
"6",5,"United Air Lines Inc.","Albuquerque, NM: Albuquerque International Sunport","CANCELLED",1
"7",5,"ExpressJet Airlines Inc.","Alexandria, LA: Alexandria International","CANCELLED",3
"8",5,"SkyWest Airlines Inc.","Allentown/Bethlehem/Easton, PA: Lehigh Valley International","CANCELLED",1
"9",5,"ExpressJet Airlines Inc.","Amarillo, TX: Rick Husband Amarillo International","CANCELLED",1
"10",5,"Southwest Airlines Co.","Amarillo, TX: Rick Husband Amarillo International","CANCELLED",2
"11",5,"Alaska Airlines Inc.","Anchorage, AK: Ted Stevens Anchorage International","CANCELLED",5
"12",5,"United Air Lines Inc.","Anchorage, AK: Ted Stevens Anchorage International","CANCELLED",1
"13",5,"ExpressJet Airlines Inc.","Appleton, WI: Appleton International","CANCELLED",4
"14",5,"SkyWest Airlines Inc.","Arcata/Eureka, CA: Arcata","CANCELLED",3
"15",5,"American Airlines Inc.","Atlanta, GA: Hartsfield-Jackson Atlanta International","CANCELLED",3
"16",5,"Delta Air Lines Inc.","Atlanta, GA: Hartsfield-Jackson Atlanta International","CANCELLED",4
"17",5,"ExpressJet Airlines Inc.","Atlanta, GA: Hartsfield-Jackson Atlanta International","CANCELLED",2
"18",5,"Frontier Airlines Inc.","Atlanta, GA: Hartsfield-Jackson Atlanta International","CANCELLED",1
"19",5,"SkyWest Airlines Inc.","Atlanta, GA: Hartsfield-Jackson Atlanta International","CANCELLED",1
"20",5,"Southwest Airlines Co.","Atlanta, GA: Hartsfield-Jackson Atlanta International","CANCELLED",4
"21",5,"Spirit Air Lines","Atlanta, GA: Hartsfield-Jackson Atlanta International","CANCELLED",3
"22",5,"United Air Lines Inc.","Atlanta, GA: Hartsfield-Jackson Atlanta International","CANCELLED",1
"23",5,"Spirit Air Lines","Atlantic City, NJ: Atlantic City International","CANCELLED",5
"24",5,"American Airlines Inc.","Austin, TX: Austin - Bergstrom International","CANCELLED",8
"25",5,"JetBlue Airways","Austin, TX: Austin - Bergstrom International","CANCELLED",1
"26",5,"SkyWest Airlines Inc.","Austin, TX: Austin - Bergstrom International","CANCELLED",1
"27",5,"Southwest Airlines Co.","Austin, TX: Austin - Bergstrom International","CANCELLED",19
"28",5,"United Air Lines Inc.","Austin, TX: Austin - Bergstrom International","CANCELLED",7
"29",5,"SkyWest Airlines Inc.","Bakersfield, CA: Meadows Field","CANCELLED",1
"30",5,"American Airlines Inc.","Baltimore, MD: Baltimore/Washington International Thurgood Marshall","CANCELLED",3
"31",5,"JetBlue Airways","Baltimore, MD: Baltimore/Washington International Thurgood Marshall","CANCELLED",2
"32",5,"Southwest Airlines Co.","Baltimore, MD: Baltimore/Washington International Thurgood Marshall","CANCELLED",5
"33",5,"Spirit Air Lines","Baltimore, MD: Baltimore/Washington International Thurgood Marshall","CANCELLED",7
"34",5,"United Air Lines Inc.","Baltimore, MD: Baltimore/Washington International Thurgood Marshall","CANCELLED",3
"35",5,"Alaska Airlines Inc.","Barrow, AK: Wiley Post/Will Rogers Memorial","CANCELLED",1
"36",5,"ExpressJet Airlines Inc.","Baton Rouge, LA: Baton Rouge Metropolitan/Ryan Field","CANCELLED",12
"37",5,"SkyWest Airlines Inc.","Bend/Redmond, OR: Roberts Field","CANCELLED",1
"38",5,"Alaska Airlines Inc.","Bethel, AK: Bethel Airport","CANCELLED",2
"39",5,"SkyWest Airlines Inc.","Billings, MT: Billings Logan International","CANCELLED",1
"40",5,"ExpressJet Airlines Inc.","Birmingham, AL: Birmingham-Shuttlesworth International","CANCELLED",4
"41",5,"SkyWest Airlines Inc.","Birmingham, AL: Birmingham-Shuttlesworth International","CANCELLED",3
"42",5,"Southwest Airlines Co.","Birmingham, AL: Birmingham-Shuttlesworth International","CANCELLED",1
"43",5,"SkyWest Airlines Inc.","Boise, ID: Boise Air Terminal","CANCELLED",1
"44",5,"Southwest Airlines Co.","Boise, ID: Boise Air Terminal","CANCELLED",1
"45",5,"American Airlines Inc.","Boston, MA: Logan International","CANCELLED",16
