"","MONTH","NAME_AIRLINE","NAME_AIRPORT","FLIGHT_STATE","NFLIGHTS"
"1",4,"JetBlue Airways","Aguadilla, PR: Rafael Hernandez","CANCELLED",2
"2",4,"Spirit Air Lines","Aguadilla, PR: Rafael Hernandez","CANCELLED",2
"3",4,"United Air Lines Inc.","Aguadilla, PR: Rafael Hernandez","CANCELLED",1
"4",4,"ExpressJet Airlines Inc.","Akron, OH: Akron-Canton Regional","CANCELLED",1
"5",4,"Southwest Airlines Co.","Akron, OH: Akron-Canton Regional","CANCELLED",1
"6",4,"United Air Lines Inc.","Albany, NY: Albany International","CANCELLED",1
"7",4,"American Airlines Inc.","Albuquerque, NM: Albuquerque International Sunport","CANCELLED",5
"8",4,"ExpressJet Airlines Inc.","Albuquerque, NM: Albuquerque International Sunport","CANCELLED",2
"9",4,"SkyWest Airlines Inc.","Albuquerque, NM: Albuquerque International Sunport","CANCELLED",3
"10",4,"Southwest Airlines Co.","Albuquerque, NM: Albuquerque International Sunport","CANCELLED",7
"11",4,"United Air Lines Inc.","Albuquerque, NM: Albuquerque International Sunport","CANCELLED",3
"12",4,"ExpressJet Airlines Inc.","Alexandria, LA: Alexandria International","CANCELLED",5
"13",4,"ExpressJet Airlines Inc.","Amarillo, TX: Rick Husband Amarillo International","CANCELLED",4
"14",4,"Southwest Airlines Co.","Amarillo, TX: Rick Husband Amarillo International","CANCELLED",1
"15",4,"Alaska Airlines Inc.","Anchorage, AK: Ted Stevens Anchorage International","CANCELLED",1
"16",4,"United Air Lines Inc.","Anchorage, AK: Ted Stevens Anchorage International","CANCELLED",1
"17",4,"ExpressJet Airlines Inc.","Appleton, WI: Appleton International","CANCELLED",1
"18",4,"SkyWest Airlines Inc.","Arcata/Eureka, CA: Arcata","CANCELLED",1
"19",4,"Delta Air Lines Inc.","Asheville, NC: Asheville Regional","CANCELLED",1
"20",4,"SkyWest Airlines Inc.","Aspen, CO: Aspen Pitkin County Sardy Field","CANCELLED",11
"21",4,"American Airlines Inc.","Atlanta, GA: Hartsfield-Jackson Atlanta International","CANCELLED",7
"22",4,"Delta Air Lines Inc.","Atlanta, GA: Hartsfield-Jackson Atlanta International","CANCELLED",15
"23",4,"ExpressJet Airlines Inc.","Atlanta, GA: Hartsfield-Jackson Atlanta International","CANCELLED",2
"24",4,"SkyWest Airlines Inc.","Atlanta, GA: Hartsfield-Jackson Atlanta International","CANCELLED",5
"25",4,"Southwest Airlines Co.","Atlanta, GA: Hartsfield-Jackson Atlanta International","CANCELLED",18
"26",4,"Spirit Air Lines","Atlanta, GA: Hartsfield-Jackson Atlanta International","CANCELLED",14
"27",4,"United Air Lines Inc.","Atlanta, GA: Hartsfield-Jackson Atlanta International","CANCELLED",5
"28",4,"Spirit Air Lines","Atlantic City, NJ: Atlantic City International","CANCELLED",5
"29",4,"ExpressJet Airlines Inc.","Augusta, GA: Augusta Regional at Bush Field","CANCELLED",1
"30",4,"American Airlines Inc.","Austin, TX: Austin - Bergstrom International","CANCELLED",13
"31",4,"JetBlue Airways","Austin, TX: Austin - Bergstrom International","CANCELLED",1
"32",4,"SkyWest Airlines Inc.","Austin, TX: Austin - Bergstrom International","CANCELLED",4
"33",4,"Southwest Airlines Co.","Austin, TX: Austin - Bergstrom International","CANCELLED",15
"34",4,"United Air Lines Inc.","Austin, TX: Austin - Bergstrom International","CANCELLED",8
"35",4,"SkyWest Airlines Inc.","Bakersfield, CA: Meadows Field","CANCELLED",2
"36",4,"American Airlines Inc.","Baltimore, MD: Baltimore/Washington International Thurgood Marshall","CANCELLED",3
"37",4,"ExpressJet Airlines Inc.","Baltimore, MD: Baltimore/Washington International Thurgood Marshall","CANCELLED",1
"38",4,"JetBlue Airways","Baltimore, MD: Baltimore/Washington International Thurgood Marshall","CANCELLED",2
"39",4,"Southwest Airlines Co.","Baltimore, MD: Baltimore/Washington International Thurgood Marshall","CANCELLED",13
"40",4,"Spirit Air Lines","Baltimore, MD: Baltimore/Washington International Thurgood Marshall","CANCELLED",2
"41",4,"United Air Lines Inc.","Baltimore, MD: Baltimore/Washington International Thurgood Marshall","CANCELLED",7
"42",4,"ExpressJet Airlines Inc.","Baton Rouge, LA: Baton Rouge Metropolitan/Ryan Field","CANCELLED",14
"43",4,"SkyWest Airlines Inc.","Bend/Redmond, OR: Roberts Field","CANCELLED",2
"44",4,"SkyWest Airlines Inc.","Billings, MT: Billings Logan International","CANCELLED",2
"45",4,"United Air Lines Inc.","Billings, MT: Billings Logan International","CANCELLED",2
"46",4,"SkyWest Airlines Inc.","Binghamton, NY: Greater Binghamton/Edwin A. Link Field","CANCELLED",1
"47",4,"Delta Air Lines Inc.","Birmingham, AL: Birmingham-Shuttlesworth International","CANCELLED",1
"48",4,"ExpressJet Airlines Inc.","Birmingham, AL: Birmingham-Shuttlesworth International","CANCELLED",7
"49",4,"SkyWest Airlines Inc.","Birmingham, AL: Birmingham-Shuttlesworth International","CANCELLED",2
"50",4,"Southwest Airlines Co.","Birmingham, AL: Birmingham-Shuttlesworth International","CANCELLED",2
"51",4,"SkyWest Airlines Inc.","Bismarck/Mandan, ND: Bismarck Municipal","CANCELLED",5
"52",4,"SkyWest Airlines Inc.","Boise, ID: Boise Air Terminal","CANCELLED",5
"53",4,"Southwest Airlines Co.","Boise, ID: Boise Air Terminal","CANCELLED",4
"54",4,"United Air Lines Inc.","Boise, ID: Boise Air Terminal","CANCELLED",1
"55",4,"American Airlines Inc.","Boston, MA: Logan International","CANCELLED",33
"56",4,"Delta Air Lines Inc.","Boston, MA: Logan International","CANCELLED",6
"57",4,"ExpressJet Airlines Inc.","Boston, MA: Logan International","CANCELLED",2
"58",4,"JetBlue Airways","Boston, MA: Logan International","CANCELLED",39
"59",4,"SkyWest Airlines Inc.","Boston, MA: Logan International","CANCELLED",1
"60",4,"Southwest Airlines Co.","Boston, MA: Logan International","CANCELLED",5
"61",4,"Spirit Air Lines","Boston, MA: Logan International","CANCELLED",4
"62",4,"United Air Lines Inc.","Boston, MA: Logan International","CANCELLED",17
"63",4,"Virgin America","Boston, MA: Logan International","CANCELLED",2
"64",4,"United Air Lines Inc.","Bozeman, MT: Bozeman Yellowstone International","CANCELLED",3
"65",4,"ExpressJet Airlines Inc.","Brownsville, TX: Brownsville South Padre Island International","CANCELLED",7
"66",4,"ExpressJet Airlines Inc.","Buffalo, NY: Buffalo Niagara International","CANCELLED",5
"67",4,"JetBlue Airways","Buffalo, NY: Buffalo Niagara International","CANCELLED",4
