"","MONTH","NAME_AIRLINE","NAME_AIRPORT","COUNT","data_deptimeblk_mean$MEAN"
"1",11,"SkyWest Airlines Inc.","Aberdeen, SD: Aberdeen Regional",630,9.84375
"2",11,"ExpressJet Airlines Inc.","Abilene, TX: Abilene Regional",111,4.82608695652174
"3",11,"Alaska Airlines Inc.","Adak Island, AK: Adak",69,8.625
"4",11,"JetBlue Airways","Aguadilla, PR: Rafael Hernandez",349,3.79347826086957
"5",11,"Spirit Air Lines","Aguadilla, PR: Rafael Hernandez",222,10.0909090909091
"6",11,"United Air Lines Inc.","Aguadilla, PR: Rafael Hernandez",791,26.3666666666667
"7",11,"Delta Air Lines Inc.","Akron, OH: Akron-Canton Regional",355,3.1140350877193
"8",11,"ExpressJet Airlines Inc.","Akron, OH: Akron-Canton Regional",1377,13.9090909090909
"9",11,"SkyWest Airlines Inc.","Akron, OH: Akron-Canton Regional",376,9.64102564102564
"10",11,"Southwest Airlines Co.","Akron, OH: Akron-Canton Regional",733,8.05494505494505
"11",11,"Spirit Air Lines","Akron, OH: Akron-Canton Regional",132,2.12903225806452
"12",11,"ExpressJet Airlines Inc.","Albany, GA: Southwest Georgia Regional",837,10.5949367088608
"13",11,"American Airlines Inc.","Albany, NY: Albany International",361,4.40243902439024
"14",11,"Delta Air Lines Inc.","Albany, NY: Albany International",821,6.12686567164179
"15",11,"ExpressJet Airlines Inc.","Albany, NY: Albany International",547,21.88
"16",11,"JetBlue Airways","Albany, NY: Albany International",105,1.75
"17",11,"SkyWest Airlines Inc.","Albany, NY: Albany International",1920,30.9677419354839
"18",11,"Southwest Airlines Co.","Albany, NY: Albany International",1684,4.74366197183099
"19",11,"United Air Lines Inc.","Albany, NY: Albany International",886,16.7169811320755
"20",11,"Alaska Airlines Inc.","Albuquerque, NM: Albuquerque International Sunport",87,2.9
"21",11,"American Airlines Inc.","Albuquerque, NM: Albuquerque International Sunport",1599,12.206106870229
"22",11,"Delta Air Lines Inc.","Albuquerque, NM: Albuquerque International Sunport",353,2.52142857142857
"23",11,"ExpressJet Airlines Inc.","Albuquerque, NM: Albuquerque International Sunport",31,1.10714285714286
"24",11,"JetBlue Airways","Albuquerque, NM: Albuquerque International Sunport",308,12.32
"25",11,"SkyWest Airlines Inc.","Albuquerque, NM: Albuquerque International Sunport",2018,11.3370786516854
"26",11,"Southwest Airlines Co.","Albuquerque, NM: Albuquerque International Sunport",6781,7.04885654885655
"27",11,"United Air Lines Inc.","Albuquerque, NM: Albuquerque International Sunport",561,5.24299065420561
"28",11,"ExpressJet Airlines Inc.","Alexandria, LA: Alexandria International",3637,13.881679389313
"29",11,"Delta Air Lines Inc.","Allentown/Bethlehem/Easton, PA: Lehigh Valley International",15,0.5
"30",11,"ExpressJet Airlines Inc.","Allentown/Bethlehem/Easton, PA: Lehigh Valley International",2083,20.0288461538462
"31",11,"SkyWest Airlines Inc.","Allentown/Bethlehem/Easton, PA: Lehigh Valley International",1301,21.6833333333333
"32",11,"SkyWest Airlines Inc.","Alpena, MI: Alpena County Regional",405,7.64150943396226
"33",11,"American Airlines Inc.","Amarillo, TX: Rick Husband Amarillo International",279,8.45454545454546
"34",11,"ExpressJet Airlines Inc.","Amarillo, TX: Rick Husband Amarillo International",139,1.67469879518072
"35",11,"SkyWest Airlines Inc.","Amarillo, TX: Rick Husband Amarillo International",31,5.16666666666667
"36",11,"Southwest Airlines Co.","Amarillo, TX: Rick Husband Amarillo International",547,3.82517482517482
"37",11,"Alaska Airlines Inc.","Anchorage, AK: Ted Stevens Anchorage International",2988,3.07091469681398
"38",11,"Delta Air Lines Inc.","Anchorage, AK: Ted Stevens Anchorage International",317,2.83035714285714
"39",11,"United Air Lines Inc.","Anchorage, AK: Ted Stevens Anchorage International",166,5.53333333333333
"40",11,"Delta Air Lines Inc.","Appleton, WI: Appleton International",905,16.7592592592593
"41",11,"ExpressJet Airlines Inc.","Appleton, WI: Appleton International",1258,11.1327433628319
"42",11,"SkyWest Airlines Inc.","Appleton, WI: Appleton International",1283,10.1023622047244
"43",11,"SkyWest Airlines Inc.","Arcata/Eureka, CA: Arcata",1765,15.0854700854701
"44",11,"Delta Air Lines Inc.","Asheville, NC: Asheville Regional",210,2.5609756097561
"45",11,"ExpressJet Airlines Inc.","Asheville, NC: Asheville Regional",3635,26.9259259259259
"46",11,"SkyWest Airlines Inc.","Asheville, NC: Asheville Regional",163,3.70454545454545
"47",11,"SkyWest Airlines Inc.","Aspen, CO: Aspen Pitkin County Sardy Field",1305,10.875
"48",11,"Alaska Airlines Inc.","Atlanta, GA: Hartsfield-Jackson Atlanta International",238,4.32727272727273
"49",11,"American Airlines Inc.","Atlanta, GA: Hartsfield-Jackson Atlanta International",6819,6.33147632311978
"50",11,"Delta Air Lines Inc.","Atlanta, GA: Hartsfield-Jackson Atlanta International",94991,4.65550872377965
"51",11,"ExpressJet Airlines Inc.","Atlanta, GA: Hartsfield-Jackson Atlanta International",48332,11.4206049149338
"52",11,"Frontier Airlines Inc.","Atlanta, GA: Hartsfield-Jackson Atlanta International",2165,8.55731225296443
"53",11,"SkyWest Airlines Inc.","Atlanta, GA: Hartsfield-Jackson Atlanta International",4747,11.0652680652681
"54",11,"Southwest Airlines Co.","Atlanta, GA: Hartsfield-Jackson Atlanta International",25025,7.1972965199885
"55",11,"Spirit Air Lines","Atlanta, GA: Hartsfield-Jackson Atlanta International",5116,8.89739130434783
"56",11,"United Air Lines Inc.","Atlanta, GA: Hartsfield-Jackson Atlanta International",4322,9.56194690265487
"57",11,"Spirit Air Lines","Atlantic City, NJ: Atlantic City International",2098,7.46619217081851
"58",11,"Delta Air Lines Inc.","Augusta, GA: Augusta Regional at Bush Field",326,3.88095238095238
"59",11,"ExpressJet Airlines Inc.","Augusta, GA: Augusta Regional at Bush Field",1461,11.7822580645161
"60",11,"Alaska Airlines Inc.","Austin, TX: Austin - Bergstrom International",214,4.45833333333333
"61",11,"American Airlines Inc.","Austin, TX: Austin - Bergstrom International",5167,6.81662269129288
"62",11,"Delta Air Lines Inc.","Austin, TX: Austin - Bergstrom International",1692,4.46437994722955
"63",11,"ExpressJet Airlines Inc.","Austin, TX: Austin - Bergstrom International",244,11.0909090909091
"64",11,"Frontier Airlines Inc.","Austin, TX: Austin - Bergstrom International",636,8.25974025974026
