"","MONTH","NAME_AIRLINE","NAME_AIRPORT","FLIGHT_STATE","NFLIGHTS"
"1",9,"SkyWest Airlines Inc.","Aberdeen, SD: Aberdeen Regional","CANCELLED",1
"2",9,"JetBlue Airways","Aguadilla, PR: Rafael Hernandez","CANCELLED",1
"3",9,"ExpressJet Airlines Inc.","Albuquerque, NM: Albuquerque International Sunport","CANCELLED",1
"4",9,"Southwest Airlines Co.","Albuquerque, NM: Albuquerque International Sunport","CANCELLED",1
"5",9,"ExpressJet Airlines Inc.","Alexandria, LA: Alexandria International","CANCELLED",3
"6",9,"ExpressJet Airlines Inc.","Allentown/Bethlehem/Easton, PA: Lehigh Valley International","CANCELLED",1
"7",9,"Alaska Airlines Inc.","Anchorage, AK: Ted Stevens Anchorage International","CANCELLED",5
"8",9,"JetBlue Airways","Anchorage, AK: Ted Stevens Anchorage International","CANCELLED",1
"9",9,"United Air Lines Inc.","Anchorage, AK: Ted Stevens Anchorage International","CANCELLED",1
"10",9,"SkyWest Airlines Inc.","Appleton, WI: Appleton International","CANCELLED",1
"11",9,"SkyWest Airlines Inc.","Arcata/Eureka, CA: Arcata","CANCELLED",2
"12",9,"ExpressJet Airlines Inc.","Asheville, NC: Asheville Regional","CANCELLED",1
"13",9,"SkyWest Airlines Inc.","Asheville, NC: Asheville Regional","CANCELLED",1
"14",9,"SkyWest Airlines Inc.","Aspen, CO: Aspen Pitkin County Sardy Field","CANCELLED",2
"15",9,"American Airlines Inc.","Atlanta, GA: Hartsfield-Jackson Atlanta International","CANCELLED",5
"16",9,"ExpressJet Airlines Inc.","Atlanta, GA: Hartsfield-Jackson Atlanta International","CANCELLED",5
"17",9,"Frontier Airlines Inc.","Atlanta, GA: Hartsfield-Jackson Atlanta International","CANCELLED",1
"18",9,"Southwest Airlines Co.","Atlanta, GA: Hartsfield-Jackson Atlanta International","CANCELLED",3
"19",9,"Spirit Air Lines","Atlanta, GA: Hartsfield-Jackson Atlanta International","CANCELLED",3
"20",9,"United Air Lines Inc.","Atlanta, GA: Hartsfield-Jackson Atlanta International","CANCELLED",2
"21",9,"Spirit Air Lines","Atlantic City, NJ: Atlantic City International","CANCELLED",2
"22",9,"American Airlines Inc.","Austin, TX: Austin - Bergstrom International","CANCELLED",2
"23",9,"Frontier Airlines Inc.","Austin, TX: Austin - Bergstrom International","CANCELLED",1
"24",9,"JetBlue Airways","Austin, TX: Austin - Bergstrom International","CANCELLED",2
"25",9,"Southwest Airlines Co.","Austin, TX: Austin - Bergstrom International","CANCELLED",2
"26",9,"United Air Lines Inc.","Austin, TX: Austin - Bergstrom International","CANCELLED",2
"27",9,"Alaska Airlines Inc.","Baltimore, MD: Baltimore/Washington International Thurgood Marshall","CANCELLED",1
"28",9,"ExpressJet Airlines Inc.","Baltimore, MD: Baltimore/Washington International Thurgood Marshall","CANCELLED",2
"29",9,"JetBlue Airways","Baltimore, MD: Baltimore/Washington International Thurgood Marshall","CANCELLED",3
"30",9,"Southwest Airlines Co.","Baltimore, MD: Baltimore/Washington International Thurgood Marshall","CANCELLED",5
"31",9,"Spirit Air Lines","Baltimore, MD: Baltimore/Washington International Thurgood Marshall","CANCELLED",2
"32",9,"United Air Lines Inc.","Baltimore, MD: Baltimore/Washington International Thurgood Marshall","CANCELLED",2
"33",9,"ExpressJet Airlines Inc.","Bangor, ME: Bangor International","CANCELLED",1
"34",9,"Alaska Airlines Inc.","Barrow, AK: Wiley Post/Will Rogers Memorial","CANCELLED",4
"35",9,"ExpressJet Airlines Inc.","Baton Rouge, LA: Baton Rouge Metropolitan/Ryan Field","CANCELLED",2
"36",9,"Alaska Airlines Inc.","Bethel, AK: Bethel Airport","CANCELLED",3
"37",9,"ExpressJet Airlines Inc.","Birmingham, AL: Birmingham-Shuttlesworth International","CANCELLED",2
"38",9,"Southwest Airlines Co.","Birmingham, AL: Birmingham-Shuttlesworth International","CANCELLED",1
"39",9,"American Airlines Inc.","Boise, ID: Boise Air Terminal","CANCELLED",2
"40",9,"Delta Air Lines Inc.","Boise, ID: Boise Air Terminal","CANCELLED",1
"41",9,"Alaska Airlines Inc.","Boston, MA: Logan International","CANCELLED",2
"42",9,"American Airlines Inc.","Boston, MA: Logan International","CANCELLED",24
"43",9,"ExpressJet Airlines Inc.","Boston, MA: Logan International","CANCELLED",1
"44",9,"JetBlue Airways","Boston, MA: Logan International","CANCELLED",11
"45",9,"Southwest Airlines Co.","Boston, MA: Logan International","CANCELLED",2
"46",9,"Spirit Air Lines","Boston, MA: Logan International","CANCELLED",3
"47",9,"United Air Lines Inc.","Boston, MA: Logan International","CANCELLED",8
"48",9,"United Air Lines Inc.","Bozeman, MT: Bozeman Yellowstone International","CANCELLED",1
"49",9,"ExpressJet Airlines Inc.","Brunswick, GA: Brunswick Golden Isles","CANCELLED",2
"50",9,"ExpressJet Airlines Inc.","Buffalo, NY: Buffalo Niagara International","CANCELLED",5
"51",9,"JetBlue Airways","Buffalo, NY: Buffalo Niagara International","CANCELLED",2
"52",9,"SkyWest Airlines Inc.","Buffalo, NY: Buffalo Niagara International","CANCELLED",1
"53",9,"Southwest Airlines Co.","Burbank, CA: Bob Hope","CANCELLED",4
"54",9,"American Airlines Inc.","Burlington, VT: Burlington International","CANCELLED",1
"55",9,"ExpressJet Airlines Inc.","Burlington, VT: Burlington International","CANCELLED",7
"56",9,"JetBlue Airways","Burlington, VT: Burlington International","CANCELLED",1
"57",9,"SkyWest Airlines Inc.","Cedar Rapids/Iowa City, IA: The Eastern Iowa","CANCELLED",1
"58",9,"Alaska Airlines Inc.","Charleston, SC: Charleston AFB/International","CANCELLED",1
"59",9,"American Airlines Inc.","Charleston, SC: Charleston AFB/International","CANCELLED",1
"60",9,"ExpressJet Airlines Inc.","Charleston, SC: Charleston AFB/International","CANCELLED",3
"61",9,"JetBlue Airways","Charleston, SC: Charleston AFB/International","CANCELLED",6
"62",9,"SkyWest Airlines Inc.","Charleston, SC: Charleston AFB/International","CANCELLED",1
"63",9,"ExpressJet Airlines Inc.","Charleston/Dunbar, WV: Yeager","CANCELLED",2
"64",9,"American Airlines Inc.","Charlotte, NC: Charlotte Douglas International","CANCELLED",22
