"","MONTH","NAME_AIRLINE","NAME_AIRPORT","COUNT","data_deptimeblk_mean$MEAN"
"1",3,"SkyWest Airlines Inc.","Aberdeen, SD: Aberdeen Regional",1538,26.0677966101695
"2",3,"Alaska Airlines Inc.","Adak Island, AK: Adak",97,13.8571428571429
"3",3,"JetBlue Airways","Aguadilla, PR: Rafael Hernandez",449,7.24193548387097
"4",3,"Spirit Air Lines","Aguadilla, PR: Rafael Hernandez",218,10.3809523809524
"5",3,"United Air Lines Inc.","Aguadilla, PR: Rafael Hernandez",284,9.16129032258065
"6",3,"Delta Air Lines Inc.","Akron, OH: Akron-Canton Regional",511,4.33050847457627
"7",3,"ExpressJet Airlines Inc.","Akron, OH: Akron-Canton Regional",1275,7.63473053892216
"8",3,"SkyWest Airlines Inc.","Akron, OH: Akron-Canton Regional",236,9.07692307692308
"9",3,"Southwest Airlines Co.","Akron, OH: Akron-Canton Regional",1918,8.52444444444444
"10",3,"ExpressJet Airlines Inc.","Albany, GA: Southwest Georgia Regional",760,8.53932584269663
"11",3,"American Airlines Inc.","Albany, NY: Albany International",322,3.61797752808989
"12",3,"Delta Air Lines Inc.","Albany, NY: Albany International",1499,12.7033898305085
"13",3,"ExpressJet Airlines Inc.","Albany, NY: Albany International",897,14.95
"14",3,"JetBlue Airways","Albany, NY: Albany International",1120,18.0645161290323
"15",3,"SkyWest Airlines Inc.","Albany, NY: Albany International",20,2.5
"16",3,"Southwest Airlines Co.","Albany, NY: Albany International",3156,7.20547945205479
"17",3,"United Air Lines Inc.","Albany, NY: Albany International",141,2.43103448275862
"18",3,"Alaska Airlines Inc.","Albuquerque, NM: Albuquerque International Sunport",172,5.54838709677419
"19",3,"American Airlines Inc.","Albuquerque, NM: Albuquerque International Sunport",1746,11.5629139072848
"20",3,"Delta Air Lines Inc.","Albuquerque, NM: Albuquerque International Sunport",121,1.72857142857143
"21",3,"ExpressJet Airlines Inc.","Albuquerque, NM: Albuquerque International Sunport",169,15.3636363636364
"22",3,"JetBlue Airways","Albuquerque, NM: Albuquerque International Sunport",461,17.7307692307692
"23",3,"SkyWest Airlines Inc.","Albuquerque, NM: Albuquerque International Sunport",1744,9.74301675977654
"24",3,"Southwest Airlines Co.","Albuquerque, NM: Albuquerque International Sunport",8374,8.93703308431163
"25",3,"United Air Lines Inc.","Albuquerque, NM: Albuquerque International Sunport",1027,14.8840579710145
"26",3,"ExpressJet Airlines Inc.","Alexandria, LA: Alexandria International",2285,10.5787037037037
"27",3,"Delta Air Lines Inc.","Allentown/Bethlehem/Easton, PA: Lehigh Valley International",232,7.73333333333333
"28",3,"ExpressJet Airlines Inc.","Allentown/Bethlehem/Easton, PA: Lehigh Valley International",1239,9.11029411764706
"29",3,"SkyWest Airlines Inc.","Alpena, MI: Alpena County Regional",286,5.83673469387755
"30",3,"ExpressJet Airlines Inc.","Amarillo, TX: Rick Husband Amarillo International",988,11.1011235955056
"31",3,"SkyWest Airlines Inc.","Amarillo, TX: Rick Husband Amarillo International",10,0.714285714285714
"32",3,"Southwest Airlines Co.","Amarillo, TX: Rick Husband Amarillo International",887,5.95302013422819
"33",3,"Alaska Airlines Inc.","Anchorage, AK: Ted Stevens Anchorage International",3641,3.66666666666667
"34",3,"American Airlines Inc.","Anchorage, AK: Ted Stevens Anchorage International",559,18.0322580645161
