"","MONTH","NAME_AIRLINE","NAME_AIRPORT","COUNT","data_arrtimeblk_mean$MEAN"
"1",6,"SkyWest Airlines Inc.","Aberdeen, SD: Aberdeen Regional",138,2.3
"2",6,"ExpressJet Airlines Inc.","Abilene, TX: Abilene Regional",234,58.5
"3",6,"Alaska Airlines Inc.","Adak Island, AK: Adak",88,9.77777777777778
"4",6,"JetBlue Airways","Aguadilla, PR: Rafael Hernandez",1325,9.88805970149254
"5",6,"Spirit Air Lines","Aguadilla, PR: Rafael Hernandez",417,19.8571428571429
"6",6,"United Air Lines Inc.","Aguadilla, PR: Rafael Hernandez",460,15.8620689655172
"7",6,"Delta Air Lines Inc.","Akron, OH: Akron-Canton Regional",696,6
"8",6,"ExpressJet Airlines Inc.","Akron, OH: Akron-Canton Regional",2627,12.2186046511628
"9",6,"Southwest Airlines Co.","Akron, OH: Akron-Canton Regional",1373,15.6022727272727
"10",6,"ExpressJet Airlines Inc.","Albany, GA: Southwest Georgia Regional",967,11.3764705882353
"11",6,"American Airlines Inc.","Albany, NY: Albany International",791,9.41666666666667
"12",6,"Delta Air Lines Inc.","Albany, NY: Albany International",613,5.37719298245614
"13",6,"ExpressJet Airlines Inc.","Albany, NY: Albany International",1395,19.6478873239437
"14",6,"JetBlue Airways","Albany, NY: Albany International",1225,20.4166666666667
"15",6,"SkyWest Airlines Inc.","Albany, NY: Albany International",684,11.5932203389831
"16",6,"Southwest Airlines Co.","Albany, NY: Albany International",3562,9.92200557103064
"17",6,"United Air Lines Inc.","Albany, NY: Albany International",705,11.9491525423729
"18",6,"Alaska Airlines Inc.","Albuquerque, NM: Albuquerque International Sunport",155,5.16666666666667
"19",6,"American Airlines Inc.","Albuquerque, NM: Albuquerque International Sunport",2972,21.0780141843972
"20",6,"Delta Air Lines Inc.","Albuquerque, NM: Albuquerque International Sunport",1519,10.3333333333333
"21",6,"ExpressJet Airlines Inc.","Albuquerque, NM: Albuquerque International Sunport",1386,38.5
"22",6,"JetBlue Airways","Albuquerque, NM: Albuquerque International Sunport",468,15.6
"23",6,"SkyWest Airlines Inc.","Albuquerque, NM: Albuquerque International Sunport",1379,7.97109826589595
"24",6,"Southwest Airlines Co.","Albuquerque, NM: Albuquerque International Sunport",18946,18.9839679358717
"25",6,"United Air Lines Inc.","Albuquerque, NM: Albuquerque International Sunport",1186,19.7666666666667
"26",6,"ExpressJet Airlines Inc.","Alexandria, LA: Alexandria International",3487,13.948
"27",6,"Delta Air Lines Inc.","Allentown/Bethlehem/Easton, PA: Lehigh Valley International",33,1.1
"28",6,"ExpressJet Airlines Inc.","Allentown/Bethlehem/Easton, PA: Lehigh Valley International",2691,20.3863636363636
"29",6,"SkyWest Airlines Inc.","Allentown/Bethlehem/Easton, PA: Lehigh Valley International",496,6.61333333333333
"30",6,"SkyWest Airlines Inc.","Alpena, MI: Alpena County Regional",325,6.25
"31",6,"ExpressJet Airlines Inc.","Amarillo, TX: Rick Husband Amarillo International",991,14.3623188405797
"32",6,"SkyWest Airlines Inc.","Amarillo, TX: Rick Husband Amarillo International",61,1.45238095238095
"33",6,"Southwest Airlines Co.","Amarillo, TX: Rick Husband Amarillo International",2841,21.2014925373134
