"","MONTH","NAME_AIRLINE","NAME_AIRPORT","COUNT","data_arrtimeblk_mean$MEAN"
"1",11,"SkyWest Airlines Inc.","Aberdeen, SD: Aberdeen Regional",713,11.140625
"2",11,"ExpressJet Airlines Inc.","Abilene, TX: Abilene Regional",118,5.1304347826087
"3",11,"Alaska Airlines Inc.","Adak Island, AK: Adak",89,11.125
"4",11,"JetBlue Airways","Aguadilla, PR: Rafael Hernandez",306,3.32608695652174
"5",11,"Spirit Air Lines","Aguadilla, PR: Rafael Hernandez",217,9.86363636363636
"6",11,"United Air Lines Inc.","Aguadilla, PR: Rafael Hernandez",718,23.9333333333333
"7",11,"Delta Air Lines Inc.","Akron, OH: Akron-Canton Regional",261,2.28947368421053
"8",11,"ExpressJet Airlines Inc.","Akron, OH: Akron-Canton Regional",1320,13.469387755102
"9",11,"SkyWest Airlines Inc.","Akron, OH: Akron-Canton Regional",457,11.7179487179487
"10",11,"Southwest Airlines Co.","Akron, OH: Akron-Canton Regional",563,6.18681318681319
"11",11,"Spirit Air Lines","Akron, OH: Akron-Canton Regional",93,1.5
"12",11,"ExpressJet Airlines Inc.","Albany, GA: Southwest Georgia Regional",778,9.84810126582278
"13",11,"American Airlines Inc.","Albany, NY: Albany International",255,3.14814814814815
"14",11,"Delta Air Lines Inc.","Albany, NY: Albany International",574,4.28358208955224
"15",11,"ExpressJet Airlines Inc.","Albany, NY: Albany International",497,19.88
"16",11,"JetBlue Airways","Albany, NY: Albany International",33,0.55
"17",11,"SkyWest Airlines Inc.","Albany, NY: Albany International",1685,27.1774193548387
"18",11,"Southwest Airlines Co.","Albany, NY: Albany International",731,2.06497175141243
"19",11,"United Air Lines Inc.","Albany, NY: Albany International",772,14.5660377358491
"20",11,"Alaska Airlines Inc.","Albuquerque, NM: Albuquerque International Sunport",92,3.06666666666667
"21",11,"American Airlines Inc.","Albuquerque, NM: Albuquerque International Sunport",1831,13.9770992366412
"22",11,"Delta Air Lines Inc.","Albuquerque, NM: Albuquerque International Sunport",376,2.68571428571429
"23",11,"ExpressJet Airlines Inc.","Albuquerque, NM: Albuquerque International Sunport",34,1.21428571428571
"24",11,"JetBlue Airways","Albuquerque, NM: Albuquerque International Sunport",446,17.84
"25",11,"SkyWest Airlines Inc.","Albuquerque, NM: Albuquerque International Sunport",2122,11.9213483146067
"26",11,"Southwest Airlines Co.","Albuquerque, NM: Albuquerque International Sunport",6364,6.62916666666667
"27",11,"United Air Lines Inc.","Albuquerque, NM: Albuquerque International Sunport",443,4.14018691588785
"28",11,"ExpressJet Airlines Inc.","Alexandria, LA: Alexandria International",3792,14.6409266409266
"29",11,"Delta Air Lines Inc.","Allentown/Bethlehem/Easton, PA: Lehigh Valley International",7,0.233333333333333
"30",11,"ExpressJet Airlines Inc.","Allentown/Bethlehem/Easton, PA: Lehigh Valley International",1831,17.6057692307692
"31",11,"SkyWest Airlines Inc.","Allentown/Bethlehem/Easton, PA: Lehigh Valley International",1221,20.6949152542373
"32",11,"SkyWest Airlines Inc.","Alpena, MI: Alpena County Regional",258,4.86792452830189
"33",11,"American Airlines Inc.","Amarillo, TX: Rick Husband Amarillo International",348,10.5454545454545
"34",11,"ExpressJet Airlines Inc.","Amarillo, TX: Rick Husband Amarillo International",196,2.39024390243902
"35",11,"SkyWest Airlines Inc.","Amarillo, TX: Rick Husband Amarillo International",22,3.66666666666667
"36",11,"Southwest Airlines Co.","Amarillo, TX: Rick Husband Amarillo International",555,3.88111888111888
"37",11,"Alaska Airlines Inc.","Anchorage, AK: Ted Stevens Anchorage International",5067,5.22371134020619
"38",11,"Delta Air Lines Inc.","Anchorage, AK: Ted Stevens Anchorage International",304,2.71428571428571
"39",11,"United Air Lines Inc.","Anchorage, AK: Ted Stevens Anchorage International",194,6.46666666666667
"40",11,"Delta Air Lines Inc.","Appleton, WI: Appleton International",940,17.4074074074074
"41",11,"ExpressJet Airlines Inc.","Appleton, WI: Appleton International",1257,11.1238938053097
"42",11,"SkyWest Airlines Inc.","Appleton, WI: Appleton International",1280,10.0787401574803
"43",11,"SkyWest Airlines Inc.","Arcata/Eureka, CA: Arcata",1729,14.7777777777778
"44",11,"Delta Air Lines Inc.","Asheville, NC: Asheville Regional",149,1.81707317073171
"45",11,"ExpressJet Airlines Inc.","Asheville, NC: Asheville Regional",3771,27.9333333333333
"46",11,"SkyWest Airlines Inc.","Asheville, NC: Asheville Regional",172,4
"47",11,"SkyWest Airlines Inc.","Aspen, CO: Aspen Pitkin County Sardy Field",1344,11.2
"48",11,"Alaska Airlines Inc.","Atlanta, GA: Hartsfield-Jackson Atlanta International",163,2.96363636363636
"49",11,"American Airlines Inc.","Atlanta, GA: Hartsfield-Jackson Atlanta International",8612,8.01116279069768
"50",11,"Delta Air Lines Inc.","Atlanta, GA: Hartsfield-Jackson Atlanta International",82840,4.06576687116564
"51",11,"ExpressJet Airlines Inc.","Atlanta, GA: Hartsfield-Jackson Atlanta International",43948,10.4092846991947
"52",11,"Frontier Airlines Inc.","Atlanta, GA: Hartsfield-Jackson Atlanta International",2040,8.09523809523809
"53",11,"SkyWest Airlines Inc.","Atlanta, GA: Hartsfield-Jackson Atlanta International",4884,11.411214953271
"54",11,"Southwest Airlines Co.","Atlanta, GA: Hartsfield-Jackson Atlanta International",21525,6.19602763385147
"55",11,"Spirit Air Lines","Atlanta, GA: Hartsfield-Jackson Atlanta International",5511,9.60104529616725
"56",11,"United Air Lines Inc.","Atlanta, GA: Hartsfield-Jackson Atlanta International",3872,8.56637168141593
"57",11,"Spirit Air Lines","Atlantic City, NJ: Atlantic City International",2019,7.18505338078292
"58",11,"Delta Air Lines Inc.","Augusta, GA: Augusta Regional at Bush Field",208,2.47619047619048
"59",11,"ExpressJet Airlines Inc.","Augusta, GA: Augusta Regional at Bush Field",1259,10.1532258064516
"60",11,"Alaska Airlines Inc.","Austin, TX: Austin - Bergstrom International",114,2.375
"61",11,"American Airlines Inc.","Austin, TX: Austin - Bergstrom International",5916,7.82539682539683
"62",11,"Delta Air Lines Inc.","Austin, TX: Austin - Bergstrom International",1385,3.65435356200528
"63",11,"ExpressJet Airlines Inc.","Austin, TX: Austin - Bergstrom International",96,4.57142857142857
"64",11,"Frontier Airlines Inc.","Austin, TX: Austin - Bergstrom International",594,7.71428571428571
"65",11,"JetBlue Airways","Austin, TX: Austin - Bergstrom International",1849,10.9408284023669
"66",11,"SkyWest Airlines Inc.","Austin, TX: Austin - Bergstrom International",3857,17.2959641255605
"67",11,"Southwest Airlines Co.","Austin, TX: Austin - Bergstrom International",15783,9.28411764705882
"68",11,"United Air Lines Inc.","Austin, TX: Austin - Bergstrom International",4335,10.6773399014778
"69",11,"Virgin America","Austin, TX: Austin - Bergstrom International",268,4.78571428571429
"70",11,"SkyWest Airlines Inc.","Bakersfield, CA: Meadows Field",2188,10.94
"71",11,"Alaska Airlines Inc.","Baltimore, MD: Baltimore/Washington International Thurgood Marshall",184,3.06666666666667
"72",11,"American Airlines Inc.","Baltimore, MD: Baltimore/Washington International Thurgood Marshall",3225,7.10352422907489
"73",11,"Delta Air Lines Inc.","Baltimore, MD: Baltimore/Washington International Thurgood Marshall",2924,5.06759098786828
"74",11,"ExpressJet Airlines Inc.","Baltimore, MD: Baltimore/Washington International Thurgood Marshall",99,12.375
"75",11,"JetBlue Airways","Baltimore, MD: Baltimore/Washington International Thurgood Marshall",1423,5.8801652892562
"76",11,"SkyWest Airlines Inc.","Baltimore, MD: Baltimore/Washington International Thurgood Marshall",1111,13.8875
"77",11,"Southwest Airlines Co.","Baltimore, MD: Baltimore/Washington International Thurgood Marshall",26480,4.44369860714885
"78",11,"Spirit Air Lines","Baltimore, MD: Baltimore/Washington International Thurgood Marshall",2688,5.69491525423729
"79",11,"United Air Lines Inc.","Baltimore, MD: Baltimore/Washington International Thurgood Marshall",2024,7.78461538461538
"80",11,"Delta Air Lines Inc.","Bangor, ME: Bangor International",0,0
"81",11,"ExpressJet Airlines Inc.","Bangor, ME: Bangor International",433,17.32
"82",11,"Alaska Airlines Inc.","Barrow, AK: Wiley Post/Will Rogers Memorial",374,4.92105263157895
"83",11,"Delta Air Lines Inc.","Baton Rouge, LA: Baton Rouge Metropolitan/Ryan Field",382,7.34615384615385
"84",11,"ExpressJet Airlines Inc.","Baton Rouge, LA: Baton Rouge Metropolitan/Ryan Field",7944,16.6890756302521
"85",11,"SkyWest Airlines Inc.","Baton Rouge, LA: Baton Rouge Metropolitan/Ryan Field",0,0
"86",11,"ExpressJet Airlines Inc.","Beaumont/Port Arthur, TX: Jack Brooks Regional",0,0
"87",11,"Alaska Airlines Inc.","Bellingham, WA: Bellingham International",309,5.15
"88",11,"SkyWest Airlines Inc.","Bemidji, MN: Bemidji Regional",687,11.8448275862069
"89",11,"SkyWest Airlines Inc.","Bend/Redmond, OR: Roberts Field",2669,10.3449612403101
"90",11,"Alaska Airlines Inc.","Bethel, AK: Bethel Airport",271,3.47435897435897
"91",11,"Delta Air Lines Inc.","Billings, MT: Billings Logan International",186,2.16279069767442
"92",11,"SkyWest Airlines Inc.","Billings, MT: Billings Logan International",491,3.8062015503876
"93",11,"United Air Lines Inc.","Billings, MT: Billings Logan International",474,7.9
"94",11,"SkyWest Airlines Inc.","Binghamton, NY: Greater Binghamton/Edwin A. Link Field",1658,31.2830188679245
"95",11,"Delta Air Lines Inc.","Birmingham, AL: Birmingham-Shuttlesworth International",1278,4.45296167247387
