"","MONTH","NAME_AIRLINE","NAME_AIRPORT","COUNT","data_deptimeblk_mean$MEAN"
"1",2,"SkyWest Airlines Inc.","Aberdeen, SD: Aberdeen Regional",359,6.41071428571429
"2",2,"Alaska Airlines Inc.","Adak Island, AK: Adak",26,3.71428571428571
"3",2,"JetBlue Airways","Aguadilla, PR: Rafael Hernandez",1002,15.1818181818182
"4",2,"Spirit Air Lines","Aguadilla, PR: Rafael Hernandez",432,21.6
"5",2,"United Air Lines Inc.","Aguadilla, PR: Rafael Hernandez",470,16.7857142857143
"6",2,"Delta Air Lines Inc.","Akron, OH: Akron-Canton Regional",2829,25.7181818181818
"7",2,"ExpressJet Airlines Inc.","Akron, OH: Akron-Canton Regional",2472,13.5824175824176
"8",2,"Southwest Airlines Co.","Akron, OH: Akron-Canton Regional",1239,6.13366336633663
"9",2,"ExpressJet Airlines Inc.","Albany, GA: Southwest Georgia Regional",1323,16.9615384615385
"10",2,"American Airlines Inc.","Albany, NY: Albany International",881,11.5921052631579
"11",2,"Delta Air Lines Inc.","Albany, NY: Albany International",589,7.09638554216868
"12",2,"ExpressJet Airlines Inc.","Albany, NY: Albany International",324,13.5
"13",2,"JetBlue Airways","Albany, NY: Albany International",834,14.3793103448276
"14",2,"SkyWest Airlines Inc.","Albany, NY: Albany International",207,8.625
"15",2,"Southwest Airlines Co.","Albany, NY: Albany International",1561,4.47277936962751
"16",2,"United Air Lines Inc.","Albany, NY: Albany International",645,12.4038461538462
"17",2,"Alaska Airlines Inc.","Albuquerque, NM: Albuquerque International Sunport",210,7.24137931034483
"18",2,"American Airlines Inc.","Albuquerque, NM: Albuquerque International Sunport",739,5.24113475177305
"19",2,"Delta Air Lines Inc.","Albuquerque, NM: Albuquerque International Sunport",255,4.11290322580645
"20",2,"ExpressJet Airlines Inc.","Albuquerque, NM: Albuquerque International Sunport",35,2.33333333333333
"21",2,"JetBlue Airways","Albuquerque, NM: Albuquerque International Sunport",517,32.3125
"22",2,"SkyWest Airlines Inc.","Albuquerque, NM: Albuquerque International Sunport",702,4.3875
"23",2,"Southwest Airlines Co.","Albuquerque, NM: Albuquerque International Sunport",5378,6.29742388758782
"24",2,"United Air Lines Inc.","Albuquerque, NM: Albuquerque International Sunport",185,3.30357142857143
"25",2,"ExpressJet Airlines Inc.","Alexandria, LA: Alexandria International",3942,19.0434782608696
"26",2,"Delta Air Lines Inc.","Allentown/Bethlehem/Easton, PA: Lehigh Valley International",586,20.2068965517241
"27",2,"ExpressJet Airlines Inc.","Allentown/Bethlehem/Easton, PA: Lehigh Valley International",2502,19.3953488372093
"28",2,"SkyWest Airlines Inc.","Alpena, MI: Alpena County Regional",986,20.9787234042553
"29",2,"ExpressJet Airlines Inc.","Amarillo, TX: Rick Husband Amarillo International",463,6.25675675675676
"30",2,"SkyWest Airlines Inc.","Amarillo, TX: Rick Husband Amarillo International",282,20.1428571428571
"31",2,"Southwest Airlines Co.","Amarillo, TX: Rick Husband Amarillo International",211,1.55147058823529
"32",2,"Alaska Airlines Inc.","Anchorage, AK: Ted Stevens Anchorage International",3637,3.83649789029536
"33",2,"American Airlines Inc.","Anchorage, AK: Ted Stevens Anchorage International",167,5.96428571428571
"34",2,"Delta Air Lines Inc.","Anchorage, AK: Ted Stevens Anchorage International",196,1.90291262135922
"35",2,"United Air Lines Inc.","Anchorage, AK: Ted Stevens Anchorage International",397,13.6896551724138
"36",2,"Delta Air Lines Inc.","Appleton, WI: Appleton International",305,6.35416666666667
