"","MONTH","NAME_AIRLINE","NAME_AIRPORT","FLIGHT_STATE","NFLIGHTS"
"1",11,"SkyWest Airlines Inc.","Aberdeen, SD: Aberdeen Regional","CANCELLED",1
"2",11,"ExpressJet Airlines Inc.","Abilene, TX: Abilene Regional","CANCELLED",2
"3",11,"ExpressJet Airlines Inc.","Akron, OH: Akron-Canton Regional","CANCELLED",6
"4",11,"American Airlines Inc.","Albany, NY: Albany International","CANCELLED",1
"5",11,"Southwest Airlines Co.","Albany, NY: Albany International","CANCELLED",2
"6",11,"United Air Lines Inc.","Albany, NY: Albany International","CANCELLED",1
"7",11,"Southwest Airlines Co.","Albuquerque, NM: Albuquerque International Sunport","CANCELLED",3
"8",11,"United Air Lines Inc.","Albuquerque, NM: Albuquerque International Sunport","CANCELLED",1
"9",11,"ExpressJet Airlines Inc.","Allentown/Bethlehem/Easton, PA: Lehigh Valley International","CANCELLED",2
"10",11,"ExpressJet Airlines Inc.","Amarillo, TX: Rick Husband Amarillo International","CANCELLED",1
"11",11,"ExpressJet Airlines Inc.","Appleton, WI: Appleton International","CANCELLED",2
"12",11,"SkyWest Airlines Inc.","Appleton, WI: Appleton International","CANCELLED",2
"13",11,"SkyWest Airlines Inc.","Arcata/Eureka, CA: Arcata","CANCELLED",2
"14",11,"ExpressJet Airlines Inc.","Asheville, NC: Asheville Regional","CANCELLED",1
"15",11,"SkyWest Airlines Inc.","Aspen, CO: Aspen Pitkin County Sardy Field","CANCELLED",4
"16",11,"American Airlines Inc.","Atlanta, GA: Hartsfield-Jackson Atlanta International","CANCELLED",1
"17",11,"ExpressJet Airlines Inc.","Atlanta, GA: Hartsfield-Jackson Atlanta International","CANCELLED",5
"18",11,"SkyWest Airlines Inc.","Atlanta, GA: Hartsfield-Jackson Atlanta International","CANCELLED",1
"19",11,"Southwest Airlines Co.","Atlanta, GA: Hartsfield-Jackson Atlanta International","CANCELLED",4
"20",11,"Spirit Air Lines","Atlanta, GA: Hartsfield-Jackson Atlanta International","CANCELLED",1
"21",11,"Spirit Air Lines","Atlantic City, NJ: Atlantic City International","CANCELLED",1
"22",11,"JetBlue Airways","Austin, TX: Austin - Bergstrom International","CANCELLED",1
"23",11,"SkyWest Airlines Inc.","Austin, TX: Austin - Bergstrom International","CANCELLED",2
"24",11,"Southwest Airlines Co.","Austin, TX: Austin - Bergstrom International","CANCELLED",1
"25",11,"SkyWest Airlines Inc.","Bakersfield, CA: Meadows Field","CANCELLED",2
"26",11,"American Airlines Inc.","Baltimore, MD: Baltimore/Washington International Thurgood Marshall","CANCELLED",1
"27",11,"Southwest Airlines Co.","Baltimore, MD: Baltimore/Washington International Thurgood Marshall","CANCELLED",6
"28",11,"Spirit Air Lines","Baltimore, MD: Baltimore/Washington International Thurgood Marshall","CANCELLED",1
"29",11,"ExpressJet Airlines Inc.","Baton Rouge, LA: Baton Rouge Metropolitan/Ryan Field","CANCELLED",2
"30",11,"SkyWest Airlines Inc.","Bemidji, MN: Bemidji Regional","CANCELLED",1
