"","DAY_OF_WEEK","NAME_AIRLINE","NAME_AIRPORT","COUNT","data_deptimeblk_mean$MEAN"
"1",2,"SkyWest Airlines Inc.","Aberdeen, SD: Aberdeen Regional",1873,18.1844660194175
"2",2,"ExpressJet Airlines Inc.","Abilene, TX: Abilene Regional",170,8.5
"3",2,"JetBlue Airways","Aguadilla, PR: Rafael Hernandez",1776,10.2068965517241
"4",2,"Spirit Air Lines","Aguadilla, PR: Rafael Hernandez",843,16.86
"5",2,"United Air Lines Inc.","Aguadilla, PR: Rafael Hernandez",1308,25.6470588235294
"6",2,"Delta Air Lines Inc.","Akron, OH: Akron-Canton Regional",1719,8.50990099009901
"7",2,"ExpressJet Airlines Inc.","Akron, OH: Akron-Canton Regional",5294,17.7651006711409
"8",2,"SkyWest Airlines Inc.","Akron, OH: Akron-Canton Regional",443,9.84444444444444
"9",2,"Southwest Airlines Co.","Akron, OH: Akron-Canton Regional",2288,10.7924528301887
"10",2,"Spirit Air Lines","Akron, OH: Akron-Canton Regional",509,24.2380952380952
"11",2,"ExpressJet Airlines Inc.","Albany, GA: Southwest Georgia Regional",1831,12.2885906040268
"12",2,"American Airlines Inc.","Albany, NY: Albany International",1172,8.31205673758865
"13",2,"Delta Air Lines Inc.","Albany, NY: Albany International",1885,9.33168316831683
"14",2,"ExpressJet Airlines Inc.","Albany, NY: Albany International",719,9.10126582278481
"15",2,"JetBlue Airways","Albany, NY: Albany International",1819,17.4903846153846
"16",2,"SkyWest Airlines Inc.","Albany, NY: Albany International",1016,16.3870967741935
"17",2,"Southwest Airlines Co.","Albany, NY: Albany International",3272,5.21850079744817
"18",2,"United Air Lines Inc.","Albany, NY: Albany International",1044,8.84745762711864
"19",2,"Alaska Airlines Inc.","Albuquerque, NM: Albuquerque International Sunport",183,3.51923076923077
"20",2,"American Airlines Inc.","Albuquerque, NM: Albuquerque International Sunport",3735,14.6470588235294
"21",2,"Delta Air Lines Inc.","Albuquerque, NM: Albuquerque International Sunport",916,4.60301507537688
"22",2,"ExpressJet Airlines Inc.","Albuquerque, NM: Albuquerque International Sunport",1498,38.4102564102564
"23",2,"JetBlue Airways","Albuquerque, NM: Albuquerque International Sunport",969,25.5
"24",2,"SkyWest Airlines Inc.","Albuquerque, NM: Albuquerque International Sunport",2105,6.51702786377709
"25",2,"Southwest Airlines Co.","Albuquerque, NM: Albuquerque International Sunport",15967,9.1922855497985
"26",2,"United Air Lines Inc.","Albuquerque, NM: Albuquerque International Sunport",1398,10.3555555555556
"27",2,"ExpressJet Airlines Inc.","Alexandria, LA: Alexandria International",4126,10.1625615763547
"28",2,"Delta Air Lines Inc.","Allentown/Bethlehem/Easton, PA: Lehigh Valley International",207,4.14
"29",2,"ExpressJet Airlines Inc.","Allentown/Bethlehem/Easton, PA: Lehigh Valley International",4056,16.7603305785124
"30",2,"SkyWest Airlines Inc.","Allentown/Bethlehem/Easton, PA: Lehigh Valley International",324,4.76470588235294
"31",2,"SkyWest Airlines Inc.","Alpena, MI: Alpena County Regional",1374,13.4705882352941
"32",2,"American Airlines Inc.","Amarillo, TX: Rick Husband Amarillo International",54,3.375
