"","DAY_OF_WEEK","NAME_AIRLINE","NAME_AIRPORT","FLIGHT_STATE","NFLIGHTS"
"65",4,"SkyWest Airlines Inc.","Boise, ID: Boise Air Terminal","CANCELLED",11
"66",4,"Southwest Airlines Co.","Boise, ID: Boise Air Terminal","CANCELLED",6
"67",4,"United Air Lines Inc.","Boise, ID: Boise Air Terminal","CANCELLED",3
"68",4,"American Airlines Inc.","Boston, MA: Logan International","CANCELLED",50
"69",4,"Delta Air Lines Inc.","Boston, MA: Logan International","CANCELLED",5
"70",4,"ExpressJet Airlines Inc.","Boston, MA: Logan International","CANCELLED",2
"71",4,"JetBlue Airways","Boston, MA: Logan International","CANCELLED",25
"72",4,"Southwest Airlines Co.","Boston, MA: Logan International","CANCELLED",10
"73",4,"Spirit Air Lines","Boston, MA: Logan International","CANCELLED",12
"74",4,"United Air Lines Inc.","Boston, MA: Logan International","CANCELLED",17
"75",4,"Delta Air Lines Inc.","Bozeman, MT: Bozeman Yellowstone International","CANCELLED",1
"76",4,"SkyWest Airlines Inc.","Bozeman, MT: Bozeman Yellowstone International","CANCELLED",4
"77",4,"ExpressJet Airlines Inc.","Brownsville, TX: Brownsville South Padre Island International","CANCELLED",9
"78",4,"ExpressJet Airlines Inc.","Brunswick, GA: Brunswick Golden Isles","CANCELLED",1
"79",4,"American Airlines Inc.","Buffalo, NY: Buffalo Niagara International","CANCELLED",2
"80",4,"Delta Air Lines Inc.","Buffalo, NY: Buffalo Niagara International","CANCELLED",1
"81",4,"ExpressJet Airlines Inc.","Buffalo, NY: Buffalo Niagara International","CANCELLED",17
"82",4,"JetBlue Airways","Buffalo, NY: Buffalo Niagara International","CANCELLED",3
"83",4,"Southwest Airlines Co.","Buffalo, NY: Buffalo Niagara International","CANCELLED",12
"84",4,"United Air Lines Inc.","Buffalo, NY: Buffalo Niagara International","CANCELLED",1
"85",4,"Alaska Airlines Inc.","Burbank, CA: Bob Hope","CANCELLED",1
"86",4,"JetBlue Airways","Burbank, CA: Bob Hope","CANCELLED",1
"87",4,"SkyWest Airlines Inc.","Burbank, CA: Bob Hope","CANCELLED",12
"88",4,"Southwest Airlines Co.","Burbank, CA: Bob Hope","CANCELLED",34
"89",4,"ExpressJet Airlines Inc.","Burlington, VT: Burlington International","CANCELLED",13
"90",4,"JetBlue Airways","Burlington, VT: Burlington International","CANCELLED",3
"91",4,"SkyWest Airlines Inc.","Butte, MT: Bert Mooney","CANCELLED",3
"92",4,"SkyWest Airlines Inc.","Casper, WY: Casper/Natrona County International","CANCELLED",3
"93",4,"SkyWest Airlines Inc.","Cedar Rapids/Iowa City, IA: The Eastern Iowa","CANCELLED",6
"94",4,"ExpressJet Airlines Inc.","Charleston, SC: Charleston AFB/International","CANCELLED",13
"95",4,"JetBlue Airways","Charleston, SC: Charleston AFB/International","CANCELLED",6
"96",4,"ExpressJet Airlines Inc.","Charleston/Dunbar, WV: Yeager","CANCELLED",8
"97",4,"American Airlines Inc.","Charlotte Amalie, VI: Cyril E King","CANCELLED",3
"98",4,"JetBlue Airways","Charlotte Amalie, VI: Cyril E King","CANCELLED",1
"99",4,"Spirit Air Lines","Charlotte Amalie, VI: Cyril E King","CANCELLED",1
"100",4,"American Airlines Inc.","Charlotte, NC: Charlotte Douglas International","CANCELLED",83
"101",4,"Delta Air Lines Inc.","Charlotte, NC: Charlotte Douglas International","CANCELLED",3
"102",4,"ExpressJet Airlines Inc.","Charlotte, NC: Charlotte Douglas International","CANCELLED",9
"103",4,"Frontier Airlines Inc.","Charlotte, NC: Charlotte Douglas International","CANCELLED",1
"104",4,"JetBlue Airways","Charlotte, NC: Charlotte Douglas International","CANCELLED",1
"105",4,"SkyWest Airlines Inc.","Charlotte, NC: Charlotte Douglas International","CANCELLED",2
"106",4,"Southwest Airlines Co.","Charlotte, NC: Charlotte Douglas International","CANCELLED",2
"107",4,"ExpressJet Airlines Inc.","Charlottesville, VA: Charlottesville Albemarle","CANCELLED",2
"108",4,"SkyWest Airlines Inc.","Charlottesville, VA: Charlottesville Albemarle","CANCELLED",1
"109",4,"SkyWest Airlines Inc.","Chattanooga, TN: Lovell Field","CANCELLED",1
"110",4,"ExpressJet Airlines Inc.","Chicago, IL: Chicago Midway International","CANCELLED",4
"111",4,"Southwest Airlines Co.","Chicago, IL: Chicago Midway International","CANCELLED",53
"112",4,"Alaska Airlines Inc.","Chicago, IL: Chicago O'Hare International","CANCELLED",1
"113",4,"American Airlines Inc.","Chicago, IL: Chicago O'Hare International","CANCELLED",65
"114",4,"Delta Air Lines Inc.","Chicago, IL: Chicago O'Hare International","CANCELLED",1
"115",4,"ExpressJet Airlines Inc.","Chicago, IL: Chicago O'Hare International","CANCELLED",77
"116",4,"Frontier Airlines Inc.","Chicago, IL: Chicago O'Hare International","CANCELLED",7
"117",4,"JetBlue Airways","Chicago, IL: Chicago O'Hare International","CANCELLED",1
"118",4,"SkyWest Airlines Inc.","Chicago, IL: Chicago O'Hare International","CANCELLED",44
"119",4,"Spirit Air Lines","Chicago, IL: Chicago O'Hare International","CANCELLED",27
"120",4,"United Air Lines Inc.","Chicago, IL: Chicago O'Hare International","CANCELLED",52
"121",4,"American Airlines Inc.","Christiansted, VI: Henry E. Rohlsen","CANCELLED",1
"122",4,"Delta Air Lines Inc.","Cincinnati, OH: Cincinnati/Northern Kentucky International","CANCELLED",2
"123",4,"ExpressJet Airlines Inc.","Cincinnati, OH: Cincinnati/Northern Kentucky International","CANCELLED",11
"124",4,"Frontier Airlines Inc.","Cincinnati, OH: Cincinnati/Northern Kentucky International","CANCELLED",5
"125",4,"SkyWest Airlines Inc.","Cincinnati, OH: Cincinnati/Northern Kentucky International","CANCELLED",10
"126",4,"American Airlines Inc.","Cleveland, OH: Cleveland-Hopkins International","CANCELLED",1
"127",4,"ExpressJet Airlines Inc.","Cleveland, OH: Cleveland-Hopkins International","CANCELLED",39
"128",4,"Frontier Airlines Inc.","Cleveland, OH: Cleveland-Hopkins International","CANCELLED",4
"129",4,"JetBlue Airways","Cleveland, OH: Cleveland-Hopkins International","CANCELLED",1
"130",4,"SkyWest Airlines Inc.","Cleveland, OH: Cleveland-Hopkins International","CANCELLED",1
"131",4,"Southwest Airlines Co.","Cleveland, OH: Cleveland-Hopkins International","CANCELLED",4
"132",4,"Spirit Air Lines","Cleveland, OH: Cleveland-Hopkins International","CANCELLED",5
"133",4,"United Air Lines Inc.","Cleveland, OH: Cleveland-Hopkins International","CANCELLED",3
"134",4,"ExpressJet Airlines Inc.","College Station/Bryan, TX: Easterwood Field","CANCELLED",5
"135",4,"American Airlines Inc.","Colorado Springs, CO: City of Colorado Springs Municipal","CANCELLED",3
"136",4,"ExpressJet Airlines Inc.","Colorado Springs, CO: City of Colorado Springs Municipal","CANCELLED",1
"137",4,"SkyWest Airlines Inc.","Colorado Springs, CO: City of Colorado Springs Municipal","CANCELLED",15
"138",4,"ExpressJet Airlines Inc.","Columbia, SC: Columbia Metropolitan","CANCELLED",5
"139",4,"American Airlines Inc.","Columbus, OH: Port Columbus International","CANCELLED",4
"140",4,"ExpressJet Airlines Inc.","Columbus, OH: Port Columbus International","CANCELLED",15
"141",4,"Frontier Airlines Inc.","Columbus, OH: Port Columbus International","CANCELLED",2
"142",4,"Southwest Airlines Co.","Columbus, OH: Port Columbus International","CANCELLED",8
"143",4,"United Air Lines Inc.","Columbus, OH: Port Columbus International","CANCELLED",2
"144",4,"Alaska Airlines Inc.","Cordova, AK: Merle K Mudhole Smith","CANCELLED",1
"145",4,"ExpressJet Airlines Inc.","Corpus Christi, TX: Corpus Christi International","CANCELLED",8
"146",4,"Southwest Airlines Co.","Corpus Christi, TX: Corpus Christi International","CANCELLED",2
"147",4,"Southwest Airlines Co.","Dallas, TX: Dallas Love Field","CANCELLED",75
"148",4,"Virgin America","Dallas, TX: Dallas Love Field","CANCELLED",4
"149",4,"Alaska Airlines Inc.","Dallas/Fort Worth, TX: Dallas/Fort Worth International","CANCELLED",2
"150",4,"American Airlines Inc.","Dallas/Fort Worth, TX: Dallas/Fort Worth International","CANCELLED",168
"151",4,"Delta Air Lines Inc.","Dallas/Fort Worth, TX: Dallas/Fort Worth International","CANCELLED",1
"152",4,"ExpressJet Airlines Inc.","Dallas/Fort Worth, TX: Dallas/Fort Worth International","CANCELLED",98
"153",4,"Frontier Airlines Inc.","Dallas/Fort Worth, TX: Dallas/Fort Worth International","CANCELLED",2
"154",4,"SkyWest Airlines Inc.","Dallas/Fort Worth, TX: Dallas/Fort Worth International","CANCELLED",7
"155",4,"Spirit Air Lines","Dallas/Fort Worth, TX: Dallas/Fort Worth International","CANCELLED",18
"156",4,"United Air Lines Inc.","Dallas/Fort Worth, TX: Dallas/Fort Worth International","CANCELLED",8
"157",4,"ExpressJet Airlines Inc.","Dayton, OH: James M Cox/Dayton International","CANCELLED",1
"158",4,"SkyWest Airlines Inc.","Dayton, OH: James M Cox/Dayton International","CANCELLED",2
"159",4,"Southwest Airlines Co.","Dayton, OH: James M Cox/Dayton International","CANCELLED",1
"160",4,"JetBlue Airways","Daytona Beach, FL: Daytona Beach International","CANCELLED",1
"161",4,"Alaska Airlines Inc.","Deadhorse, AK: Deadhorse Airport","CANCELLED",1
"162",4,"Alaska Airlines Inc.","Denver, CO: Denver International","CANCELLED",1
"163",4,"American Airlines Inc.","Denver, CO: Denver International","CANCELLED",15
"164",4,"Delta Air Lines Inc.","Denver, CO: Denver International","CANCELLED",6
"165",4,"Frontier Airlines Inc.","Denver, CO: Denver International","CANCELLED",17
"166",4,"SkyWest Airlines Inc.","Denver, CO: Denver International","CANCELLED",155
"167",4,"Southwest Airlines Co.","Denver, CO: Denver International","CANCELLED",151
"168",4,"Spirit Air Lines","Denver, CO: Denver International","CANCELLED",13
"169",4,"United Air Lines Inc.","Denver, CO: Denver International","CANCELLED",42
"170",4,"Virgin America","Denver, CO: Denver International","CANCELLED",3
