"","DAY_OF_WEEK","NAME_AIRLINE","NAME_AIRPORT","COUNT","data_arrtimeblk_mean$MEAN"
"1",5,"SkyWest Airlines Inc.","Aberdeen, SD: Aberdeen Regional",635,5.87962962962963
"2",5,"ExpressJet Airlines Inc.","Abilene, TX: Abilene Regional",276,13.8
"3",5,"JetBlue Airways","Aguadilla, PR: Rafael Hernandez",2005,11.8639053254438
"4",5,"Spirit Air Lines","Aguadilla, PR: Rafael Hernandez",497,26.1578947368421
"5",5,"United Air Lines Inc.","Aguadilla, PR: Rafael Hernandez",869,17.0392156862745
"6",5,"Delta Air Lines Inc.","Akron, OH: Akron-Canton Regional",1056,5.22772277227723
"7",5,"ExpressJet Airlines Inc.","Akron, OH: Akron-Canton Regional",4045,13.9003436426117
"8",5,"SkyWest Airlines Inc.","Akron, OH: Akron-Canton Regional",442,8.03636363636364
"9",5,"Southwest Airlines Co.","Akron, OH: Akron-Canton Regional",2115,9.88317757009346
"10",5,"Spirit Air Lines","Akron, OH: Akron-Canton Regional",113,4.70833333333333
"11",5,"ExpressJet Airlines Inc.","Albany, GA: Southwest Georgia Regional",1707,11.38
"12",5,"American Airlines Inc.","Albany, NY: Albany International",292,1.93377483443709
"13",5,"Delta Air Lines Inc.","Albany, NY: Albany International",2516,12.3333333333333
"14",5,"ExpressJet Airlines Inc.","Albany, NY: Albany International",993,13.7916666666667
"15",5,"JetBlue Airways","Albany, NY: Albany International",1520,14.7572815533981
"16",5,"SkyWest Airlines Inc.","Albany, NY: Albany International",998,14.463768115942
"17",5,"Southwest Airlines Co.","Albany, NY: Albany International",3303,5.23454833597464
"18",5,"United Air Lines Inc.","Albany, NY: Albany International",1432,12.4521739130435
"19",5,"Alaska Airlines Inc.","Albuquerque, NM: Albuquerque International Sunport",424,8.15384615384615
"20",5,"American Airlines Inc.","Albuquerque, NM: Albuquerque International Sunport",4460,18.2040816326531
"21",5,"Delta Air Lines Inc.","Albuquerque, NM: Albuquerque International Sunport",1935,9.5320197044335
"22",5,"ExpressJet Airlines Inc.","Albuquerque, NM: Albuquerque International Sunport",214,4.65217391304348
"23",5,"JetBlue Airways","Albuquerque, NM: Albuquerque International Sunport",776,15.8367346938776
"24",5,"SkyWest Airlines Inc.","Albuquerque, NM: Albuquerque International Sunport",5525,17.374213836478
"25",5,"Southwest Airlines Co.","Albuquerque, NM: Albuquerque International Sunport",23285,13.4284890426759
"26",5,"United Air Lines Inc.","Albuquerque, NM: Albuquerque International Sunport",1799,14.1653543307087
"27",5,"ExpressJet Airlines Inc.","Alexandria, LA: Alexandria International",5880,13.7704918032787
"28",5,"Delta Air Lines Inc.","Allentown/Bethlehem/Easton, PA: Lehigh Valley International",254,5.29166666666667
"29",5,"ExpressJet Airlines Inc.","Allentown/Bethlehem/Easton, PA: Lehigh Valley International",2684,10.7791164658635
"30",5,"SkyWest Airlines Inc.","Allentown/Bethlehem/Easton, PA: Lehigh Valley International",150,2.34375
"31",5,"SkyWest Airlines Inc.","Alpena, MI: Alpena County Regional",1592,15.7623762376238
"32",5,"American Airlines Inc.","Amarillo, TX: Rick Husband Amarillo International",273,17.0625
"33",5,"ExpressJet Airlines Inc.","Amarillo, TX: Rick Husband Amarillo International",947,6.96323529411765
"34",5,"SkyWest Airlines Inc.","Amarillo, TX: Rick Husband Amarillo International",344,8.82051282051282
"35",5,"Southwest Airlines Co.","Amarillo, TX: Rick Husband Amarillo International",1458,5.85542168674699
"36",5,"Alaska Airlines Inc.","Anchorage, AK: Ted Stevens Anchorage International",9714,5.08054393305439
"37",5,"American Airlines Inc.","Anchorage, AK: Ted Stevens Anchorage International",1488,24.8
"38",5,"Delta Air Lines Inc.","Anchorage, AK: Ted Stevens Anchorage International",1567,4.70570570570571
"39",5,"JetBlue Airways","Anchorage, AK: Ted Stevens Anchorage International",323,6.59183673469388
"40",5,"United Air Lines Inc.","Anchorage, AK: Ted Stevens Anchorage International",1392,11.136
"41",5,"Delta Air Lines Inc.","Appleton, WI: Appleton International",1035,10.78125
"42",5,"ExpressJet Airlines Inc.","Appleton, WI: Appleton International",2422,11.7572815533981
"43",5,"SkyWest Airlines Inc.","Appleton, WI: Appleton International",4228,20.8275862068966
"44",5,"SkyWest Airlines Inc.","Arcata/Eureka, CA: Arcata",4990,26.2631578947368
"45",5,"Delta Air Lines Inc.","Asheville, NC: Asheville Regional",793,6.89565217391304
"46",5,"ExpressJet Airlines Inc.","Asheville, NC: Asheville Regional",7184,28.5079365079365
"47",5,"SkyWest Airlines Inc.","Asheville, NC: Asheville Regional",1479,12.5338983050847
"48",5,"SkyWest Airlines Inc.","Aspen, CO: Aspen Pitkin County Sardy Field",12167,20.0775577557756
"49",5,"Alaska Airlines Inc.","Atlanta, GA: Hartsfield-Jackson Atlanta International",708,6.10344827586207
"50",5,"American Airlines Inc.","Atlanta, GA: Hartsfield-Jackson Atlanta International",18584,10.6255002858776
"51",5,"Delta Air Lines Inc.","Atlanta, GA: Hartsfield-Jackson Atlanta International",295467,8.08988856337103
"52",5,"ExpressJet Airlines Inc.","Atlanta, GA: Hartsfield-Jackson Atlanta International",135661,15.7562137049942
