"","DAY_OF_WEEK","NAME_AIRLINE","NAME_AIRPORT","COUNT","data_deptimeblk_mean$MEAN"
"64",7,"American Airlines Inc.","Austin, TX: Austin - Bergstrom International",15334,12.0172413793103
"65",7,"Delta Air Lines Inc.","Austin, TX: Austin - Bergstrom International",5399,9.13536379018612
"66",7,"ExpressJet Airlines Inc.","Austin, TX: Austin - Bergstrom International",245,5.21276595744681
"67",7,"Frontier Airlines Inc.","Austin, TX: Austin - Bergstrom International",1600,11.9402985074627
"68",7,"JetBlue Airways","Austin, TX: Austin - Bergstrom International",5431,17.025078369906
"69",7,"SkyWest Airlines Inc.","Austin, TX: Austin - Bergstrom International",6705,16.8045112781955
"70",7,"Southwest Airlines Co.","Austin, TX: Austin - Bergstrom International",32212,11.6037463976945
"71",7,"United Air Lines Inc.","Austin, TX: Austin - Bergstrom International",6630,12.0545454545455
"72",7,"Virgin America","Austin, TX: Austin - Bergstrom International",2162,24.2921348314607
"73",7,"SkyWest Airlines Inc.","Bakersfield, CA: Meadows Field",3493,10.4580838323353
"74",7,"Alaska Airlines Inc.","Baltimore, MD: Baltimore/Washington International Thurgood Marshall",544,5.49494949494949
"75",7,"American Airlines Inc.","Baltimore, MD: Baltimore/Washington International Thurgood Marshall",5711,7.36903225806452
"76",7,"Delta Air Lines Inc.","Baltimore, MD: Baltimore/Washington International Thurgood Marshall",7678,8.03979057591623
"77",7,"ExpressJet Airlines Inc.","Baltimore, MD: Baltimore/Washington International Thurgood Marshall",770,16.3829787234043
"78",7,"JetBlue Airways","Baltimore, MD: Baltimore/Washington International Thurgood Marshall",4085,11.1612021857923
"79",7,"SkyWest Airlines Inc.","Baltimore, MD: Baltimore/Washington International Thurgood Marshall",207,10.35
"80",7,"Southwest Airlines Co.","Baltimore, MD: Baltimore/Washington International Thurgood Marshall",86378,9.37464727588452
"81",7,"Spirit Air Lines","Baltimore, MD: Baltimore/Washington International Thurgood Marshall",16695,23.2845188284519
"82",7,"United Air Lines Inc.","Baltimore, MD: Baltimore/Washington International Thurgood Marshall",4382,11.1218274111675
"83",7,"Delta Air Lines Inc.","Bangor, ME: Bangor International",15,0.681818181818182
"84",7,"ExpressJet Airlines Inc.","Bangor, ME: Bangor International",538,8.67741935483871
"85",7,"Alaska Airlines Inc.","Barrow, AK: Wiley Post/Will Rogers Memorial",740,7.4
"86",7,"Delta Air Lines Inc.","Baton Rouge, LA: Baton Rouge Metropolitan/Ryan Field",686,12.7037037037037
"87",7,"ExpressJet Airlines Inc.","Baton Rouge, LA: Baton Rouge Metropolitan/Ryan Field",12066,14.3472057074911
"88",7,"SkyWest Airlines Inc.","Baton Rouge, LA: Baton Rouge Metropolitan/Ryan Field",77,2.56666666666667
