"","DAY_OF_WEEK","NAME_AIRLINE","NAME_AIRPORT","FLIGHT_STATE","NFLIGHTS"
"1",7,"Alaska Airlines Inc.","Adak Island, AK: Adak","CANCELLED",1
"2",7,"JetBlue Airways","Aguadilla, PR: Rafael Hernandez","CANCELLED",5
"3",7,"United Air Lines Inc.","Aguadilla, PR: Rafael Hernandez","CANCELLED",2
"4",7,"ExpressJet Airlines Inc.","Akron, OH: Akron-Canton Regional","CANCELLED",16
"5",7,"Southwest Airlines Co.","Akron, OH: Akron-Canton Regional","CANCELLED",1
"6",7,"ExpressJet Airlines Inc.","Albany, NY: Albany International","CANCELLED",3
"7",7,"SkyWest Airlines Inc.","Albany, NY: Albany International","CANCELLED",2
"8",7,"Southwest Airlines Co.","Albany, NY: Albany International","CANCELLED",5
"9",7,"United Air Lines Inc.","Albany, NY: Albany International","CANCELLED",1
"10",7,"American Airlines Inc.","Albuquerque, NM: Albuquerque International Sunport","CANCELLED",7
"11",7,"ExpressJet Airlines Inc.","Albuquerque, NM: Albuquerque International Sunport","CANCELLED",1
"12",7,"SkyWest Airlines Inc.","Albuquerque, NM: Albuquerque International Sunport","CANCELLED",5
"13",7,"Southwest Airlines Co.","Albuquerque, NM: Albuquerque International Sunport","CANCELLED",11
"14",7,"United Air Lines Inc.","Albuquerque, NM: Albuquerque International Sunport","CANCELLED",2
"15",7,"ExpressJet Airlines Inc.","Alexandria, LA: Alexandria International","CANCELLED",13
"16",7,"ExpressJet Airlines Inc.","Allentown/Bethlehem/Easton, PA: Lehigh Valley International","CANCELLED",11
"17",7,"SkyWest Airlines Inc.","Allentown/Bethlehem/Easton, PA: Lehigh Valley International","CANCELLED",1
"18",7,"SkyWest Airlines Inc.","Alpena, MI: Alpena County Regional","CANCELLED",2
"19",7,"Alaska Airlines Inc.","Anchorage, AK: Ted Stevens Anchorage International","CANCELLED",8
"20",7,"American Airlines Inc.","Anchorage, AK: Ted Stevens Anchorage International","CANCELLED",1
"21",7,"ExpressJet Airlines Inc.","Appleton, WI: Appleton International","CANCELLED",6
"22",7,"SkyWest Airlines Inc.","Appleton, WI: Appleton International","CANCELLED",2
"23",7,"SkyWest Airlines Inc.","Arcata/Eureka, CA: Arcata","CANCELLED",8
"24",7,"ExpressJet Airlines Inc.","Asheville, NC: Asheville Regional","CANCELLED",5
"25",7,"SkyWest Airlines Inc.","Asheville, NC: Asheville Regional","CANCELLED",3
"26",7,"SkyWest Airlines Inc.","Aspen, CO: Aspen Pitkin County Sardy Field","CANCELLED",30
"27",7,"American Airlines Inc.","Atlanta, GA: Hartsfield-Jackson Atlanta International","CANCELLED",16
"28",7,"Delta Air Lines Inc.","Atlanta, GA: Hartsfield-Jackson Atlanta International","CANCELLED",59
"29",7,"ExpressJet Airlines Inc.","Atlanta, GA: Hartsfield-Jackson Atlanta International","CANCELLED",54
"30",7,"Frontier Airlines Inc.","Atlanta, GA: Hartsfield-Jackson Atlanta International","CANCELLED",8
"31",7,"SkyWest Airlines Inc.","Atlanta, GA: Hartsfield-Jackson Atlanta International","CANCELLED",13
"32",7,"Southwest Airlines Co.","Atlanta, GA: Hartsfield-Jackson Atlanta International","CANCELLED",41
"33",7,"Spirit Air Lines","Atlanta, GA: Hartsfield-Jackson Atlanta International","CANCELLED",15
"34",7,"United Air Lines Inc.","Atlanta, GA: Hartsfield-Jackson Atlanta International","CANCELLED",7
"35",7,"Spirit Air Lines","Atlantic City, NJ: Atlantic City International","CANCELLED",14
"36",7,"ExpressJet Airlines Inc.","Augusta, GA: Augusta Regional at Bush Field","CANCELLED",2
"37",7,"American Airlines Inc.","Austin, TX: Austin - Bergstrom International","CANCELLED",19
"38",7,"Delta Air Lines Inc.","Austin, TX: Austin - Bergstrom International","CANCELLED",1
"39",7,"Frontier Airlines Inc.","Austin, TX: Austin - Bergstrom International","CANCELLED",2
"40",7,"JetBlue Airways","Austin, TX: Austin - Bergstrom International","CANCELLED",3
"41",7,"SkyWest Airlines Inc.","Austin, TX: Austin - Bergstrom International","CANCELLED",6
"42",7,"Southwest Airlines Co.","Austin, TX: Austin - Bergstrom International","CANCELLED",13
"43",7,"United Air Lines Inc.","Austin, TX: Austin - Bergstrom International","CANCELLED",1
"44",7,"Alaska Airlines Inc.","Baltimore, MD: Baltimore/Washington International Thurgood Marshall","CANCELLED",3
"45",7,"American Airlines Inc.","Baltimore, MD: Baltimore/Washington International Thurgood Marshall","CANCELLED",19
"46",7,"Delta Air Lines Inc.","Baltimore, MD: Baltimore/Washington International Thurgood Marshall","CANCELLED",21
"47",7,"ExpressJet Airlines Inc.","Baltimore, MD: Baltimore/Washington International Thurgood Marshall","CANCELLED",4
"48",7,"JetBlue Airways","Baltimore, MD: Baltimore/Washington International Thurgood Marshall","CANCELLED",7
"49",7,"Southwest Airlines Co.","Baltimore, MD: Baltimore/Washington International Thurgood Marshall","CANCELLED",186
"50",7,"Spirit Air Lines","Baltimore, MD: Baltimore/Washington International Thurgood Marshall","CANCELLED",20
"51",7,"United Air Lines Inc.","Baltimore, MD: Baltimore/Washington International Thurgood Marshall","CANCELLED",11
"52",7,"Alaska Airlines Inc.","Barrow, AK: Wiley Post/Will Rogers Memorial","CANCELLED",1
"53",7,"ExpressJet Airlines Inc.","Baton Rouge, LA: Baton Rouge Metropolitan/Ryan Field","CANCELLED",18
"54",7,"United Air Lines Inc.","Baton Rouge, LA: Baton Rouge Metropolitan/Ryan Field","CANCELLED",1
"55",7,"ExpressJet Airlines Inc.","Beaumont/Port Arthur, TX: Jack Brooks Regional","CANCELLED",1
"56",7,"SkyWest Airlines Inc.","Bemidji, MN: Bemidji Regional","CANCELLED",1
"57",7,"SkyWest Airlines Inc.","Bend/Redmond, OR: Roberts Field","CANCELLED",10
"58",7,"Alaska Airlines Inc.","Bethel, AK: Bethel Airport","CANCELLED",1
"59",7,"SkyWest Airlines Inc.","Binghamton, NY: Greater Binghamton/Edwin A. Link Field","CANCELLED",3
"60",7,"ExpressJet Airlines Inc.","Birmingham, AL: Birmingham-Shuttlesworth International","CANCELLED",13
"61",7,"SkyWest Airlines Inc.","Birmingham, AL: Birmingham-Shuttlesworth International","CANCELLED",5
"62",7,"Southwest Airlines Co.","Birmingham, AL: Birmingham-Shuttlesworth International","CANCELLED",5
"63",7,"Frontier Airlines Inc.","Bismarck/Mandan, ND: Bismarck Municipal","CANCELLED",1
"64",7,"SkyWest Airlines Inc.","Bismarck/Mandan, ND: Bismarck Municipal","CANCELLED",6
"65",7,"ExpressJet Airlines Inc.","Bloomington/Normal, IL: Central Illinois Regional","CANCELLED",1
"66",7,"SkyWest Airlines Inc.","Bloomington/Normal, IL: Central Illinois Regional","CANCELLED",1
"67",7,"American Airlines Inc.","Boise, ID: Boise Air Terminal","CANCELLED",1
"68",7,"SkyWest Airlines Inc.","Boise, ID: Boise Air Terminal","CANCELLED",7
"69",7,"Southwest Airlines Co.","Boise, ID: Boise Air Terminal","CANCELLED",3
"70",7,"American Airlines Inc.","Boston, MA: Logan International","CANCELLED",58
"71",7,"Delta Air Lines Inc.","Boston, MA: Logan International","CANCELLED",14
"72",7,"ExpressJet Airlines Inc.","Boston, MA: Logan International","CANCELLED",7
"73",7,"JetBlue Airways","Boston, MA: Logan International","CANCELLED",58
"74",7,"Southwest Airlines Co.","Boston, MA: Logan International","CANCELLED",14
"75",7,"Spirit Air Lines","Boston, MA: Logan International","CANCELLED",14
"76",7,"United Air Lines Inc.","Boston, MA: Logan International","CANCELLED",14
"77",7,"Virgin America","Boston, MA: Logan International","CANCELLED",1
"78",7,"SkyWest Airlines Inc.","Bozeman, MT: Bozeman Yellowstone International","CANCELLED",1
"79",7,"United Air Lines Inc.","Bozeman, MT: Bozeman Yellowstone International","CANCELLED",1
"80",7,"SkyWest Airlines Inc.","Brainerd, MN: Brainerd Lakes Regional","CANCELLED",1
"81",7,"ExpressJet Airlines Inc.","Bristol/Johnson City/Kingsport, TN: Tri-Cities Regional TN/VA","CANCELLED",2
"82",7,"ExpressJet Airlines Inc.","Brownsville, TX: Brownsville South Padre Island International","CANCELLED",9
"83",7,"ExpressJet Airlines Inc.","Brunswick, GA: Brunswick Golden Isles","CANCELLED",4
"84",7,"Delta Air Lines Inc.","Buffalo, NY: Buffalo Niagara International","CANCELLED",1
"85",7,"ExpressJet Airlines Inc.","Buffalo, NY: Buffalo Niagara International","CANCELLED",12
"86",7,"JetBlue Airways","Buffalo, NY: Buffalo Niagara International","CANCELLED",15
"87",7,"SkyWest Airlines Inc.","Buffalo, NY: Buffalo Niagara International","CANCELLED",3
"88",7,"Southwest Airlines Co.","Buffalo, NY: Buffalo Niagara International","CANCELLED",13
"89",7,"United Air Lines Inc.","Buffalo, NY: Buffalo Niagara International","CANCELLED",1
"90",7,"SkyWest Airlines Inc.","Burbank, CA: Bob Hope","CANCELLED",16
"91",7,"Southwest Airlines Co.","Burbank, CA: Bob Hope","CANCELLED",20
"92",7,"ExpressJet Airlines Inc.","Burlington, VT: Burlington International","CANCELLED",19
"93",7,"JetBlue Airways","Burlington, VT: Burlington International","CANCELLED",6
"94",7,"SkyWest Airlines Inc.","Butte, MT: Bert Mooney","CANCELLED",1
"95",7,"ExpressJet Airlines Inc.","Cedar Rapids/Iowa City, IA: The Eastern Iowa","CANCELLED",1
"96",7,"Frontier Airlines Inc.","Cedar Rapids/Iowa City, IA: The Eastern Iowa","CANCELLED",2
"97",7,"SkyWest Airlines Inc.","Cedar Rapids/Iowa City, IA: The Eastern Iowa","CANCELLED",6
"98",7,"Alaska Airlines Inc.","Charleston, SC: Charleston AFB/International","CANCELLED",1
