"","DAY_OF_WEEK","NAME_AIRLINE","NAME_AIRPORT","FLIGHT_STATE","NFLIGHTS"
"1",6,"SkyWest Airlines Inc.","Aberdeen, SD: Aberdeen Regional","CANCELLED",1
"2",6,"JetBlue Airways","Aguadilla, PR: Rafael Hernandez","CANCELLED",4
"3",6,"Spirit Air Lines","Aguadilla, PR: Rafael Hernandez","CANCELLED",2
"4",6,"United Air Lines Inc.","Aguadilla, PR: Rafael Hernandez","CANCELLED",1
"5",6,"ExpressJet Airlines Inc.","Akron, OH: Akron-Canton Regional","CANCELLED",3
"6",6,"SkyWest Airlines Inc.","Akron, OH: Akron-Canton Regional","CANCELLED",1
"7",6,"Southwest Airlines Co.","Akron, OH: Akron-Canton Regional","CANCELLED",3
"8",6,"Spirit Air Lines","Akron, OH: Akron-Canton Regional","CANCELLED",2
"9",6,"American Airlines Inc.","Albany, NY: Albany International","CANCELLED",2
"10",6,"ExpressJet Airlines Inc.","Albany, NY: Albany International","CANCELLED",3
"11",6,"Southwest Airlines Co.","Albany, NY: Albany International","CANCELLED",9
"12",6,"American Airlines Inc.","Albuquerque, NM: Albuquerque International Sunport","CANCELLED",3
"13",6,"SkyWest Airlines Inc.","Albuquerque, NM: Albuquerque International Sunport","CANCELLED",3
"14",6,"Southwest Airlines Co.","Albuquerque, NM: Albuquerque International Sunport","CANCELLED",8
"15",6,"United Air Lines Inc.","Albuquerque, NM: Albuquerque International Sunport","CANCELLED",3
"16",6,"ExpressJet Airlines Inc.","Alexandria, LA: Alexandria International","CANCELLED",3
"17",6,"Delta Air Lines Inc.","Allentown/Bethlehem/Easton, PA: Lehigh Valley International","CANCELLED",1
"18",6,"ExpressJet Airlines Inc.","Allentown/Bethlehem/Easton, PA: Lehigh Valley International","CANCELLED",2
"19",6,"SkyWest Airlines Inc.","Allentown/Bethlehem/Easton, PA: Lehigh Valley International","CANCELLED",1
"20",6,"ExpressJet Airlines Inc.","Amarillo, TX: Rick Husband Amarillo International","CANCELLED",2
"21",6,"Alaska Airlines Inc.","Anchorage, AK: Ted Stevens Anchorage International","CANCELLED",15
"22",6,"ExpressJet Airlines Inc.","Appleton, WI: Appleton International","CANCELLED",2
"23",6,"SkyWest Airlines Inc.","Appleton, WI: Appleton International","CANCELLED",1
"24",6,"SkyWest Airlines Inc.","Arcata/Eureka, CA: Arcata","CANCELLED",8
"25",6,"Delta Air Lines Inc.","Asheville, NC: Asheville Regional","CANCELLED",2
"26",6,"SkyWest Airlines Inc.","Asheville, NC: Asheville Regional","CANCELLED",3
"27",6,"SkyWest Airlines Inc.","Aspen, CO: Aspen Pitkin County Sardy Field","CANCELLED",42
"28",6,"Alaska Airlines Inc.","Atlanta, GA: Hartsfield-Jackson Atlanta International","CANCELLED",1
"29",6,"American Airlines Inc.","Atlanta, GA: Hartsfield-Jackson Atlanta International","CANCELLED",20
"30",6,"Delta Air Lines Inc.","Atlanta, GA: Hartsfield-Jackson Atlanta International","CANCELLED",110
"31",6,"ExpressJet Airlines Inc.","Atlanta, GA: Hartsfield-Jackson Atlanta International","CANCELLED",37
"32",6,"Frontier Airlines Inc.","Atlanta, GA: Hartsfield-Jackson Atlanta International","CANCELLED",6
"33",6,"SkyWest Airlines Inc.","Atlanta, GA: Hartsfield-Jackson Atlanta International","CANCELLED",5
"34",6,"Southwest Airlines Co.","Atlanta, GA: Hartsfield-Jackson Atlanta International","CANCELLED",50
"35",6,"Spirit Air Lines","Atlanta, GA: Hartsfield-Jackson Atlanta International","CANCELLED",26
"36",6,"United Air Lines Inc.","Atlanta, GA: Hartsfield-Jackson Atlanta International","CANCELLED",4
"37",6,"Spirit Air Lines","Atlantic City, NJ: Atlantic City International","CANCELLED",27
"38",6,"Alaska Airlines Inc.","Austin, TX: Austin - Bergstrom International","CANCELLED",1
"39",6,"American Airlines Inc.","Austin, TX: Austin - Bergstrom International","CANCELLED",16
"40",6,"Delta Air Lines Inc.","Austin, TX: Austin - Bergstrom International","CANCELLED",2
"41",6,"Frontier Airlines Inc.","Austin, TX: Austin - Bergstrom International","CANCELLED",3
"42",6,"JetBlue Airways","Austin, TX: Austin - Bergstrom International","CANCELLED",5
"43",6,"SkyWest Airlines Inc.","Austin, TX: Austin - Bergstrom International","CANCELLED",5
"44",6,"Southwest Airlines Co.","Austin, TX: Austin - Bergstrom International","CANCELLED",20
"45",6,"United Air Lines Inc.","Austin, TX: Austin - Bergstrom International","CANCELLED",8
"46",6,"SkyWest Airlines Inc.","Bakersfield, CA: Meadows Field","CANCELLED",4
"47",6,"Alaska Airlines Inc.","Baltimore, MD: Baltimore/Washington International Thurgood Marshall","CANCELLED",2
"48",6,"American Airlines Inc.","Baltimore, MD: Baltimore/Washington International Thurgood Marshall","CANCELLED",14
"49",6,"Delta Air Lines Inc.","Baltimore, MD: Baltimore/Washington International Thurgood Marshall","CANCELLED",11
"50",6,"ExpressJet Airlines Inc.","Baltimore, MD: Baltimore/Washington International Thurgood Marshall","CANCELLED",2
"51",6,"JetBlue Airways","Baltimore, MD: Baltimore/Washington International Thurgood Marshall","CANCELLED",12
"52",6,"Southwest Airlines Co.","Baltimore, MD: Baltimore/Washington International Thurgood Marshall","CANCELLED",267
"53",6,"Spirit Air Lines","Baltimore, MD: Baltimore/Washington International Thurgood Marshall","CANCELLED",26
"54",6,"United Air Lines Inc.","Baltimore, MD: Baltimore/Washington International Thurgood Marshall","CANCELLED",10
"55",6,"Alaska Airlines Inc.","Barrow, AK: Wiley Post/Will Rogers Memorial","CANCELLED",11
"56",6,"ExpressJet Airlines Inc.","Baton Rouge, LA: Baton Rouge Metropolitan/Ryan Field","CANCELLED",23
"57",6,"SkyWest Airlines Inc.","Baton Rouge, LA: Baton Rouge Metropolitan/Ryan Field","CANCELLED",1
"58",6,"ExpressJet Airlines Inc.","Beaumont/Port Arthur, TX: Jack Brooks Regional","CANCELLED",2
"59",6,"SkyWest Airlines Inc.","Bend/Redmond, OR: Roberts Field","CANCELLED",4
"60",6,"Alaska Airlines Inc.","Bethel, AK: Bethel Airport","CANCELLED",1
"61",6,"SkyWest Airlines Inc.","Billings, MT: Billings Logan International","CANCELLED",4
"62",6,"United Air Lines Inc.","Billings, MT: Billings Logan International","CANCELLED",3
"63",6,"Delta Air Lines Inc.","Birmingham, AL: Birmingham-Shuttlesworth International","CANCELLED",1
"64",6,"ExpressJet Airlines Inc.","Birmingham, AL: Birmingham-Shuttlesworth International","CANCELLED",2
"65",6,"SkyWest Airlines Inc.","Birmingham, AL: Birmingham-Shuttlesworth International","CANCELLED",2
"66",6,"Southwest Airlines Co.","Birmingham, AL: Birmingham-Shuttlesworth International","CANCELLED",3
"67",6,"SkyWest Airlines Inc.","Bismarck/Mandan, ND: Bismarck Municipal","CANCELLED",4
"68",6,"Delta Air Lines Inc.","Bloomington/Normal, IL: Central Illinois Regional","CANCELLED",1
"69",6,"ExpressJet Airlines Inc.","Bloomington/Normal, IL: Central Illinois Regional","CANCELLED",2
"70",6,"American Airlines Inc.","Boise, ID: Boise Air Terminal","CANCELLED",3
"71",6,"SkyWest Airlines Inc.","Boise, ID: Boise Air Terminal","CANCELLED",11
"72",6,"Southwest Airlines Co.","Boise, ID: Boise Air Terminal","CANCELLED",4
"73",6,"United Air Lines Inc.","Boise, ID: Boise Air Terminal","CANCELLED",1
"74",6,"American Airlines Inc.","Boston, MA: Logan International","CANCELLED",45
"75",6,"Delta Air Lines Inc.","Boston, MA: Logan International","CANCELLED",6
"76",6,"ExpressJet Airlines Inc.","Boston, MA: Logan International","CANCELLED",3
"77",6,"JetBlue Airways","Boston, MA: Logan International","CANCELLED",75
"78",6,"Southwest Airlines Co.","Boston, MA: Logan International","CANCELLED",14
"79",6,"Spirit Air Lines","Boston, MA: Logan International","CANCELLED",17
"80",6,"United Air Lines Inc.","Boston, MA: Logan International","CANCELLED",12
"81",6,"SkyWest Airlines Inc.","Bozeman, MT: Bozeman Yellowstone International","CANCELLED",2
"82",6,"United Air Lines Inc.","Bozeman, MT: Bozeman Yellowstone International","CANCELLED",4
"83",6,"SkyWest Airlines Inc.","Brainerd, MN: Brainerd Lakes Regional","CANCELLED",1
"84",6,"Delta Air Lines Inc.","Bristol/Johnson City/Kingsport, TN: Tri-Cities Regional TN/VA","CANCELLED",2
"85",6,"ExpressJet Airlines Inc.","Brownsville, TX: Brownsville South Padre Island International","CANCELLED",4
"86",6,"ExpressJet Airlines Inc.","Brunswick, GA: Brunswick Golden Isles","CANCELLED",3
"87",6,"American Airlines Inc.","Buffalo, NY: Buffalo Niagara International","CANCELLED",1
"88",6,"Delta Air Lines Inc.","Buffalo, NY: Buffalo Niagara International","CANCELLED",1
"89",6,"ExpressJet Airlines Inc.","Buffalo, NY: Buffalo Niagara International","CANCELLED",5
"90",6,"JetBlue Airways","Buffalo, NY: Buffalo Niagara International","CANCELLED",19
"91",6,"Southwest Airlines Co.","Buffalo, NY: Buffalo Niagara International","CANCELLED",12
"92",6,"JetBlue Airways","Burbank, CA: Bob Hope","CANCELLED",1
"93",6,"SkyWest Airlines Inc.","Burbank, CA: Bob Hope","CANCELLED",9
"94",6,"Southwest Airlines Co.","Burbank, CA: Bob Hope","CANCELLED",13
"95",6,"American Airlines Inc.","Burlington, VT: Burlington International","CANCELLED",1
"96",6,"ExpressJet Airlines Inc.","Burlington, VT: Burlington International","CANCELLED",6
"97",6,"JetBlue Airways","Burlington, VT: Burlington International","CANCELLED",6
"98",6,"SkyWest Airlines Inc.","Casper, WY: Casper/Natrona County International","CANCELLED",3
"99",6,"SkyWest Airlines Inc.","Cedar Rapids/Iowa City, IA: The Eastern Iowa","CANCELLED",3
"100",6,"American Airlines Inc.","Charleston, SC: Charleston AFB/International","CANCELLED",2
"101",6,"Delta Air Lines Inc.","Charleston, SC: Charleston AFB/International","CANCELLED",9
"102",6,"ExpressJet Airlines Inc.","Charleston, SC: Charleston AFB/International","CANCELLED",18
"103",6,"JetBlue Airways","Charleston, SC: Charleston AFB/International","CANCELLED",13
"104",6,"SkyWest Airlines Inc.","Charleston, SC: Charleston AFB/International","CANCELLED",3
"105",6,"Southwest Airlines Co.","Charleston, SC: Charleston AFB/International","CANCELLED",10
"106",6,"United Air Lines Inc.","Charleston, SC: Charleston AFB/International","CANCELLED",1
"107",6,"Delta Air Lines Inc.","Charleston/Dunbar, WV: Yeager","CANCELLED",1
"108",6,"ExpressJet Airlines Inc.","Charleston/Dunbar, WV: Yeager","CANCELLED",3
"109",6,"American Airlines Inc.","Charlotte Amalie, VI: Cyril E King","CANCELLED",8
"110",6,"Delta Air Lines Inc.","Charlotte Amalie, VI: Cyril E King","CANCELLED",1
"111",6,"JetBlue Airways","Charlotte Amalie, VI: Cyril E King","CANCELLED",1
"112",6,"United Air Lines Inc.","Charlotte Amalie, VI: Cyril E King","CANCELLED",6
