"","DAY_OF_WEEK","NAME_AIRLINE","NAME_AIRPORT","COUNT","data_arrtimeblk_mean$MEAN"
"1",7,"SkyWest Airlines Inc.","Aberdeen, SD: Aberdeen Regional",978,9.68316831683168
"2",7,"ExpressJet Airlines Inc.","Abilene, TX: Abilene Regional",853,29.4137931034483
"3",7,"Alaska Airlines Inc.","Adak Island, AK: Adak",463,9.26
"4",7,"JetBlue Airways","Aguadilla, PR: Rafael Hernandez",1644,9.72781065088757
"5",7,"Spirit Air Lines","Aguadilla, PR: Rafael Hernandez",488,9.95918367346939
"6",7,"United Air Lines Inc.","Aguadilla, PR: Rafael Hernandez",669,13.6530612244898
"7",7,"Delta Air Lines Inc.","Akron, OH: Akron-Canton Regional",1580,8.14432989690722
"8",7,"ExpressJet Airlines Inc.","Akron, OH: Akron-Canton Regional",3636,14.544
"9",7,"SkyWest Airlines Inc.","Akron, OH: Akron-Canton Regional",147,4.74193548387097
"10",7,"Southwest Airlines Co.","Akron, OH: Akron-Canton Regional",1127,5.80927835051546
"11",7,"Spirit Air Lines","Akron, OH: Akron-Canton Regional",247,11.7619047619048
"12",7,"ExpressJet Airlines Inc.","Albany, GA: Southwest Georgia Regional",597,4.42222222222222
"13",7,"American Airlines Inc.","Albany, NY: Albany International",1272,8.36842105263158
"14",7,"Delta Air Lines Inc.","Albany, NY: Albany International",683,3.77348066298343
"15",7,"ExpressJet Airlines Inc.","Albany, NY: Albany International",459,5.81012658227848
"16",7,"JetBlue Airways","Albany, NY: Albany International",1190,11.7821782178218
"17",7,"SkyWest Airlines Inc.","Albany, NY: Albany International",1321,23.1754385964912
"18",7,"Southwest Airlines Co.","Albany, NY: Albany International",2706,4.57094594594595
"19",7,"United Air Lines Inc.","Albany, NY: Albany International",1553,15.3762376237624
"20",7,"Alaska Airlines Inc.","Albuquerque, NM: Albuquerque International Sunport",285,5.58823529411765
"21",7,"American Airlines Inc.","Albuquerque, NM: Albuquerque International Sunport",3074,12.5983606557377
"22",7,"Delta Air Lines Inc.","Albuquerque, NM: Albuquerque International Sunport",913,4.47549019607843
"23",7,"ExpressJet Airlines Inc.","Albuquerque, NM: Albuquerque International Sunport",1399,41.1470588235294
"24",7,"JetBlue Airways","Albuquerque, NM: Albuquerque International Sunport",799,15.6666666666667
"25",7,"SkyWest Airlines Inc.","Albuquerque, NM: Albuquerque International Sunport",2950,9.42492012779553
"26",7,"Southwest Airlines Co.","Albuquerque, NM: Albuquerque International Sunport",20415,12.759375
"27",7,"United Air Lines Inc.","Albuquerque, NM: Albuquerque International Sunport",2361,18.7380952380952
"28",7,"ExpressJet Airlines Inc.","Alexandria, LA: Alexandria International",6538,16.5518987341772
"29",7,"Delta Air Lines Inc.","Allentown/Bethlehem/Easton, PA: Lehigh Valley International",473,9.85416666666667
"30",7,"ExpressJet Airlines Inc.","Allentown/Bethlehem/Easton, PA: Lehigh Valley International",2156,11.7814207650273
"31",7,"SkyWest Airlines Inc.","Allentown/Bethlehem/Easton, PA: Lehigh Valley International",846,19.6744186046512
"32",7,"SkyWest Airlines Inc.","Alpena, MI: Alpena County Regional",896,17.5686274509804
"33",7,"American Airlines Inc.","Amarillo, TX: Rick Husband Amarillo International",16,0.888888888888889
"34",7,"ExpressJet Airlines Inc.","Amarillo, TX: Rick Husband Amarillo International",2189,15.0965517241379
"35",7,"SkyWest Airlines Inc.","Amarillo, TX: Rick Husband Amarillo International",682,11.3666666666667
"36",7,"Southwest Airlines Co.","Amarillo, TX: Rick Husband Amarillo International",2581,11.4203539823009
"37",7,"Alaska Airlines Inc.","Anchorage, AK: Ted Stevens Anchorage International",7249,4.0793472144063
"38",7,"American Airlines Inc.","Anchorage, AK: Ted Stevens Anchorage International",652,10.8666666666667
"39",7,"Delta Air Lines Inc.","Anchorage, AK: Ted Stevens Anchorage International",2124,6.94117647058824
"40",7,"JetBlue Airways","Anchorage, AK: Ted Stevens Anchorage International",185,3.62745098039216
"41",7,"United Air Lines Inc.","Anchorage, AK: Ted Stevens Anchorage International",1486,11.5193798449612
"42",7,"Delta Air Lines Inc.","Appleton, WI: Appleton International",149,1.77380952380952
"43",7,"ExpressJet Airlines Inc.","Appleton, WI: Appleton International",1208,6.98265895953757
"44",7,"SkyWest Airlines Inc.","Appleton, WI: Appleton International",1971,11.135593220339
"45",7,"SkyWest Airlines Inc.","Arcata/Eureka, CA: Arcata",4014,20.5846153846154
"46",7,"Delta Air Lines Inc.","Asheville, NC: Asheville Regional",875,8.17757009345794
"47",7,"ExpressJet Airlines Inc.","Asheville, NC: Asheville Regional",6825,32.1933962264151
"48",7,"SkyWest Airlines Inc.","Asheville, NC: Asheville Regional",1203,10.4608695652174
"49",7,"SkyWest Airlines Inc.","Aspen, CO: Aspen Pitkin County Sardy Field",13198,19.9064856711916
"50",7,"Alaska Airlines Inc.","Atlanta, GA: Hartsfield-Jackson Atlanta International",389,4.37078651685393
"51",7,"American Airlines Inc.","Atlanta, GA: Hartsfield-Jackson Atlanta International",21799,14.0820413436693
"52",7,"Delta Air Lines Inc.","Atlanta, GA: Hartsfield-Jackson Atlanta International",264476,7.82080018925393
"53",7,"ExpressJet Airlines Inc.","Atlanta, GA: Hartsfield-Jackson Atlanta International",111848,14.5181723779855
"54",7,"Frontier Airlines Inc.","Atlanta, GA: Hartsfield-Jackson Atlanta International",7336,13.5851851851852
"55",7,"SkyWest Airlines Inc.","Atlanta, GA: Hartsfield-Jackson Atlanta International",16282,18.2943820224719
"56",7,"Southwest Airlines Co.","Atlanta, GA: Hartsfield-Jackson Atlanta International",65300,11.3941720467632
