"","DAY_OF_WEEK","NAME_AIRLINE","NAME_AIRPORT","COUNT","data_arrtimeblk_mean$MEAN"
"64",4,"Delta Air Lines Inc.","Austin, TX: Austin - Bergstrom International",5493,8.36073059360731
"65",4,"ExpressJet Airlines Inc.","Austin, TX: Austin - Bergstrom International",175,19.4444444444444
"66",4,"Frontier Airlines Inc.","Austin, TX: Austin - Bergstrom International",2655,18.6971830985915
"67",4,"JetBlue Airways","Austin, TX: Austin - Bergstrom International",6594,21.0670926517572
"68",4,"SkyWest Airlines Inc.","Austin, TX: Austin - Bergstrom International",6561,16.6946564885496
"69",4,"Southwest Airlines Co.","Austin, TX: Austin - Bergstrom International",32287,10.4624108878808
"70",4,"United Air Lines Inc.","Austin, TX: Austin - Bergstrom International",9356,13.1220196353436
"71",4,"Virgin America","Austin, TX: Austin - Bergstrom International",1460,13.7735849056604
"72",4,"SkyWest Airlines Inc.","Bakersfield, CA: Meadows Field",4771,11.9573934837093
"73",4,"Alaska Airlines Inc.","Baltimore, MD: Baltimore/Washington International Thurgood Marshall",1073,10.122641509434
"74",4,"American Airlines Inc.","Baltimore, MD: Baltimore/Washington International Thurgood Marshall",12146,13.7709750566893
"75",4,"Delta Air Lines Inc.","Baltimore, MD: Baltimore/Washington International Thurgood Marshall",11398,10.0956598759965
"76",4,"ExpressJet Airlines Inc.","Baltimore, MD: Baltimore/Washington International Thurgood Marshall",159,7.57142857142857
"77",4,"JetBlue Airways","Baltimore, MD: Baltimore/Washington International Thurgood Marshall",4903,11.1179138321995
"78",4,"SkyWest Airlines Inc.","Baltimore, MD: Baltimore/Washington International Thurgood Marshall",202,11.8823529411765
"79",4,"Southwest Airlines Co.","Baltimore, MD: Baltimore/Washington International Thurgood Marshall",125227,11.9742780646395
"80",4,"Spirit Air Lines","Baltimore, MD: Baltimore/Washington International Thurgood Marshall",12894,17.0105540897098
"81",4,"United Air Lines Inc.","Baltimore, MD: Baltimore/Washington International Thurgood Marshall",5305,11.557734204793
"82",4,"Delta Air Lines Inc.","Bangor, ME: Bangor International",1260,66.3157894736842
"83",4,"ExpressJet Airlines Inc.","Bangor, ME: Bangor International",798,12.2769230769231
"84",4,"Alaska Airlines Inc.","Barrow, AK: Wiley Post/Will Rogers Memorial",529,5.13592233009709
"85",4,"Delta Air Lines Inc.","Baton Rouge, LA: Baton Rouge Metropolitan/Ryan Field",712,11.672131147541
"86",4,"ExpressJet Airlines Inc.","Baton Rouge, LA: Baton Rouge Metropolitan/Ryan Field",24285,25.0878099173554
"87",4,"SkyWest Airlines Inc.","Baton Rouge, LA: Baton Rouge Metropolitan/Ryan Field",111,9.25
"88",4,"ExpressJet Airlines Inc.","Beaumont/Port Arthur, TX: Jack Brooks Regional",1588,20.6233766233766
"89",4,"Alaska Airlines Inc.","Bellingham, WA: Bellingham International",776,11.7575757575758
"90",4,"SkyWest Airlines Inc.","Bemidji, MN: Bemidji Regional",858,8.25
"91",4,"SkyWest Airlines Inc.","Bend/Redmond, OR: Roberts Field",5644,13.9014778325123
"92",4,"Alaska Airlines Inc.","Bethel, AK: Bethel Airport",821,5.36601307189542
"93",4,"Delta Air Lines Inc.","Billings, MT: Billings Logan International",2041,13.4276315789474
"94",4,"ExpressJet Airlines Inc.","Billings, MT: Billings Logan International",13,6.5
"95",4,"SkyWest Airlines Inc.","Billings, MT: Billings Logan International",2017,8.36929460580913
"96",4,"United Air Lines Inc.","Billings, MT: Billings Logan International",535,5
"97",4,"SkyWest Airlines Inc.","Binghamton, NY: Greater Binghamton/Edwin A. Link Field",1640,12.1481481481481
"98",4,"Delta Air Lines Inc.","Birmingham, AL: Birmingham-Shuttlesworth International",2095,3.99047619047619
"99",4,"ExpressJet Airlines Inc.","Birmingham, AL: Birmingham-Shuttlesworth International",7225,13.8675623800384
"100",4,"SkyWest Airlines Inc.","Birmingham, AL: Birmingham-Shuttlesworth International",1804,9.6989247311828
"101",4,"Southwest Airlines Co.","Birmingham, AL: Birmingham-Shuttlesworth International",6948,10.7720930232558
"102",4,"Delta Air Lines Inc.","Bismarck/Mandan, ND: Bismarck Municipal",612,9
"103",4,"ExpressJet Airlines Inc.","Bismarck/Mandan, ND: Bismarck Municipal",682,32.4761904761905
"104",4,"Frontier Airlines Inc.","Bismarck/Mandan, ND: Bismarck Municipal",952,25.0526315789474
"105",4,"SkyWest Airlines Inc.","Bismarck/Mandan, ND: Bismarck Municipal",4333,16.6653846153846
"106",4,"Delta Air Lines Inc.","Bloomington/Normal, IL: Central Illinois Regional",102,2.42857142857143
"107",4,"ExpressJet Airlines Inc.","Bloomington/Normal, IL: Central Illinois Regional",1466,12.7478260869565
"108",4,"SkyWest Airlines Inc.","Bloomington/Normal, IL: Central Illinois Regional",795,10.6
"109",4,"American Airlines Inc.","Boise, ID: Boise Air Terminal",994,6.95104895104895
"110",4,"Delta Air Lines Inc.","Boise, ID: Boise Air Terminal",1804,9.80434782608696
"111",4,"SkyWest Airlines Inc.","Boise, ID: Boise Air Terminal",19530,15.995085995086
"112",4,"Southwest Airlines Co.","Boise, ID: Boise Air Terminal",6031,11.4440227703985
"113",4,"United Air Lines Inc.","Boise, ID: Boise Air Terminal",1150,11.6161616161616
"114",4,"Alaska Airlines Inc.","Boston, MA: Logan International",1531,6.35269709543568
"115",4,"American Airlines Inc.","Boston, MA: Logan International",44124,10.1016483516484
"116",4,"Delta Air Lines Inc.","Boston, MA: Logan International",28167,11.7167221297837
"117",4,"ExpressJet Airlines Inc.","Boston, MA: Logan International",5120,16.4630225080386
"118",4,"JetBlue Airways","Boston, MA: Logan International",81703,12.3923858637949
"119",4,"SkyWest Airlines Inc.","Boston, MA: Logan International",253,36.1428571428571
"120",4,"Southwest Airlines Co.","Boston, MA: Logan International",20420,11.0080862533693
"121",4,"Spirit Air Lines","Boston, MA: Logan International",13005,24.6306818181818
"122",4,"United Air Lines Inc.","Boston, MA: Logan International",22425,11.2012987012987
"123",4,"Virgin America","Boston, MA: Logan International",2196,8.13333333333333
"124",4,"Delta Air Lines Inc.","Bozeman, MT: Bozeman Yellowstone International",2057,12.937106918239
"125",4,"Frontier Airlines Inc.","Bozeman, MT: Bozeman Yellowstone International",1055,29.3055555555556
"126",4,"SkyWest Airlines Inc.","Bozeman, MT: Bozeman Yellowstone International",2709,10.3003802281369
"127",4,"United Air Lines Inc.","Bozeman, MT: Bozeman Yellowstone International",1619,12.748031496063
"128",4,"SkyWest Airlines Inc.","Brainerd, MN: Brainerd Lakes Regional",1062,10.1142857142857
"129",4,"Delta Air Lines Inc.","Bristol/Johnson City/Kingsport, TN: Tri-Cities Regional TN/VA",100,1.63934426229508
"130",4,"ExpressJet Airlines Inc.","Bristol/Johnson City/Kingsport, TN: Tri-Cities Regional TN/VA",3774,13.5755395683453
"131",4,"ExpressJet Airlines Inc.","Brownsville, TX: Brownsville South Padre Island International",2878,10.2419928825623
"132",4,"SkyWest Airlines Inc.","Brownsville, TX: Brownsville South Padre Island International",97,2.69444444444444
"133",4,"ExpressJet Airlines Inc.","Brunswick, GA: Brunswick Golden Isles",1350,8.65384615384615
"134",4,"American Airlines Inc.","Buffalo, NY: Buffalo Niagara International",1692,8.17391304347826
"135",4,"Delta Air Lines Inc.","Buffalo, NY: Buffalo Niagara International",3353,7.94549763033175
"136",4,"ExpressJet Airlines Inc.","Buffalo, NY: Buffalo Niagara International",6144,19.1401869158878
"137",4,"JetBlue Airways","Buffalo, NY: Buffalo Niagara International",10143,15.1162444113264
"138",4,"SkyWest Airlines Inc.","Buffalo, NY: Buffalo Niagara International",683,12.6481481481481
"139",4,"Southwest Airlines Co.","Buffalo, NY: Buffalo Niagara International",6004,6.61962513781698
"140",4,"United Air Lines Inc.","Buffalo, NY: Buffalo Niagara International",804,10.3076923076923
"141",4,"Alaska Airlines Inc.","Burbank, CA: Bob Hope",622,3.55428571428571
"142",4,"JetBlue Airways","Burbank, CA: Bob Hope",1019,23.1590909090909
"143",4,"SkyWest Airlines Inc.","Burbank, CA: Bob Hope",12671,17.6969273743017
"144",4,"Southwest Airlines Co.","Burbank, CA: Bob Hope",25606,10.3208383716243
"145",4,"Delta Air Lines Inc.","Burlington, VT: Burlington International",23,1.35294117647059
"146",4,"ExpressJet Airlines Inc.","Burlington, VT: Burlington International",7145,20.650289017341
"147",4,"JetBlue Airways","Burlington, VT: Burlington International",2594,15.3491124260355
"148",4,"United Air Lines Inc.","Burlington, VT: Burlington International",288,6
"149",4,"SkyWest Airlines Inc.","Butte, MT: Bert Mooney",322,3.22
"150",4,"SkyWest Airlines Inc.","Casper, WY: Casper/Natrona County International",1160,5.37037037037037
"151",4,"SkyWest Airlines Inc.","Cedar City, UT: Cedar City Regional",958,9.12380952380952
"152",4,"Delta Air Lines Inc.","Cedar Rapids/Iowa City, IA: The Eastern Iowa",0,0
"153",4,"ExpressJet Airlines Inc.","Cedar Rapids/Iowa City, IA: The Eastern Iowa",1572,8.10309278350515
"154",4,"Frontier Airlines Inc.","Cedar Rapids/Iowa City, IA: The Eastern Iowa",1159,29.7179487179487
"155",4,"SkyWest Airlines Inc.","Cedar Rapids/Iowa City, IA: The Eastern Iowa",5391,11.874449339207
"156",4,"American Airlines Inc.","Charleston, SC: Charleston AFB/International",280,2.97872340425532
"157",4,"Delta Air Lines Inc.","Charleston, SC: Charleston AFB/International",3487,5.4062015503876
"158",4,"ExpressJet Airlines Inc.","Charleston, SC: Charleston AFB/International",9938,19.9959758551308
"159",4,"JetBlue Airways","Charleston, SC: Charleston AFB/International",8930,23.0749354005168
"160",4,"SkyWest Airlines Inc.","Charleston, SC: Charleston AFB/International",910,13
"161",4,"Southwest Airlines Co.","Charleston, SC: Charleston AFB/International",4504,11.0935960591133
"162",4,"United Air Lines Inc.","Charleston, SC: Charleston AFB/International",371,9.51282051282051
"163",4,"Delta Air Lines Inc.","Charleston/Dunbar, WV: Yeager",631,12.3725490196078
"164",4,"ExpressJet Airlines Inc.","Charleston/Dunbar, WV: Yeager",8207,24.5718562874251
