"","DAY_OF_WEEK","NAME_AIRLINE","NAME_AIRPORT","FLIGHT_STATE","NFLIGHTS"
"1",3,"SkyWest Airlines Inc.","Aberdeen, SD: Aberdeen Regional","CANCELLED",2
"2",3,"JetBlue Airways","Aguadilla, PR: Rafael Hernandez","CANCELLED",1
"3",3,"United Air Lines Inc.","Aguadilla, PR: Rafael Hernandez","CANCELLED",2
"4",3,"Delta Air Lines Inc.","Akron, OH: Akron-Canton Regional","CANCELLED",2
"5",3,"ExpressJet Airlines Inc.","Akron, OH: Akron-Canton Regional","CANCELLED",16
"6",3,"SkyWest Airlines Inc.","Albany, NY: Albany International","CANCELLED",1
"7",3,"Southwest Airlines Co.","Albany, NY: Albany International","CANCELLED",6
"8",3,"American Airlines Inc.","Albuquerque, NM: Albuquerque International Sunport","CANCELLED",2
"9",3,"Delta Air Lines Inc.","Albuquerque, NM: Albuquerque International Sunport","CANCELLED",1
"10",3,"ExpressJet Airlines Inc.","Albuquerque, NM: Albuquerque International Sunport","CANCELLED",1
"11",3,"SkyWest Airlines Inc.","Albuquerque, NM: Albuquerque International Sunport","CANCELLED",3
"12",3,"Southwest Airlines Co.","Albuquerque, NM: Albuquerque International Sunport","CANCELLED",15
"13",3,"United Air Lines Inc.","Albuquerque, NM: Albuquerque International Sunport","CANCELLED",6
"14",3,"ExpressJet Airlines Inc.","Alexandria, LA: Alexandria International","CANCELLED",2
"15",3,"ExpressJet Airlines Inc.","Allentown/Bethlehem/Easton, PA: Lehigh Valley International","CANCELLED",6
"16",3,"SkyWest Airlines Inc.","Alpena, MI: Alpena County Regional","CANCELLED",2
"17",3,"ExpressJet Airlines Inc.","Amarillo, TX: Rick Husband Amarillo International","CANCELLED",3
"18",3,"SkyWest Airlines Inc.","Amarillo, TX: Rick Husband Amarillo International","CANCELLED",2
"19",3,"Alaska Airlines Inc.","Anchorage, AK: Ted Stevens Anchorage International","CANCELLED",8
"20",3,"United Air Lines Inc.","Anchorage, AK: Ted Stevens Anchorage International","CANCELLED",1
"21",3,"ExpressJet Airlines Inc.","Appleton, WI: Appleton International","CANCELLED",10
"22",3,"SkyWest Airlines Inc.","Appleton, WI: Appleton International","CANCELLED",3
