"","DAY_OF_WEEK","NAME_AIRLINE","NAME_AIRPORT","COUNT","data_arrtimeblk_mean$MEAN"
"1",2,"SkyWest Airlines Inc.","Aberdeen, SD: Aberdeen Regional",1984,19.2621359223301
"2",2,"ExpressJet Airlines Inc.","Abilene, TX: Abilene Regional",177,8.85
"3",2,"JetBlue Airways","Aguadilla, PR: Rafael Hernandez",1592,9.20231213872832
"4",2,"Spirit Air Lines","Aguadilla, PR: Rafael Hernandez",842,16.84
"5",2,"United Air Lines Inc.","Aguadilla, PR: Rafael Hernandez",1228,24.078431372549
"6",2,"Delta Air Lines Inc.","Akron, OH: Akron-Canton Regional",1709,8.46039603960396
"7",2,"ExpressJet Airlines Inc.","Akron, OH: Akron-Canton Regional",5718,19.1879194630872
"8",2,"SkyWest Airlines Inc.","Akron, OH: Akron-Canton Regional",481,10.6888888888889
"9",2,"Southwest Airlines Co.","Akron, OH: Akron-Canton Regional",2223,10.4858490566038
"10",2,"Spirit Air Lines","Akron, OH: Akron-Canton Regional",508,24.1904761904762
"11",2,"ExpressJet Airlines Inc.","Albany, GA: Southwest Georgia Regional",1751,11.751677852349
"12",2,"American Airlines Inc.","Albany, NY: Albany International",1308,9.27659574468085
"13",2,"Delta Air Lines Inc.","Albany, NY: Albany International",1691,8.54040404040404
"14",2,"ExpressJet Airlines Inc.","Albany, NY: Albany International",762,9.76923076923077
"15",2,"JetBlue Airways","Albany, NY: Albany International",1911,18.375
"16",2,"SkyWest Airlines Inc.","Albany, NY: Albany International",986,15.9032258064516
"17",2,"Southwest Airlines Co.","Albany, NY: Albany International",2848,4.54952076677316
"18",2,"United Air Lines Inc.","Albany, NY: Albany International",970,8.22033898305085
"19",2,"Alaska Airlines Inc.","Albuquerque, NM: Albuquerque International Sunport",198,3.80769230769231
"20",2,"American Airlines Inc.","Albuquerque, NM: Albuquerque International Sunport",3759,14.8577075098814
"21",2,"Delta Air Lines Inc.","Albuquerque, NM: Albuquerque International Sunport",757,3.84263959390863
"22",2,"ExpressJet Airlines Inc.","Albuquerque, NM: Albuquerque International Sunport",1466,37.5897435897436
"23",2,"JetBlue Airways","Albuquerque, NM: Albuquerque International Sunport",881,23.1842105263158
"24",2,"SkyWest Airlines Inc.","Albuquerque, NM: Albuquerque International Sunport",2409,7.45820433436533
"25",2,"Southwest Airlines Co.","Albuquerque, NM: Albuquerque International Sunport",16363,9.43112391930836
"26",2,"United Air Lines Inc.","Albuquerque, NM: Albuquerque International Sunport",1563,11.5777777777778
"27",2,"ExpressJet Airlines Inc.","Alexandria, LA: Alexandria International",4372,10.8217821782178
"28",2,"Delta Air Lines Inc.","Allentown/Bethlehem/Easton, PA: Lehigh Valley International",297,5.94
"29",2,"ExpressJet Airlines Inc.","Allentown/Bethlehem/Easton, PA: Lehigh Valley International",4163,17.3458333333333
"30",2,"SkyWest Airlines Inc.","Allentown/Bethlehem/Easton, PA: Lehigh Valley International",396,5.82352941176471
"31",2,"SkyWest Airlines Inc.","Alpena, MI: Alpena County Regional",1231,12.1881188118812
"32",2,"American Airlines Inc.","Amarillo, TX: Rick Husband Amarillo International",104,6.5
"33",2,"ExpressJet Airlines Inc.","Amarillo, TX: Rick Husband Amarillo International",1195,8.91791044776119
"34",2,"SkyWest Airlines Inc.","Amarillo, TX: Rick Husband Amarillo International",207,5.59459459459459
"35",2,"Southwest Airlines Co.","Amarillo, TX: Rick Husband Amarillo International",1671,6.55294117647059
"36",2,"Alaska Airlines Inc.","Anchorage, AK: Ted Stevens Anchorage International",7918,4.25470177324019
"37",2,"American Airlines Inc.","Anchorage, AK: Ted Stevens Anchorage International",4498,70.28125
"38",2,"Delta Air Lines Inc.","Anchorage, AK: Ted Stevens Anchorage International",2562,8.29126213592233
"39",2,"JetBlue Airways","Anchorage, AK: Ted Stevens Anchorage International",163,3.26
"40",2,"United Air Lines Inc.","Anchorage, AK: Ted Stevens Anchorage International",1241,10.172131147541
"41",2,"Delta Air Lines Inc.","Appleton, WI: Appleton International",476,5.01052631578947
"42",2,"ExpressJet Airlines Inc.","Appleton, WI: Appleton International",2442,11.8543689320388
"43",2,"SkyWest Airlines Inc.","Appleton, WI: Appleton International",2561,12.4926829268293
"44",2,"SkyWest Airlines Inc.","Arcata/Eureka, CA: Arcata",2922,14.7575757575758
"45",2,"Delta Air Lines Inc.","Asheville, NC: Asheville Regional",675,5.67226890756303
"46",2,"ExpressJet Airlines Inc.","Asheville, NC: Asheville Regional",5365,21.8089430894309
"47",2,"SkyWest Airlines Inc.","Asheville, NC: Asheville Regional",2563,23.7314814814815
"48",2,"SkyWest Airlines Inc.","Aspen, CO: Aspen Pitkin County Sardy Field",8753,16.6091081593928
"49",2,"Alaska Airlines Inc.","Atlanta, GA: Hartsfield-Jackson Atlanta International",562,4.8448275862069
"50",2,"American Airlines Inc.","Atlanta, GA: Hartsfield-Jackson Atlanta International",22655,13.2022144522145
"51",2,"Delta Air Lines Inc.","Atlanta, GA: Hartsfield-Jackson Atlanta International",386105,10.7370689655172
"52",2,"ExpressJet Airlines Inc.","Atlanta, GA: Hartsfield-Jackson Atlanta International",126546,15.0991528457225
"53",2,"Frontier Airlines Inc.","Atlanta, GA: Hartsfield-Jackson Atlanta International",7614,13.7934782608696
"54",2,"SkyWest Airlines Inc.","Atlanta, GA: Hartsfield-Jackson Atlanta International",17604,18.223602484472
"55",2,"Southwest Airlines Co.","Atlanta, GA: Hartsfield-Jackson Atlanta International",72464,11.5609444798979
"56",2,"Spirit Air Lines","Atlanta, GA: Hartsfield-Jackson Atlanta International",18126,17.9465346534653
"57",2,"United Air Lines Inc.","Atlanta, GA: Hartsfield-Jackson Atlanta International",10782,12.5226480836237
"58",2,"Spirit Air Lines","Atlantic City, NJ: Atlantic City International",9297,18.158203125
"59",2,"Delta Air Lines Inc.","Augusta, GA: Augusta Regional at Bush Field",811,6.43650793650794
"60",2,"ExpressJet Airlines Inc.","Augusta, GA: Augusta Regional at Bush Field",3349,12.8314176245211
"61",2,"Alaska Airlines Inc.","Austin, TX: Austin - Bergstrom International",331,4.1375
"62",2,"American Airlines Inc.","Austin, TX: Austin - Bergstrom International",11070,8.2427401340283
"63",2,"Delta Air Lines Inc.","Austin, TX: Austin - Bergstrom International",7052,11.2651757188498
"64",2,"ExpressJet Airlines Inc.","Austin, TX: Austin - Bergstrom International",86,9.55555555555556
"65",2,"Frontier Airlines Inc.","Austin, TX: Austin - Bergstrom International",3193,23.4779411764706
"66",2,"JetBlue Airways","Austin, TX: Austin - Bergstrom International",4860,15.046439628483
"67",2,"SkyWest Airlines Inc.","Austin, TX: Austin - Bergstrom International",3217,8.91135734072022
"68",2,"Southwest Airlines Co.","Austin, TX: Austin - Bergstrom International",27467,9.02036124794745
"69",2,"United Air Lines Inc.","Austin, TX: Austin - Bergstrom International",5688,8.92935635792779
"70",2,"Virgin America","Austin, TX: Austin - Bergstrom International",984,9.46153846153846
"71",2,"SkyWest Airlines Inc.","Bakersfield, CA: Meadows Field",3661,9.81501340482574
"72",2,"Alaska Airlines Inc.","Baltimore, MD: Baltimore/Washington International Thurgood Marshall",1135,10.9134615384615
"73",2,"American Airlines Inc.","Baltimore, MD: Baltimore/Washington International Thurgood Marshall",10500,13.125
"74",2,"Delta Air Lines Inc.","Baltimore, MD: Baltimore/Washington International Thurgood Marshall",17674,16.4715750232992
"75",2,"ExpressJet Airlines Inc.","Baltimore, MD: Baltimore/Washington International Thurgood Marshall",505,25.25
"76",2,"JetBlue Airways","Baltimore, MD: Baltimore/Washington International Thurgood Marshall",5700,13.2867132867133
"77",2,"SkyWest Airlines Inc.","Baltimore, MD: Baltimore/Washington International Thurgood Marshall",225,9.78260869565217
"78",2,"Southwest Airlines Co.","Baltimore, MD: Baltimore/Washington International Thurgood Marshall",94439,9.28238647532927
"79",2,"Spirit Air Lines","Baltimore, MD: Baltimore/Washington International Thurgood Marshall",13510,18.8423988842399
"80",2,"United Air Lines Inc.","Baltimore, MD: Baltimore/Washington International Thurgood Marshall",4206,9.94326241134752
"81",2,"Delta Air Lines Inc.","Bangor, ME: Bangor International",155,7.38095238095238
"82",2,"ExpressJet Airlines Inc.","Bangor, ME: Bangor International",1736,28.4590163934426
"83",2,"Alaska Airlines Inc.","Barrow, AK: Wiley Post/Will Rogers Memorial",352,2.30065359477124
"84",2,"Delta Air Lines Inc.","Baton Rouge, LA: Baton Rouge Metropolitan/Ryan Field",599,11.98
"85",2,"ExpressJet Airlines Inc.","Baton Rouge, LA: Baton Rouge Metropolitan/Ryan Field",13966,15.0333692142088
"86",2,"SkyWest Airlines Inc.","Baton Rouge, LA: Baton Rouge Metropolitan/Ryan Field",67,4.1875
"87",2,"ExpressJet Airlines Inc.","Beaumont/Port Arthur, TX: Jack Brooks Regional",1151,16.6811594202899
"88",2,"Alaska Airlines Inc.","Bellingham, WA: Bellingham International",539,6.57317073170732
"89",2,"SkyWest Airlines Inc.","Bemidji, MN: Bemidji Regional",1793,17.4077669902913
"90",2,"SkyWest Airlines Inc.","Bend/Redmond, OR: Roberts Field",6364,15.8703241895262
"91",2,"Alaska Airlines Inc.","Bethel, AK: Bethel Airport",355,2.33552631578947
"92",2,"Delta Air Lines Inc.","Billings, MT: Billings Logan International",1024,6.82666666666667
"93",2,"ExpressJet Airlines Inc.","Billings, MT: Billings Logan International",0,0
"94",2,"SkyWest Airlines Inc.","Billings, MT: Billings Logan International",2003,8.17551020408163
"95",2,"United Air Lines Inc.","Billings, MT: Billings Logan International",275,2.69607843137255
"96",2,"SkyWest Airlines Inc.","Binghamton, NY: Greater Binghamton/Edwin A. Link Field",2023,15.4427480916031
"97",2,"American Airlines Inc.","Birmingham, AL: Birmingham-Shuttlesworth International",6,6
"98",2,"Delta Air Lines Inc.","Birmingham, AL: Birmingham-Shuttlesworth International",4926,9.852
