"","DAY_OF_WEEK","NAME_AIRLINE","NAME_AIRPORT","COUNT","data_deptimeblk_mean$MEAN"
"1",6,"SkyWest Airlines Inc.","Aberdeen, SD: Aberdeen Regional",647,6.28155339805825
"2",6,"ExpressJet Airlines Inc.","Abilene, TX: Abilene Regional",331,110.333333333333
"3",6,"JetBlue Airways","Aguadilla, PR: Rafael Hernandez",2315,13.2285714285714
"4",6,"Spirit Air Lines","Aguadilla, PR: Rafael Hernandez",641,23.7407407407407
"5",6,"United Air Lines Inc.","Aguadilla, PR: Rafael Hernandez",1925,37.7450980392157
"6",6,"Delta Air Lines Inc.","Akron, OH: Akron-Canton Regional",1854,12.36
"7",6,"ExpressJet Airlines Inc.","Akron, OH: Akron-Canton Regional",1430,7.25888324873096
"8",6,"SkyWest Airlines Inc.","Akron, OH: Akron-Canton Regional",463,17.1481481481481
"9",6,"Southwest Airlines Co.","Akron, OH: Akron-Canton Regional",2489,10.7748917748918
"10",6,"Spirit Air Lines","Akron, OH: Akron-Canton Regional",380,17.2727272727273
"11",6,"ExpressJet Airlines Inc.","Albany, GA: Southwest Georgia Regional",1589,15.578431372549
"12",6,"American Airlines Inc.","Albany, NY: Albany International",486,5.17021276595745
"13",6,"Delta Air Lines Inc.","Albany, NY: Albany International",1305,8.1055900621118
"14",6,"ExpressJet Airlines Inc.","Albany, NY: Albany International",612,8.38356164383562
"15",6,"JetBlue Airways","Albany, NY: Albany International",1772,17.0384615384615
"16",6,"SkyWest Airlines Inc.","Albany, NY: Albany International",430,6.71875
"17",6,"Southwest Airlines Co.","Albany, NY: Albany International",5461,8.24924471299094
"18",6,"United Air Lines Inc.","Albany, NY: Albany International",388,5.6231884057971
"19",6,"Alaska Airlines Inc.","Albuquerque, NM: Albuquerque International Sunport",189,3.63461538461538
"20",6,"American Airlines Inc.","Albuquerque, NM: Albuquerque International Sunport",1396,7.05050505050505
"21",6,"Delta Air Lines Inc.","Albuquerque, NM: Albuquerque International Sunport",2603,13.7
"22",6,"ExpressJet Airlines Inc.","Albuquerque, NM: Albuquerque International Sunport",128,2.61224489795918
"23",6,"JetBlue Airways","Albuquerque, NM: Albuquerque International Sunport",473,11.825
"24",6,"SkyWest Airlines Inc.","Albuquerque, NM: Albuquerque International Sunport",3267,10.5387096774194
"25",6,"Southwest Airlines Co.","Albuquerque, NM: Albuquerque International Sunport",10370,8.49303849303849
"26",6,"United Air Lines Inc.","Albuquerque, NM: Albuquerque International Sunport",1193,10.9449541284404
"27",6,"ExpressJet Airlines Inc.","Alexandria, LA: Alexandria International",3195,10.2733118971061
"28",6,"Delta Air Lines Inc.","Allentown/Bethlehem/Easton, PA: Lehigh Valley International",25,0.510204081632653
"29",6,"ExpressJet Airlines Inc.","Allentown/Bethlehem/Easton, PA: Lehigh Valley International",1189,8.67883211678832
"30",6,"SkyWest Airlines Inc.","Allentown/Bethlehem/Easton, PA: Lehigh Valley International",310,7.5609756097561
"31",6,"SkyWest Airlines Inc.","Alpena, MI: Alpena County Regional",564,10.2545454545455
"32",6,"American Airlines Inc.","Amarillo, TX: Rick Husband Amarillo International",191,11.2352941176471
"33",6,"ExpressJet Airlines Inc.","Amarillo, TX: Rick Husband Amarillo International",437,4.41414141414141
"34",6,"SkyWest Airlines Inc.","Amarillo, TX: Rick Husband Amarillo International",22,0.758620689655172
"35",6,"Southwest Airlines Co.","Amarillo, TX: Rick Husband Amarillo International",973,5.43575418994413
"36",6,"Alaska Airlines Inc.","Anchorage, AK: Ted Stevens Anchorage International",6131,3.45603156708004
"37",6,"American Airlines Inc.","Anchorage, AK: Ted Stevens Anchorage International",1041,17.0655737704918
"38",6,"Delta Air Lines Inc.","Anchorage, AK: Ted Stevens Anchorage International",1751,5.43788819875776
"39",6,"JetBlue Airways","Anchorage, AK: Ted Stevens Anchorage International",676,13.2549019607843
"40",6,"United Air Lines Inc.","Anchorage, AK: Ted Stevens Anchorage International",2876,20.1118881118881
"41",6,"Delta Air Lines Inc.","Appleton, WI: Appleton International",1109,12.054347826087
"42",6,"ExpressJet Airlines Inc.","Appleton, WI: Appleton International",859,6.65891472868217
"43",6,"SkyWest Airlines Inc.","Appleton, WI: Appleton International",1075,9.18803418803419
"44",6,"SkyWest Airlines Inc.","Arcata/Eureka, CA: Arcata",2362,12.2383419689119
"45",6,"Delta Air Lines Inc.","Asheville, NC: Asheville Regional",730,8.11111111111111
"46",6,"ExpressJet Airlines Inc.","Asheville, NC: Asheville Regional",3724,16.1913043478261
"47",6,"SkyWest Airlines Inc.","Asheville, NC: Asheville Regional",1143,8.1063829787234
"48",6,"SkyWest Airlines Inc.","Aspen, CO: Aspen Pitkin County Sardy Field",13482,20.4582701062215
"49",6,"Alaska Airlines Inc.","Atlanta, GA: Hartsfield-Jackson Atlanta International",471,4.16814159292035
"50",6,"American Airlines Inc.","Atlanta, GA: Hartsfield-Jackson Atlanta International",12657,8.75916955017301
"51",6,"Delta Air Lines Inc.","Atlanta, GA: Hartsfield-Jackson Atlanta International",189828,6.72934169945762
"52",6,"ExpressJet Airlines Inc.","Atlanta, GA: Hartsfield-Jackson Atlanta International",62298,9.65112316034082
"53",6,"Frontier Airlines Inc.","Atlanta, GA: Hartsfield-Jackson Atlanta International",8959,16.2007233273056
"54",6,"SkyWest Airlines Inc.","Atlanta, GA: Hartsfield-Jackson Atlanta International",8514,11.9076923076923
"55",6,"Southwest Airlines Co.","Atlanta, GA: Hartsfield-Jackson Atlanta International",63267,12.4418879056047
"56",6,"Spirit Air Lines","Atlanta, GA: Hartsfield-Jackson Atlanta International",15147,15.01189296333
"57",6,"United Air Lines Inc.","Atlanta, GA: Hartsfield-Jackson Atlanta International",3403,8.5075
"58",6,"Spirit Air Lines","Atlantic City, NJ: Atlantic City International",6814,13.6553106212425
"59",6,"Delta Air Lines Inc.","Augusta, GA: Augusta Regional at Bush Field",1738,16.7115384615385
"60",6,"ExpressJet Airlines Inc.","Augusta, GA: Augusta Regional at Bush Field",1540,8.06282722513089
"61",6,"Alaska Airlines Inc.","Austin, TX: Austin - Bergstrom International",1166,13.1011235955056
"62",6,"American Airlines Inc.","Austin, TX: Austin - Bergstrom International",8744,7.73805309734513
"63",6,"Delta Air Lines Inc.","Austin, TX: Austin - Bergstrom International",3614,7.21357285429142
"64",6,"ExpressJet Airlines Inc.","Austin, TX: Austin - Bergstrom International",341,6.31481481481481
"65",6,"Frontier Airlines Inc.","Austin, TX: Austin - Bergstrom International",2086,12.566265060241
"66",6,"JetBlue Airways","Austin, TX: Austin - Bergstrom International",4298,13.8199356913183
"67",6,"SkyWest Airlines Inc.","Austin, TX: Austin - Bergstrom International",6740,16.479217603912
"68",6,"Southwest Airlines Co.","Austin, TX: Austin - Bergstrom International",20212,9.12093862815884
"69",6,"United Air Lines Inc.","Austin, TX: Austin - Bergstrom International",3842,8.07142857142857
"70",6,"Virgin America","Austin, TX: Austin - Bergstrom International",551,7.76056338028169
"71",6,"SkyWest Airlines Inc.","Bakersfield, CA: Meadows Field",2557,8.72696245733788
"72",6,"Alaska Airlines Inc.","Baltimore, MD: Baltimore/Washington International Thurgood Marshall",663,9.33802816901408
"73",6,"American Airlines Inc.","Baltimore, MD: Baltimore/Washington International Thurgood Marshall",7126,11.2220472440945
"74",6,"Delta Air Lines Inc.","Baltimore, MD: Baltimore/Washington International Thurgood Marshall",8157,11.1739726027397
"75",6,"ExpressJet Airlines Inc.","Baltimore, MD: Baltimore/Washington International Thurgood Marshall",561,5.72448979591837
"76",6,"JetBlue Airways","Baltimore, MD: Baltimore/Washington International Thurgood Marshall",3316,10.2981366459627
"77",6,"SkyWest Airlines Inc.","Baltimore, MD: Baltimore/Washington International Thurgood Marshall",161,8.05
"78",6,"Southwest Airlines Co.","Baltimore, MD: Baltimore/Washington International Thurgood Marshall",94683,11.057222935887
"79",6,"Spirit Air Lines","Baltimore, MD: Baltimore/Washington International Thurgood Marshall",13163,18.2819444444444
"80",6,"United Air Lines Inc.","Baltimore, MD: Baltimore/Washington International Thurgood Marshall",3354,10.2883435582822
"81",6,"Delta Air Lines Inc.","Bangor, ME: Bangor International",201,11.1666666666667
"82",6,"ExpressJet Airlines Inc.","Bangor, ME: Bangor International",882,16.0363636363636
"83",6,"Alaska Airlines Inc.","Barrow, AK: Wiley Post/Will Rogers Memorial",852,5.83561643835616
"84",6,"Delta Air Lines Inc.","Baton Rouge, LA: Baton Rouge Metropolitan/Ryan Field",254,10.5833333333333
"85",6,"ExpressJet Airlines Inc.","Baton Rouge, LA: Baton Rouge Metropolitan/Ryan Field",7399,10.9940564635958
"86",6,"SkyWest Airlines Inc.","Baton Rouge, LA: Baton Rouge Metropolitan/Ryan Field",52,3.46666666666667
"87",6,"ExpressJet Airlines Inc.","Beaumont/Port Arthur, TX: Jack Brooks Regional",667,9.26388888888889
"88",6,"Alaska Airlines Inc.","Bellingham, WA: Bellingham International",890,11.4102564102564
"89",6,"SkyWest Airlines Inc.","Bemidji, MN: Bemidji Regional",552,5.30769230769231
"90",6,"SkyWest Airlines Inc.","Bend/Redmond, OR: Roberts Field",4500,13.5542168674699
"91",6,"Alaska Airlines Inc.","Bethel, AK: Bethel Airport",423,4.18811881188119
"92",6,"Delta Air Lines Inc.","Billings, MT: Billings Logan International",272,2.176
"93",6,"ExpressJet Airlines Inc.","Billings, MT: Billings Logan International",0,0
"94",6,"SkyWest Airlines Inc.","Billings, MT: Billings Logan International",444,2.7239263803681
"95",6,"United Air Lines Inc.","Billings, MT: Billings Logan International",291,2.88118811881188
"96",6,"SkyWest Airlines Inc.","Binghamton, NY: Greater Binghamton/Edwin A. Link Field",1004,12.55
"97",6,"Delta Air Lines Inc.","Birmingham, AL: Birmingham-Shuttlesworth International",2153,6.64506172839506
